           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        0.2000000000         4.8776412907         1.3941368236         1.3995117694         1.3914898717         3.7301090118 
        0.2050000000         4.9007342142         1.4017781247         1.3995117694         1.3965824825         3.8142201231 
        0.2100001000         4.9214582935         1.3966839240         1.3944191484         1.3914898717         3.8881359483 
        0.2150000000         4.9397919048         1.3966839240         1.3944191484         1.4042213986         3.9849911674 
        0.2200000000         4.9557181268         1.3966839240         1.3944191484         1.4067677040         4.0716511003 
        0.2250000000         4.9692208515         1.3915897233         1.3893265273         1.3991287878         4.1532133902 
        0.2300000000         4.9802867533         1.3890426230         1.3867802168         1.3991287878         4.2398733231 
        0.2350000000         4.9889049115         1.3941368236         1.3995117694         1.3914898717         4.3239844344 
        0.2400001000         4.9950669197         1.4043252250         1.3944191484         1.3991287878         4.4182908320 
        0.2450000000         4.9987664009         1.3890426230         1.3893265273         1.3965824825         4.5125972296 
        0.2500000000         5.0000000000         1.3890426230         1.3893265273         1.3991287878         4.6018059841 
        0.2550000000         4.9987664009         1.3890426230         1.3867802168         1.3991287878         4.6961123817 
        0.2600000000         4.9950668211         1.3941368236         1.3944191484         1.3940361771         4.7853211362 
        0.2650000000         4.9889049115         1.3966839240         1.3944191484         1.3940361771         4.8770787122 
        0.2700000000         4.9802867533         1.3966839240         1.3944191484         1.3991287878         4.9790315745 
        0.2750000000         4.9692208515         1.3890426230         1.3893265273         1.3991287878         4.9994221469 
        0.2800000000         4.9557181268         1.4017781247         1.3995117694         1.3991287878         1.1048228086 
        0.2850000000         4.9397919048         1.3890426230         1.3867802168         1.4067677040         0.0113783609 
        0.2900001000         4.9214575122         1.3890426230         1.3893265273         1.3991287878         0.0598059704 
        0.2950000000         4.9007342142         1.4017781247         1.3995117694         1.3991287878         0.1566611896 
        0.3000000000         4.8776412907         1.3890426230         1.3867802168         1.3991287878         0.2535164087 
        0.3050000000         4.8522019224         1.3941368236         1.3944191484         1.4016750932         0.3503716279 
        0.3100000000         4.8244412147         1.4017781247         1.3995117694         1.3991287878         0.4472268470 
        0.3150000000         4.7943865642         1.3941368236         1.3944191484         1.3991287878         0.5415332446 
        0.3200000000         4.7620676312         1.3941368236         1.3918728378         1.4042213986         0.6460349284 
        0.3250000000         4.7275163105         1.3941368236         1.3944191484         1.4042213986         0.7352436829 
        0.3300000000         4.6907667001         1.3890426230         1.3867802168         1.3991287878         0.8270012589 
