           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        0.0000000000         3.9000000000         1.2130986854         1.2503160107        -0.0259476601 
        0.0050000000         3.9000000000         1.2080007824         1.2477674024        -0.1587464538 
        0.0100000000         3.9000000000         1.2054518309         1.2426701859        -0.2251458507 
        0.0150000000         3.9000000000         1.2029028795         1.2477674024        -0.2915452476 
        0.0200000000         3.9000000000         1.2080007824         1.2426701859        -0.1587464538 
        0.0250000000         3.9000000000         1.2054518309         1.2477674024        -0.2251458507 
        0.0300000000         3.9000000000         1.2105497339         1.2452187941        -0.0923470570 
        0.0350000000         3.9000000000         1.2156476369         1.2503160107         0.0404517368 
        0.0400000000         3.9000000000         1.2130986854         1.2528646189        -0.0259476601 
        0.0450000000         3.9000000000         1.2207455399         1.2477674024         0.1732505305 
        0.0500001000         3.9000000000         1.2513329577         1.2503160107         0.9700432929 
        0.0550000000         3.9000000000         1.3048609389         1.2554132272         2.3644306272 
        0.0600000000         3.9000000000         1.4603469795         1.2758020933         6.4147938362 
        0.0650001000         3.9000000000         1.7203400311         1.3216770421        13.1875323169 
        0.0700000000         3.9000000000         1.6973994677         1.3675519910        12.5899377451 
        0.0750000000         3.9000000000         1.6948505162         1.4185241563        12.5235383482 
        0.0800001000         3.9000000000         1.6872036618         1.4618504968        12.3243401576 
        0.0850000000         3.9000000000         1.6795568073         1.5128226622        12.1251419670 
        0.0900000000         3.9000000000         1.6591651954         1.5510517862        11.5939467920 
        0.0950001000         3.9000000000         1.6489693895         1.5969267350        11.3283492046 
        0.1000000000         3.9000000000         1.6489693895         1.6453502921        11.3283492046 
        0.1050000000         3.9000000000         1.6387735836         1.6886766326        11.0627516171 
        0.1100001000         3.9000000000         1.6362246321         1.7396487980        10.9963522202 
        0.1150000000         3.9000000000         1.6566162440         1.7804265303        11.5275473952 
        0.1200000000         3.9000000000         1.6846547103         1.8313986956        12.2579407607 
        0.1250000000         3.9000000000         1.7050463222         1.8747250362        12.7891359357 
        0.1300000000         3.9000000000         1.7152421281         1.9205999850        13.0547335232 
        0.1350000000         3.9000000000         1.7228889826         1.9766693669        13.2539317138 
        0.1400000000         3.9000000000         1.7330847885         2.0250929239        13.5195293013 
        0.1450000000         3.9000000000         1.7381826915         2.0760650893        13.6523280950 
        0.1500000000         3.9000000000         1.7330847885         2.1295858629        13.5195293013 
        0.1550000000         3.9000000000         1.7432805945         2.1856552448        13.7851268887 
        0.1600000000         3.9000000000         1.7305358370         2.2289815853        13.4531299044 
        0.1650000000         3.9000000000         1.7509274489         2.2952454003        13.9843250793 
        0.1700000000         3.9000000000         1.7432805945         2.3334745243        13.7851268887 
        0.1750001000         3.9000000000         1.7713190608         2.3997383392        14.5155202543 
