           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000        -0.0600000000         1.2156476369         0.0409020285         1.5746282269 
        0.0050000000        -0.0600000000         1.2054518309        -0.2246955590         1.5650202001 
        0.0100000000        -0.0600000000         1.2130986854        -0.0254973684         1.5778309025 
        0.0150000000        -0.0600000000         1.2207455399         0.1737008222         1.5746282269 
        0.0200000000        -0.0600000000         1.2232944913         0.2401002191         1.5842362537 
        0.0250014000        -0.0600000000         1.2130986854        -0.0254973684         1.5714255513 
        0.0300000000        -0.0600000000         1.2156476369         0.0409020285         1.5746282269 
        0.0350000000        -0.0600000000         1.1825112676        -0.8222901308         1.5714255513 
        0.0400000000        -0.0600000000         1.1595707042        -1.4198847027         1.5778309025 
        0.0450000000        -0.0600000000         1.1774133646        -0.9550889246         1.5618175245 
        0.0500000000        -0.0600000000         1.1646686072        -1.2870859089         1.5458041464 
        0.0550000000        -0.0600000000         1.1595707042        -1.4198847027         1.5554121732 
        0.0600000000        -0.0600000000         1.1621196557        -1.3534853058         1.5329934440 
        0.0650000000        -0.0600000000         1.1723154616        -1.0878877183         1.5361961196 
        0.0700000000        -0.0600000000         1.1544728012        -1.5526834964         1.5265880928 
        0.0750000000        -0.0600000000         1.1493748983        -1.6854822901         1.5073720392 
        0.0800000000        -0.0600000000         1.1697665101        -1.1542871152         1.5265880928 
        0.0850000000        -0.0600000000         1.1544728012        -1.5526834964         1.5041693636 
        0.0900000000        -0.0600000000         1.1570217527        -1.4862840995         1.5137773904 
        0.0952551000        -0.0600000000         1.1595707042        -1.4198847027         1.5009666880 
        0.1000111000        -0.0600000000         1.1697665101        -1.1542871152         1.5009666880 
        0.1050000000        -0.0600000000         1.1672175587        -1.2206865120         1.4945613368 
        0.1100000000        -0.0600000000         1.1595707042        -1.4198847027         1.4753452831 
        0.1150000000        -0.0600000000         1.1646686072        -1.2870859089         1.4721426075 
        0.1200000000        -0.0600000000         1.1570217527        -1.4862840995         1.4593319051 
        0.1250000000        -0.0600000000         1.1621196557        -1.3534853058         1.4561292295 
        0.1300000000        -0.0600000000         1.1570217527        -1.4862840995         1.4561292295 
        0.1350000000        -0.0600000000         1.1621196557        -1.3534853058         1.4497238783 
        0.1400000000        -0.0600000000         1.1697665101        -1.1542871152         1.4497238783 
        0.1450000000        -0.0600000000         1.1672175587        -1.2206865120         1.4433185271 
        0.1500000000        -0.0600000000         1.1672175587        -1.2206865120         1.4273051491 
        0.1550000000        -0.0600000000         1.1544728012        -1.5526834964         1.4241024735 
        0.1600000000        -0.0600000000         1.1544728012        -1.5526834964         1.4048864199 
        0.1650000000        -0.0600000000         1.1595707042        -1.4198847027         1.4016837443 
        0.1700000000        -0.0600000000         1.1595707042        -1.4198847027         1.4144944467 
        0.1750000000        -0.0600000000         1.1595707042        -1.4198847027         1.3920757174 
        0.1800001000        -0.0600000000         1.1646686072        -1.2870859089         1.3824676906 
        0.1850000000        -0.0600000000         1.1570217527        -1.4862840995         1.3760623394 
        0.1900010000        -0.0600000000         1.1621196557        -1.3534853058         1.3664543126 
        0.1950000000        -0.0600000000         1.1621196557        -1.3534853058         1.3696569882 
        0.2000000000        -0.0600000000         1.1570217527        -1.4862840995         1.3536436102 
        0.2050000000        -0.0600000000         1.1595707042        -1.4198847027         1.3472382590 
        0.2100001000        -0.0600000000         1.1519238497        -1.6190828933         1.3344275566 
        0.2150000000        -0.0600000000         1.1519238497        -1.6190828933         1.3344275566 
        0.2200000000        -0.0600000000         1.1544728012        -1.5526834964         1.3248195298 
        0.2250000000        -0.0600000000         1.1595707042        -1.4198847027         1.3280222054 
        0.2300000000        -0.0600000000         1.1595707042        -1.4198847027         1.3024008005 
        0.2350000000        -0.0600000000         1.1391790923        -1.9510798776         1.2959954493 
        0.2400001000        -0.0600000000         1.1544728012        -1.5526834964         1.2863874225 
        0.2450000000        -0.0600000000         1.1544728012        -1.5526834964         1.2895900981 
        0.2500000000        -0.0600000000         1.1570217527        -1.4862840995         1.2799820713 
        0.2550000000        -0.0600000000         1.1672175587        -1.2206865120         1.2831847469 
        0.2600000000        -0.0600000000         1.1697665101        -1.1542871152         1.2671713689 
        0.2650000000        -0.0600000000         1.1646686072        -1.2870859089         1.2639686933 
        0.2700000000        -0.0600000000         1.1570217527        -1.4862840995         1.2543606665 
        0.2750000000        -0.0600000000         1.1621196557        -1.3534853058         1.2479553153 
        0.2800000000        -0.0600000000         1.1595707042        -1.4198847027         1.2351446129 
