           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000        -0.8000000000         1.2130986854        -0.0254973684        -1.5543858381 
        0.0050000000        -0.8000000000         1.2130986854        -0.0254973684        -1.5543858381 
        0.0100001000        -0.8000000000         1.2181965884         0.1073014253        -1.5479804869 
        0.0150001000        -0.8000000000         1.2080007824        -0.1582961621        -1.5479804869 
        0.0200001000        -0.8000000000         0.9505566824        -6.8646352459        -1.5671965405 
        0.0250001000        -0.8000000000         1.0448678873        -4.4078575618        -1.5896152697 
        0.0300000000        -0.8000000000         0.9607524883        -6.5990376585        -1.6312500526 
        0.0350000000        -0.8000000000         0.9378119249        -7.1966322303        -1.6664794842 
        0.0400000000        -0.8000000000         0.9352629734        -7.2630316272        -1.6888982134 
        0.0450001000        -0.8000000000         0.9403608764        -7.1302328334        -1.7273303207 
        0.0500001000        -0.8000000000         0.8435007200        -9.6534099145        -1.7753704547 
        0.0550001000        -0.8000000000         0.8817349922        -8.6574189614        -1.8105998864 
        0.0600000000        -0.8000000000         0.8868328952        -8.5246201677        -1.8618426960 
        0.0650000000        -0.8000000000         0.8460496714        -9.5870105176        -1.8970721277 
        0.0700000000        -0.8000000000         0.8409517685        -9.7198093113        -1.9515176129 
        0.0750001000        -0.8000000000         0.8384028170        -9.7862087082        -1.9963550714 
        0.0800001000        -0.8000000000         0.8180112051       -10.3174038832        -2.0443952055 
        0.0850001000        -0.8000000000         0.8256580595       -10.1182056925        -2.0860299883 
        0.0900000000        -0.8000000000         0.8052664477       -10.6494008675        -2.1436781492 
        0.0950000000        -0.8000000000         0.8001685447       -10.7821996612        -2.1981236344 
        0.1000000000        -0.8000000000         0.8001685447       -10.7821996612        -2.2333530661 
        0.1050001000        -0.8000000000         0.7976195932       -10.8485990581        -2.2910012269 
        0.1100001000        -0.8000000000         0.7823258843       -11.2469954393        -2.3486493878 
        0.1150001000        -0.8000000000         0.7797769328       -11.3133948362        -2.4127028999 
        0.1200001000        -0.8000000000         0.7619342724       -11.7781906143        -2.4607430339 
        0.1250000000        -0.8000000000         0.7823258843       -11.2469954393        -2.5215938704 
        0.1300000000        -0.8000000000         0.7542874179       -11.9773888049        -2.5760393557 
        0.1350001000        -0.8000000000         0.7568363694       -11.9109894080        -2.6368901922 
        0.1400001000        -0.8000000000         0.7644832239       -11.7117912174        -2.6977410286 
        0.1450021000        -0.8000000000         0.7237000001       -12.7741815673        -2.7681998919 
        0.1500001000        -0.8000000000         0.7542874179       -11.9773888049        -2.8290507284 
        0.1550000000        -0.8000000000         0.7287979031       -12.6413827736        -2.8963069161 
