           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.1600000000         1.2156476369         0.0409020285        -0.3854092427 
        0.0050000000         0.1600000000         1.2156476369         0.0409020285        -0.3918145939 
        0.0100000000         0.1600000000         1.2130986854        -0.0254973684        -0.3854092427 
        0.0150001000         0.1600000000         1.2054518309        -0.2246955590        -0.3918145939 
        0.0200001000         0.1600000000         1.2130986854        -0.0254973684        -0.3822065671 
        0.0250000000         0.1600000000         1.2232944913         0.2401002191        -0.3758012159 
        0.0300000000         0.1600000000         1.2487840062         0.9040941878        -0.3725985403 
        0.0350000000         0.1600000000         1.3252525508         2.8960760939        -0.3693958647 
        0.0400000000         0.1600000000         1.2691756181         1.4352893627        -0.3758012159 
        0.0450001000         0.1600000000         1.2666266666         1.3688899659        -0.3469771354 
        0.0500001000         0.1600000000         1.2972140844         2.1656827283        -0.3405717842 
        0.0550000000         0.1600000000         1.2895672300         1.9664845377        -0.3341664330 
        0.0600000000         0.1600000000         1.2895672300         1.9664845377        -0.3245584062 
        0.0650000000         0.1600000000         1.2793714240         1.7008869502        -0.3341664330 
        0.0700000000         0.1600000000         1.2946651330         2.0992833314        -0.3053423526 
        0.0750001000         0.1600000000         1.2921161815         2.0328839346        -0.2925316502 
        0.0800001000         0.1600000000         1.2972140844         2.1656827283        -0.2925316502 
        0.0850001000         0.1600000000         1.2997630359         2.2320821252        -0.2733155965 
        0.0900000000         0.1600000000         1.3023119874         2.2984815220        -0.2765182721 
        0.0950000000         0.1600000000         1.2972140844         2.1656827283        -0.2669102453 
        0.1000000000         0.1600000000         1.3099588419         2.4976797126        -0.2412888405 
        0.1050001000         0.1600000000         1.2921161815         2.0328839346        -0.2476941917 
        0.1100001000         0.1600000000         1.3023119874         2.2984815220        -0.2348834893 
        0.1150001000         0.1600000000         1.3023119874         2.2984815220        -0.2220727869 
        0.1200000000         0.1600000000         1.3125077934         2.5640791095        -0.1964513820 
        0.1250000000         0.1600000000         1.2946651330         2.0992833314        -0.1996540577 
        0.1300000000         0.1600000000         1.3125077934         2.5640791095        -0.1740326528 
        0.1350000000         0.1600000000         1.3023119874         2.2984815220        -0.1708299772 
        0.1400001000         0.1600000000         1.3125077934         2.5640791095        -0.1484112480 
        0.1450001000         0.1600000000         1.3048609389         2.3648809189        -0.1484112480 
        0.1500000000         0.1600000000         1.3048609389         2.3648809189        -0.1452085724 
        0.1550000000         0.1600000000         1.3150567448         2.6304785064        -0.1163844920 
        0.1600000000         0.1600000000         1.3150567448         2.6304785064        -0.1131818163 
        0.1650000000         0.1600000000         1.3099588419         2.4976797126        -0.1003711139 
        0.1700001000         0.1600000000         1.3074098904         2.4312803158        -0.0971684383 
        0.1750001000         0.1600000000         1.3125077934         2.5640791095        -0.0875604115 
        0.1800001000         0.1600000000         1.3150567448         2.6304785064        -0.0683443579 
        0.1850000000         0.1600000000         1.3125077934         2.5640791095        -0.0491283043 
        0.1900000000         0.1600000000         1.3201546478         2.7632773001        -0.0299122506 
        0.1950000000         0.1600000000         1.3303504538         3.0288748876        -0.0106961970 
        0.2000001000         0.1600000000         1.3176056963         2.6968779032        -0.0042908458 
        0.2050001000         0.1600000000         1.3303504538         3.0288748876         0.0117225322 
        0.2100001000         0.1600000000         1.3150567448         2.6304785064         0.0149252078 
        0.2150000000         0.1600000000         1.3150567448         2.6304785064         0.0213305590 
        0.2200000000         0.1600000000         1.3176056963         2.6968779032         0.0405466126 
        0.2250000000         0.1600000000         1.3074098904         2.4312803158         0.0469519638 
        0.2300001000         0.1600000000         1.3125077934         2.5640791095         0.0661680175 
        0.2350001000         0.1600000000         1.3252525508         2.8960760939         0.0757760443 
        0.2400001000         0.1600000000         1.3099588419         2.4976797126         0.0821813955 
        0.2450000000         0.1600000000         1.3176056963         2.6968779032         0.1046001247 
        0.2500000000         0.1600000000         1.3099588419         2.4976797126         0.1174108271 
        0.2550023000         0.1600000000         1.3176056963         2.6968779032         0.1238161783 
        0.2600000000         0.1600000000         1.3074098904         2.4312803158         0.1494375832 
        0.2650001000         0.1600000000         1.3023119874         2.2984815220         0.1494375832 
        0.2700001000         0.1600000000         1.3023119874         2.2984815220         0.1590456100 
        0.2750000000         0.1600000000         1.3227035993         2.8296766970         0.1878696904 
        0.2800000000         0.1600000000         1.3074098904         2.4312803158         0.1910723660 
        0.2850000000         0.1600000000         1.3099588419         2.4976797126         0.2038830684 
        0.2900001000         0.1600000000         1.3252525508         2.8960760939         0.2230991221 
        0.2950001000         0.1600000000         1.3074098904         2.4312803158         0.2198964464 
        0.3000001000         0.1600000000         1.3252525508         2.8960760939         0.2487205269 
        0.3050000000         0.1600000000         1.3125077934         2.5640791095         0.2519232025 
        0.3100000000         0.1600000000         1.3125077934         2.5640791095         0.2551258781 
        0.3150000000         0.1600000000         1.3227035993         2.8296766970         0.2871526341 
        0.3200000000         0.1600000000         1.3227035993         2.8296766970         0.2999633365 
        0.3250001000         0.1600000000         1.3150567448         2.6304785064         0.3063686878 
        0.3300001000         0.1600000000         1.3227035993         2.8296766970         0.3159767146 
        0.3350001000         0.1600000000         1.3278015023         2.9624754907         0.3383954438 
        0.3400000000         0.1600000000         1.3150567448         2.6304785064         0.3383954438 
        0.3450000000         0.1600000000         1.3227035993         2.8296766970         0.3640168486 
        0.3500001000         0.1600000000         1.3328994052         3.0952742845         0.3704221998 
        0.3550001000         0.1600000000         1.3125077934         2.5640791095         0.3832329022 
        0.3600001000         0.1600000000         1.3176056963         2.6968779032         0.3928409291 
        0.3650001000         0.1600000000         1.3176056963         2.6968779032         0.4088543071 
        0.3700000000         0.1600000000         1.3303504538         3.0288748876         0.4280703607 
        0.3750000000         0.1600000000         1.3227035993         2.8296766970         0.4312730363 
        0.3800361000         0.1600000000         1.3227035993         2.8296766970         0.4536917655 
        0.3850000000         0.1600000000         1.3201546478         2.7632773001         0.4697051435 
        0.3900001000         0.1600000000         1.3354483567         3.1616736813         0.4793131704 
        0.3950001000         0.1600000000         1.3099588419         2.4976797126         0.4857185216 
        0.4000000000         0.1600000000         1.3176056963         2.6968779032         0.5113399264 
        0.4050000000         0.1600000000         1.3176056963         2.6968779032         0.5209479532 
        0.4100000000         0.1600000000         1.3328994052         3.0952742845         0.5465693580 
        0.4150001000         0.1600000000         1.3227035993         2.8296766970         0.5529747092 
        0.4200001000         0.1600000000         1.3125077934         2.5640791095         0.5561773849 
        0.4250001000         0.1600000000         1.3176056963         2.6968779032         0.5657854117 
        0.4300000000         0.1600000000         1.3227035993         2.8296766970         0.5882041409 
        0.4350000000         0.1600000000         1.3150567448         2.6304785064         0.5946094921 
        0.4400000000         0.1600000000         1.3252525508         2.8960760939         0.6170282213 
        0.4450000000         0.1600000000         1.3252525508         2.8960760939         0.6298389237 
        0.4500001000         0.1600000000         1.3303504538         3.0288748876         0.6522576530 
        0.4550001000         0.1600000000         1.3328994052         3.0952742845         0.6682710310 
        0.4600001000         0.1600000000         1.3227035993         2.8296766970         0.6810817334 
        0.4650000000         0.1600000000         1.3227035993         2.8296766970         0.6810817334 
        0.4700000000         0.1600000000         1.3176056963         2.6968779032         0.6906897602 
        0.4750001000         0.1600000000         1.3176056963         2.6968779032         0.7067031382 
        0.4800001000         0.1600000000         1.3201546478         2.7632773001         0.7227165162 
        0.4850001000         0.1600000000         1.3227035993         2.8296766970         0.7387298943 
        0.4900001000         0.1600000000         1.3176056963         2.6968779032         0.7515405967 
        0.4950000000         0.1600000000         1.3278015023         2.9624754907         0.7643512991 
        0.5000000000         0.1600000000         1.3201546478         2.7632773001         0.7835673527 
        0.5050000000         0.1600000000         1.3150567448         2.6304785064         0.8027834063 
        0.5100000000         0.1600000000         1.3354483567         3.1616736813         0.8316074868 
        0.5150001000         0.1600000000         1.3303504538         3.0288748876         0.8412155136 
        0.5200001000         0.1600000000         1.3176056963         2.6968779032         0.8444181892 
        0.5250000000         0.1600000000         1.3328994052         3.0952742845         0.8668369184 
        0.5300000000         0.1600000000         1.3099588419         2.4976797126         0.8604315672 
        0.5350000000         0.1600000000         1.3328994052         3.0952742845         0.8860529720 
        0.5400000000         0.1600000000         1.3201546478         2.7632773001         0.9084717013 
        0.5450001000         0.1600000000         1.3303504538         3.0288748876         0.9212824037 
        0.5500001000         0.1600000000         1.3328994052         3.0952742845         0.9276877549 
        0.5550000000         0.1600000000         1.3150567448         2.6304785064         0.9372957817 
        0.5600000000         0.1600000000         1.3227035993         2.8296766970         0.9533091597 
        0.5650000000         0.1600000000         1.3278015023         2.9624754907         0.9661198621 
        0.5700001000         0.1600000000         1.3099588419         2.4976797126         0.9725252133 
        0.5750150000         0.1600000000         1.3278015023         2.9624754907         0.9949439426 
        0.5800001000         0.1600000000         1.3328994052         3.0952742845         1.0173626718 
        0.5850001000         0.1600000000         1.3201546478         2.7632773001         1.0205653474 
        0.5900000000         0.1600000000         1.3227035993         2.8296766970         1.0301733742 
        0.5950000000         0.1600000000         1.3150567448         2.6304785064         1.0493894278 
        0.6000000000         0.1600000000         1.3252525508         2.8960760939         1.0654028059 
        0.6050023000         0.1600000000         1.3278015023         2.9624754907         1.0718081571 
        0.6100001000         0.1600000000         1.3227035993         2.8296766970         1.0942268863 
        0.6150001000         0.1600000000         1.3227035993         2.8296766970         1.0974295619 
        0.6200000000         0.1600000000         1.3252525508         2.8960760939         1.1230509667 
        0.6250000000         0.1600000000         1.3227035993         2.8296766970         1.1358616691 
        0.6300000000         0.1600000000         1.3227035993         2.8296766970         1.1486723716 
        0.6350000000         0.1600000000         1.3176056963         2.6968779032         1.1614830740 
        0.6400001000         0.1600000000         1.3074098904         2.4312803158         1.1678884252 
        0.6450001000         0.1600000000         1.3354483567         3.1616736813         1.2031178568 
        0.6500000000         0.1600000000         1.3125077934         2.5640791095         1.2031178568 
        0.6550000000         0.1600000000         1.3125077934         2.5640791095         1.2127258836 
        0.6600000000         0.1600000000         1.3252525508         2.8960760939         1.2351446129 
        0.6650000000         0.1600000000         1.3125077934         2.5640791095         1.2447526397 
        0.6700001000         0.1600000000         1.3328994052         3.0952742845         1.2703740445 
        0.6750001000         0.1600000000         1.3150567448         2.6304785064         1.2767793957 
        0.6800000000         0.1600000000         1.3354483567         3.1616736813         1.2927927737 
        0.6850000000         0.1600000000         1.3176056963         2.6968779032         1.2991981249 
        0.6900000000         0.1600000000         1.3252525508         2.8960760939         1.3120088274 
        0.6950001000         0.1600000000         1.3227035993         2.8296766970         1.3280222054 
        0.7000001000         0.1600000000         1.3379973082         3.2280730782         1.3504409346 
        0.7050001000         0.1600000000         1.3150567448         2.6304785064         1.3568462858 
        0.7100001000         0.1600000000         1.3328994052         3.0952742845         1.3696569882 
        0.7150000000         0.1600000000         1.3227035993         2.8296766970         1.3760623394 
