           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.3950000000        -0.4600000000         0.9021266041        -8.1262237865        -1.0003229586 
        0.4000000000        -0.4600000000         0.9046755556        -8.0598243896        -1.0291470390 
        0.4050000000        -0.4600000000         0.9021266041        -8.1262237865        -1.0707818219 
        0.4102423000        -0.4600000000         0.8944797497        -8.3254219771        -1.1188219559 
        0.4150000000        -0.4600000000         0.9021266041        -8.1262237865        -1.1476460364 
        0.4200000000        -0.4600000000         0.9174203130        -7.7278274052        -1.1828754680 
        0.4250000000        -0.4600000000         0.8791860408        -8.7238183583        -1.2277129265 
        0.4300000000        -0.4600000000         0.9046755556        -8.0598243896        -1.2757530605 
        0.4350000000        -0.4600000000         0.8970287012        -8.2590225802        -1.3141851678 
        0.4400000000        -0.4600000000         0.8970287012        -8.2590225802        -1.3654279774 
        0.4450000000        -0.4600000000         0.8715391863        -8.9230165489        -1.4038600847 
        0.4500000000        -0.4600000000         0.9148713616        -7.7942268021        -1.4294814895 
        0.4550000000        -0.4600000000         0.8817349922        -8.6574189614        -1.4871296504 
        0.4600000000        -0.4600000000         0.9046755556        -8.0598243896        -1.5191564064 
        0.4650000000        -0.4600000000         0.8842839437        -8.5910195645        -1.5671965405 
        0.4700015000        -0.4600000000         0.8995776526        -8.1926231833        -1.5928179453 
        0.4750000000        -0.4600000000         0.9046755556        -8.0598243896        -1.6376554038 
        0.4800022000        -0.4600000000         0.9046755556        -8.0598243896        -1.6696821598 
        0.4850000000        -0.4600000000         0.8791860408        -8.7238183583        -1.7209249695 
        0.4900000000        -0.4600000000         0.8944797497        -8.3254219771        -1.7625597523 
        0.4950000000        -0.4600000000         0.8970287012        -8.2590225802        -1.7977891840 
        0.5000000000        -0.4600000000         0.8868328952        -8.5246201677        -1.8394239668 
        0.5050000000        -0.4600000000         0.8893818467        -8.4582207708        -1.8906667765 
        0.5100000000        -0.4600000000         0.8740881378        -8.8566171520        -1.9323015593 
        0.5150000000        -0.4600000000         0.8893818467        -8.4582207708        -1.9739363422 
        0.5200000000        -0.4600000000         0.8766370893        -8.7902177552        -2.0123684494 
        0.5250000000        -0.4600000000         0.8842839437        -8.5910195645        -2.0475978811 
        0.5300000000        -0.4600000000         0.8970287012        -8.2590225802        -2.0796246371 
        0.5350395000        -0.4600000000         0.8970287012        -8.2590225802        -2.1308674468 
        0.5400000000        -0.4600000000         0.8791860408        -8.7238183583        -2.1628942028 
        0.5450033000        -0.4600000000         0.9046755556        -8.0598243896        -2.2109343369 
        0.5500000000        -0.4600000000         0.8766370893        -8.7902177552        -2.2525691197 
        0.5550000000        -0.4600000000         0.8944797497        -8.3254219771        -2.2974065782 
        0.5600000000        -0.4600000000         0.8740881378        -8.8566171520        -2.3390413610 
        0.5650000000        -0.4600000000         0.8970287012        -8.2590225802        -2.3838788195 
        0.5700000000        -0.4600000000         0.8715391863        -8.9230165489        -2.4319189535 
        0.5750013000        -0.4600000000         0.8868328952        -8.5246201677        -2.4735537364 
        0.5800001000        -0.4600000000         0.8740881378        -8.8566171520        -2.5151885192 
        0.5850000000        -0.4600000000         0.8868328952        -8.5246201677        -2.5472152753 
        0.5900000000        -0.4600000000         0.8817349922        -8.6574189614        -2.5824447069 
        0.5950000000        -0.4600000000         0.8817349922        -8.6574189614        -2.6400928678 
        0.6000000000        -0.4600000000         0.8868328952        -8.5246201677        -2.6689169482 
        0.6050000000        -0.4600000000         0.8842839437        -8.5910195645        -2.7137544067 
        0.6100000000        -0.4600000000         0.8766370893        -8.7902177552        -2.7649972163 
        0.6150000000        -0.4600000000         0.8893818467        -8.4582207708        -2.8002266480 
        0.6200000000        -0.4600000000         0.8893818467        -8.4582207708        -2.8418614308 
        0.6250000000        -0.4600000000         0.8740881378        -8.8566171520        -2.8963069161 
        0.6300000000        -0.4600000000         0.8868328952        -8.5246201677        -2.9411443745 
        0.6350000000        -0.4600000000         0.8817349922        -8.6574189614        -2.9891845086 
        0.6400000000        -0.4600000000         0.8817349922        -8.6574189614        -3.0404273182 
        0.6450102000        -0.4600000000         0.8944797497        -8.3254219771        -3.0660487231 
        0.6500000000        -0.4600000000         0.8740881378        -8.8566171520        -3.1172915327 
        0.6550000000        -0.4600000000         0.8740881378        -8.8566171520        -3.1493182888 
        0.6600000000        -0.4600000000         0.8664412833        -9.0558153426        -3.1397102620 
        0.6650000000        -0.4600000000         0.8893818467        -8.4582207708        -3.1333049108 
        0.6700000000        -0.4600000000         0.8842839437        -8.5910195645        -3.1365075864 
        0.6750000000        -0.4600000000         0.8689902348        -8.9894159458        -1.7593570767 
        0.6800000000        -0.4600000000         0.8868328952        -8.5246201677        -1.7625597523 
        0.6850000000        -0.4600000000         0.8740881378        -8.8566171520         3.1311285703 
        0.6900000000        -0.4600000000         0.8817349922        -8.6574189614         3.1311285703 
        0.6950000000        -0.4600000000         0.8689902348        -8.9894159458         3.1407365971 
        0.7000000000        -0.4600000000         0.8868328952        -8.5246201677         3.1119125167 
        0.7050001000        -0.4600000000         0.8689902348        -8.9894159458         3.0638723826 
        0.7100000000        -0.4600000000         0.8817349922        -8.6574189614         3.0158322486 
        0.7150000000        -0.4600000000         0.8562454774        -9.3214129301         2.9677921145 
        0.7200000000        -0.4600000000         0.8868328952        -8.5246201677         2.9261573317 
        0.7250000000        -0.4600000000         0.8740881378        -8.8566171520         2.9037386025 
        0.7300000000        -0.4600000000         0.8868328952        -8.5246201677         2.8460904416 
        0.7350000000        -0.4600000000         0.8740881378        -8.8566171520         2.7916449563 
        0.7400000000        -0.4600000000         0.8740881378        -8.8566171520         2.7500101735 
        0.7450000000        -0.4600000000         0.8766370893        -8.7902177552         2.7211860930 
        0.7500000000        -0.4600000000         0.8740881378        -8.8566171520         2.6667406078 
        0.7550000000        -0.4600000000         0.8664412833        -9.0558153426         2.6187004737 
