           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.6067103000         0.7800000000         1.8121022846        15.5783608959         2.2792168597 
        0.6079699000         0.7800000000         1.7993575272        15.2463639116         2.2888248865 
        0.6092408000         0.7800000000         1.7942596242        15.1135651178         2.3144462913 
        0.6104815000         0.7800000000         1.7866127697        14.9143669272         2.3304596694 
        0.6150001000         0.7800000000         1.7840638182        14.8479675303         2.4009185327 
        0.6200001000         0.7800000000         1.8019064786        15.3127633084         2.4809854227 
        0.6250000000         0.7800000000         1.7917106727        15.0471657209         2.5418362592 
        0.6300000000         0.7800000000         1.7993575272        15.2463639116         2.6219031493 
        0.6350000000         0.7800000000         1.7713190608        14.5159705460         2.6955646882 
        0.6400000000         0.7800000000         1.7840638182        14.8479675303         2.7756315783 
        0.6450001000         0.7800000000         1.8044554301        15.3791627053         2.8621038196 
        0.6500020000         0.7800000000         1.7866127697        14.9143669272         2.9325626829 
        0.6550000000         0.7800000000         1.8044554301        15.3791627053         3.0190349242 
        0.6600000000         0.7800000000         1.7789659153        14.7151687366         3.0830884363 
        0.6650000000         0.7800000000         1.8044554301        15.3791627053         3.1471419483 
        0.6700000000         0.7800000000         1.7866127697        14.9143669272         3.1407365971 
        0.6750001000         0.7800000000         1.8044554301        15.3791627053        -1.7561544011 
        0.6800001000         0.7800000000         1.7968085757        15.1799645147        -3.1301022351 
        0.6850001000         0.7800000000         1.7917106727        15.0471657209        -3.1461156132 
        0.6900000000         0.7800000000         1.7917106727        15.0471657209        -3.1236968839 
        0.6950001000         0.7800000000         1.7917106727        15.0471657209        -3.0564406963 
        0.7000001000         0.7800000000         1.7993575272        15.2463639116        -2.9667657794 
        0.7050001000         0.7800000000         1.7942596242        15.1135651178        -2.8931042405 
        0.7100001000         0.7800000000         1.8070043816        15.4455621022        -2.8130373504 
        0.7150001000         0.7800000000         1.7891617212        14.9807663241        -2.7489838383 
        0.7200000000         0.7800000000         1.8070043816        15.4455621022        -2.6561062458 
        0.7250000000         0.7800000000         1.7942596242        15.1135651178        -2.5888500581 
        0.7300000000         0.7800000000         1.8070043816        15.4455621022        -2.5215938704 
