           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.2200000000         1.2130986854        -0.0254973684         0.6810817334 
        0.0050031000         0.2200000000         1.2054518309        -0.2246955590         0.6746763822 
        0.0100001000         0.2200000000         1.2105497339        -0.0918967653         0.6810817334 
        0.0150000000         0.2200000000         1.2080007824        -0.1582961621         0.6778790578 
        0.0200000000         0.2200000000         1.2130986854        -0.0254973684         0.6842844090 
        0.0250000000         0.2200000000         1.2283923943         0.3728990128         0.6906897602 
        0.0300000000         0.2200000000         1.3507420656         3.5600700625         0.7002977870 
        0.0350174000         0.2200000000         1.2819203755         1.7672863471         0.7002977870 
        0.0400001000         0.2200000000         1.2768224726         1.6344875533         0.7099058138 
        0.0450001000         0.2200000000         1.3099588419         2.4976797126         0.7131084894 
        0.0500000000         0.2200000000         1.3048609389         2.3648809189         0.7355272187 
        0.0550000000         0.2200000000         1.3023119874         2.2984815220         0.7387298943 
        0.0600000000         0.2200000000         1.3099588419         2.4976797126         0.7579459479 
        0.0650000000         0.2200000000         1.3048609389         2.3648809189         0.7611486235 
        0.0700001000         0.2200000000         1.3150567448         2.6304785064         0.7771620015 
        0.0750001000         0.2200000000         1.3150567448         2.6304785064         0.7867700283 
        0.0800000000         0.2200000000         1.3099588419         2.4976797126         0.8123914332 
        0.0850000000         0.2200000000         1.3303504538         3.0288748876         0.8252021356 
        0.0900000000         0.2200000000         1.3201546478         2.7632773001         0.8380128380 
        0.0950000000         0.2200000000         1.3176056963         2.6968779032         0.8508235404 
        0.1000000000         0.2200000000         1.3252525508         2.8960760939         0.8764449452 
        0.1050001000         0.2200000000         1.3150567448         2.6304785064         0.8764449452 
        0.1100000000         0.2200000000         1.3354483567         3.1616736813         0.8924583233 
        0.1150000000         0.2200000000         1.3150567448         2.6304785064         0.8988636745 
        0.1200000000         0.2200000000         1.3328994052         3.0952742845         0.9180797281 
        0.1250000000         0.2200000000         1.3328994052         3.0952742845         0.9372957817 
