           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.1700000000         1.2130986854       164.3401698432         0.6924017469 
        0.0050000000        -0.1700000000         1.2181965884       164.3401698432         8.3012121526 
        0.0100000000        -0.1700000000         1.2156476369       163.7896704575         4.4968069497 
        0.0150000000        -0.1700000000         1.2029028795       163.4226708670       -14.5252190644 
        0.0200000000        -0.1700000000         1.2207455399       164.3401698432        12.1056173554 
        0.0250000000        -0.1700000000         1.2130986854       163.7896704575         0.6924017469 
        0.0300000000        -0.1700000000         1.2105497339       164.3401698432        -3.1120034559 
        0.0350000000        -0.1700000000         1.1187874804       163.7896704575      -140.0705907578 
        0.0400077000        -0.1700000000         1.1544728012       162.5051718907       -86.8089179182 
        0.0450001000        -0.1700000000         1.1723154616       162.5051718907       -60.1780814984 
        0.0500000000        -0.1700000000         1.1340811893       161.5876729145      -117.2441595408 
        0.0550000000        -0.1700000000         1.1315322379       161.2206733240      -121.0485647436 
        0.0600000000        -0.1700000000         1.1621196557       161.2206733240       -75.3957023097 
        0.0650000000        -0.1700000000         1.1417280438       160.6701739382      -105.8309439323 
        0.0700000000        -0.1700000000         1.1366301408       160.4866741430      -113.4397543380 
        0.0750000000        -0.1700000000         1.1519238497       159.7526749620       -90.6133231210 
        0.0800001000        -0.1700000000         1.1213364319       158.2846766000      -136.2661855549 
        0.0850000000        -0.1700000000         1.1315322379       157.9176770095      -121.0485647436 
        0.0900000000        -0.1700000000         1.1289832864       157.0001780333      -124.8529699465 
        0.0950000000        -0.1700000000         1.1213364319       156.8166782380      -136.2661855549 
        0.1000000000        -0.1700000000         1.1264343349       156.0826790570      -128.6573751493 
        0.1050000000        -0.1700000000         1.1264343349       155.8991792618      -128.6573751493 
        0.1100000000        -0.1700000000         1.1264343349       155.3486798760      -128.6573751493 
        0.1150001000        -0.1700000000         1.1264343349       154.4311808998      -128.6573751493 
        0.1200000000        -0.1700000000         1.1213364319       153.5136819235      -136.2661855549 
        0.1250000000        -0.1700000000         1.1264343349       153.3301821283      -128.6573751493 
        0.1300000000        -0.1700000000         1.1187874804       152.2291833568      -140.0705907578 
        0.1350000000        -0.1700000000         1.1136895775       151.1281845853      -147.6794011634 
        0.1400000000        -0.1700000000         1.1187874804       150.5776851996      -140.0705907578 
        0.1450000000        -0.1700000000         1.1085916745       149.4766864281      -155.2882115691 
        0.1500000000        -0.1700000000         1.1187874804       149.1096868376      -140.0705907578 
        0.1550000000        -0.1700000000         1.1085916745       148.0086880661      -155.2882115691 
        0.1600000000        -0.1700000000         1.1009448200       147.6416884756      -166.7014271776 
        0.1650000000        -0.1700000000         1.1085916745       146.9076892946      -155.2882115691 
        0.1700001000        -0.1700000000         1.1060427230       145.9901903184      -159.0926167719 
        0.1750000000        -0.1700000000         1.1111406260       145.6231907279      -151.4838063663 
        0.1800000000        -0.1700000000         1.1111406260       144.7056917516      -151.4838063663 
        0.1850000000        -0.1700000000         1.1162385289       144.5221919564      -143.8749959606 
        0.1900000000        -0.1700000000         1.1111406260       143.7881927754      -151.4838063663 
        0.1950000000        -0.1700000000         1.1085916745       142.5036942086      -155.2882115691 
        0.2000000000        -0.1700000000         1.1111406260       141.7696950276      -151.4838063663 
        0.2050020000        -0.1700000000         1.0932979656       140.3016966657      -178.1146427861 
        0.2100001000        -0.1700000000         1.1162385289       140.4851964609      -143.8749959606 
        0.2150000000        -0.1700000000         1.1085916745       139.3841976894      -155.2882115691 
        0.2200000000        -0.1700000000         1.1034937715       138.6501985084      -162.8970219747 
        0.2250000000        -0.1700000000         1.1085916745       137.5491997369      -155.2882115691 
        0.2300000000        -0.1700000000         1.1034937715       136.8152005559      -162.8970219747 
        0.2350000000        -0.1700000000         1.0983958685       135.5307019892      -170.5058323804 
        0.2400001000        -0.1700000000         1.1009448200       135.3472021939      -166.7014271776 
        0.2450000000        -0.1700000000         1.1009448200       134.2462034225      -166.7014271776 
        0.2500000000        -0.1700000000         1.1085916745       134.0627036272      -155.2882115691 
        0.2550000000        -0.1700000000         1.1034937715       132.9617048557      -162.8970219747 
        0.2600011000        -0.1700000000         1.0983958685       131.8607060842      -170.5058323804 
        0.2650017000        -0.1700000000         1.0983958685       131.1267069032      -170.5058323804 
        0.2700000000        -0.1700000000         1.1009448200       130.0257081317      -166.7014271776 
        0.2750000000        -0.1700000000         1.1009448200       129.8422083365      -166.7014271776 
        0.2800000000        -0.1700000000         1.0932979656       128.0072103840      -178.1146427861 
        0.2850000000        -0.1700000000         1.0983958685       127.4567109983      -170.5058323804 
        0.2900000000        -0.1700000000         1.1060427230       126.7227118173      -159.0926167719 
        0.2950001000        -0.1700000000         1.0882000626       125.9887126363      -185.7234531917 
        0.3000000000        -0.1700000000         1.0983958685       124.5207142743      -170.5058323804 
        0.3050000000        -0.1700000000         1.0983958685       124.3372144790      -170.5058323804 
        0.3100000000        -0.1700000000         1.1009448200       123.7867150933      -166.7014271776 
        0.3150000000        -0.1700000000         1.1034937715       122.8692161170      -162.8970219747 
        0.3200000000        -0.1700000000         1.1034937715       121.5847175503      -162.8970219747 
        0.3250000000        -0.1700000000         1.0882000626       120.3002189836      -185.7234531917 
        0.3300001000        -0.1700000000         1.0882000626       119.7497195978      -185.7234531917 
        0.3350000000        -0.1700000000         1.0907490141       118.6487208263      -181.9190479889 
        0.3400174000        -0.1700000000         1.0907490141       118.6487208263      -181.9190479889 
        0.3450000000        -0.1700000000         1.0856511111       117.1807224643      -189.5278583946 
        0.3500001000        -0.1700000000         1.0932979656       116.4467232833      -178.1146427861 
        0.3550001000        -0.1700000000         1.0932979656       115.8962238976      -178.1146427861 
        0.3600000000        -0.1700000000         1.0882000626       114.4282255356      -185.7234531917 
        0.3650001000        -0.1700000000         1.0907490141       113.6942263546      -181.9190479889 
        0.3700000000        -0.1700000000         1.0932979656       112.7767273784      -178.1146427861 
        0.3750000000        -0.1700000000         1.0831021596       112.0427281974      -193.3322635974 
        0.3800000000        -0.1700000000         1.1034937715       111.3087290164      -162.8970219747 
        0.3850164000        -0.1700000000         1.0882000626       109.8407306544      -185.7234531917 
        0.3900000000        -0.1700000000         1.0882000626       109.8407306544      -185.7234531917 
        0.3950000000        -0.1700000000         1.0932979656       108.3727322924      -178.1146427861 
        0.4000376000        -0.1700000000         1.1034937715       108.0057327019      -162.8970219747 
        0.4050000000        -0.1700000000         1.0932979656       107.0882337257      -178.1146427861 
        0.4100000000        -0.1700000000         1.1009448200       106.3542345447      -166.7014271776 
        0.4150000000        -0.1700000000         1.0882000626       104.8862361827      -185.7234531917 
        0.4200001000        -0.1700000000         1.1009448200       104.5192365922      -166.7014271776 
        0.4250000000        -0.1700000000         1.0780042567       103.0512382302      -200.9410740030 
        0.4300000000        -0.1700000000         1.1009448200       102.6842386397      -166.7014271776 
        0.4350000000        -0.1700000000         1.0882000626       101.0327404825      -185.7234531917 
        0.4400000000        -0.1700000000         1.0932979656       101.0327404825      -178.1146427861 
        0.4450000000        -0.1700000000         1.0932979656        99.5647421205      -178.1146427861 
        0.4500000000        -0.1700000000         1.0754553052        98.4637433490      -204.7454792059 
        0.4550001000        -0.1700000000         1.0856511111        97.3627445775      -189.5278583946 
        0.4600000000        -0.1700000000         1.0780042567        96.2617458060      -200.9410740030 
