           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         3.4600000000         1.2130986854         0.0188574287         2.1190830795 
        0.0050000000         3.4600000000         1.2130986854         0.0188574287         2.1286911063 
        0.0100000000         3.4600000000         1.2029028795        -0.2467401588         2.1126777283 
        0.0150000000         3.4600000000         1.2130986854         0.0188574287         2.1190830795 
        0.0200000000         3.4600000000         1.4272106102         5.5964067657         2.1286911063 
        0.0250000000         3.4600000000         1.3711336775         4.1356200346         2.1607178624 
        0.0300000000         3.4600000000         1.3507420656         3.6044248597         2.1735285648 
        0.0350000000         3.4600000000         1.4501511736         6.1940013376         2.2119606720 
        0.0400000000         3.4600000000         1.4119169013         5.1980103845         2.2311767256 
        0.0450000000         3.4600000000         1.4501511736         6.1940013376         2.2696088329 
        0.0500000000         3.4600000000         1.4476022221         6.1276019407         2.2984329133 
        0.0550000000         3.4600000000         1.4679938340         6.6587971156         2.3240543182 
        0.0600000000         3.4600000000         1.4807385914         6.9907941000         2.3688917766 
        0.0650000000         3.4600000000         1.4909343974         7.2563916875         2.3913105058 
        0.0700000000         3.4600000000         1.4832875429         7.0571934969         2.4329452887 
        0.0750000000         3.4600000000         1.4883854459         7.1899922906         2.4713773959 
        0.0800000000         3.4600000000         1.4909343974         7.2563916875         2.5002014764 
        0.0850000000         3.4600000000         1.5215218152         8.0531844499         2.5578496372 
        0.0900000000         3.4600000000         1.5189728637         7.9867850530         2.5898763933 
        0.0950000000         3.4600000000         1.5113260093         7.7875868624         2.6187004737 
        0.1000000000         3.4600000000         1.5393644756         8.5179802280         2.6763486346 
        0.1050000000         3.4600000000         1.5393644756         8.5179802280         2.7147807418 
        0.1100000000         3.4600000000         1.5368155241         8.4515808311         2.7532128491 
        0.1150000000         3.4600000000         1.5419134271         8.5843796249         2.8044556587 
        0.1200000000         3.4600000000         1.5648539905         9.1819741967         2.8589011440 
        0.1250000000         3.4600000000         1.5470113301         8.7171784186         2.8941305756 
        0.1300000000         3.4600000000         1.5674029419         9.2483735936         2.9357653585 
        0.1350000000         3.4600000000         1.5699518934         9.3147729904         2.9934135194 
        0.1400000000         3.4600000000         1.5546581845         8.9163766092         3.0286429510 
        0.1450000000         3.4600000000         1.5699518934         9.3147729904         3.0798857607 
        0.1500000000         3.4600000000         1.5877945538         9.7795687685         3.1343312459 
        0.1550000000         3.4600000000         1.5775987479         9.5139711810         3.1311285703 
        0.1600000000         3.4600000000         1.5877945538         9.7795687685         3.1407365971 
        0.1650000000         3.4600000000         1.6005393113        10.1115657529        -1.7465463743 
        0.1700000000         3.4600000000         1.5826966509         9.6467699748        -1.7593570767 
        0.1750000000         3.4600000000         1.6081861657        10.3107639435        -3.1493182888 
        0.1800001000         3.4600000000         1.5877945538         9.7795687685        -3.1429129376 
        0.1850000000         3.4600000000         1.5954414083         9.9787669591        -3.1493182888 
        0.1900090000         3.4600000000         1.6183819717        10.5763615309        -3.1268995595 
        0.1950000000         3.4600000000         1.6081861657        10.3107639435        -3.0820621011 
        0.2000000000         3.4600000000         1.6158330202        10.5099621341        -3.0116032378 
        0.2050033000         3.4600000000         1.6285777776        10.8419591184        -2.9603604281 
        0.2100001000         3.4600000000         1.6311267291        10.9083585153        -2.8995095917 
        0.2150000000         3.4600000000         1.6158330202        10.5099621341        -2.8546721332 
        0.2200000000         3.4600000000         1.6311267291        10.9083585153        -2.8034293236 
        0.2250000000         3.4600000000         1.6158330202        10.5099621341        -2.7521865139 
        0.2300000000         3.4600000000         1.6464204380        11.3067548965        -2.6817276506 
        0.2350000000         3.4600000000         1.6489693895        11.3731542934        -2.6304848410 
        0.2400000000         3.4600000000         1.6209309231        10.6427609278        -2.5952554093 
        0.2450000000         3.4600000000         1.6566162440        11.5723524840        -2.5279992216 
        0.2500000000         3.4600000000         1.6285777776        10.8419591184        -2.4703510608 
        0.2550000000         3.4600000000         1.6515183410        11.4395536902        -2.4159055755 
        0.2600000000         3.4600000000         1.6489693895        11.3731542934        -2.3486493878 
        0.2650000000         3.4600000000         1.6489693895        11.3731542934        -2.3102172806 
        0.2700000000         3.4600000000         1.6413225350        11.1739561028        -2.2461637685 
        0.2750000000         3.4600000000         1.6591651954        11.6387518809        -2.1981236344 
        0.2800000000         3.4600000000         1.6515183410        11.4395536902        -2.1212594199 
        0.2850000000         3.4600000000         1.6795568073        12.1699470558        -2.0668139347 
        0.2900001000         3.4600000000         1.6617141469        11.7051512777        -2.0091657738 
        0.2950000000         3.4600000000         1.6693610014        11.9043494683        -1.9515176129 
        0.3000000000         3.4600000000         1.6617141469        11.7051512777        -1.9162881813 
        0.3050000000         3.4600000000         1.6770078558        12.1035476589        -1.8394239668 
        0.3100000000         3.4600000000         1.6719099529        11.9707488652        -1.7785731303 
        0.3150000000         3.4600000000         1.6693610014        11.9043494683        -1.7305329963 
        0.3200000000         3.4600000000         1.6642630984        11.7715506746        -1.6696821598 
        0.3250000000         3.4600000000         1.7024973707        12.7675416276        -1.6056286477 
        0.3300000000         3.4600000000         1.6719099529        11.9707488652        -1.5575885137 
        0.3350000000         3.4600000000         1.6821057588        12.2363464527        -1.4935350016 
        0.3400071000         3.4600000000         1.6770078558        12.1035476589        -1.4422921919 
        0.3450000000         3.4600000000         1.6999484192        12.7011422308        -1.3686306530 
        0.3500000000         3.4600000000         1.6719099529        11.9707488652        -1.3269958702 
        0.3550001000         3.4600000000         1.6923015648        12.5019440402        -1.2597396825 
        0.3600000000         3.4600000000         1.6897526133        12.4355446433        -1.1988888460 
        0.3650000000         3.4600000000         1.6897526133        12.4355446433        -1.1252273072 
        0.3700000000         3.4600000000         1.7101442252        12.9667398182        -1.0707818219 
        0.3750000000         3.4600000000         1.7050463222        12.8339410245        -1.0099309854 
        0.3800000000         3.4600000000         1.6897526133        12.4355446433        -0.9522828245 
        0.3850000000         3.4600000000         1.7101442252        12.9667398182        -0.8978373393 
        0.3900000000         3.4600000000         1.6999484192        12.7011422308        -0.8241758004 
        0.3950000000         3.4600000000         1.6973994677        12.6347428339        -0.7633249639 
        0.4000000000         3.4600000000         1.7279868856        13.4315355963        -0.6992714518 
        0.4050000000         3.4600000000         1.6897526133        12.4355446433        -0.6544339934 
        0.4100000000         3.4600000000         1.7126931766        13.0331392151        -0.5775697789 
        0.4150013000         3.4600000000         1.7024973707        12.7675416276        -0.5295296448 
        0.4200001000         3.4600000000         1.7101442252        12.9667398182        -0.4526654304 
        0.4250000000         3.4600000000         1.7024973707        12.7675416276        -0.3886119183 
        0.4300000000         3.4600000000         1.7203400311        13.2323374057        -0.3277610818 
        0.4350000000         3.4600000000         1.7126931766        13.0331392151        -0.2540995429 
        0.4400000000         3.4600000000         1.7152421281        13.0995386120        -0.1964513820 
        0.4450000000         3.4600000000         1.7254379341        13.3651361995        -0.1516139236 
        0.4500000000         3.4600000000         1.7050463222        12.8339410245        -0.0811550603 
        0.4550000000         3.4600000000         1.7024973707        12.7675416276        -0.0235068994 
        0.4600000000         3.4600000000         1.7330847885        13.5643343901         0.0565599907 
        0.4650000000         3.4600000000         1.7126931766        13.0331392151         0.1174108271 
        0.4700000000         3.4600000000         1.7203400311        13.2323374057         0.1750589880 
        0.4750000000         3.4600000000         1.7075952737        12.9003404214         0.2359098245 
        0.4800001000         3.4600000000         1.7305358370        13.4979349932         0.3127740390 
        0.4850000000         3.4600000000         1.6999484192        12.7011422308         0.3672195242 
        0.4900000000         3.4600000000         1.7407316430        13.7635325807         0.4408810631 
        0.4950000000         3.4600000000         1.7050463222        12.8339410245         0.4857185216 
        0.5000000000         3.4600000000         1.7356337400        13.6307337869         0.5657854117 
        0.5050000000         3.4600000000         1.6999484192        12.7011422308         0.6202308969 
        0.5100000000         3.4600000000         1.7305358370        13.4979349932         0.6906897602 
        0.5150000000         3.4600000000         1.7177910796        13.1659380088         0.7515405967 
        0.5200000000         3.4600000000         1.7203400311        13.2323374057         0.8252021356 
        0.5250000000         3.4600000000         1.7177910796        13.1659380088         0.8796476208 
        0.5300000000         3.4600000000         1.7126931766        13.0331392151         0.9340931061 
