           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         2.2200000000         1.2080007824        -0.1139413650         1.0173626718 
        0.0050001000         2.2200000000         1.2029028795        -0.2467401588         1.0205653474 
        0.0100001000         2.2200000000         1.2105497339        -0.0475419682         1.0205653474 
        0.0150000000         2.2200000000         1.2156476369         0.0852568256         1.0237680230 
        0.0200001000         2.2200000000         1.2105497339        -0.0475419682         1.0205653474 
        0.0250001000         2.2200000000         1.2130986854         0.0188574287         1.0205653474 
        0.0300000000         2.2200000000         1.2054518309        -0.1803407619         1.0141599962 
        0.0350000000         2.2200000000         1.2105497339        -0.0475419682         1.0301733742 
        0.0400001000         2.2200000000         1.1493748983        -1.6411274930         1.0173626718 
        0.0450000000         2.2200000000         1.1697665101        -1.1099323181         1.0045519694 
        0.0500000000         2.2200000000         1.1748644131        -0.9771335243         0.9917412670 
        0.0550001000         2.2200000000         1.1621196557        -1.3091305087         1.0045519694 
        0.0600094000         2.2200000000         1.1723154616        -1.0435329212         0.9885385914 
        0.0650000000         2.2200000000         1.1850602191        -0.7115359369         0.9949439426 
        0.0700001000         2.2200000000         1.1774133646        -0.9107341275         0.9821332402 
        0.0750072000         2.2200000000         1.2054518309        -0.1803407619         0.9885385914 
        0.0800000000         2.2200000000         1.2029028795        -0.2467401588         0.9949439426 
        0.0850001000         2.2200000000         1.2080007824        -0.1139413650         0.9789305646 
        0.0900000000         2.2200000000         1.2156476369         0.0852568256         0.9789305646 
        0.0950000000         2.2200000000         1.2156476369         0.0852568256         0.9949439426 
        0.1000001000         2.2200000000         1.2029028795        -0.2467401588         0.9725252133 
        0.1050001000         2.2200000000         1.2130986854         0.0188574287         0.9917412670 
        0.1100000000         2.2200000000         1.2156476369         0.0852568256         0.9949439426 
        0.1150001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.1200001000         2.2200000000         1.2105497339        -0.0475419682         0.9917412670 
        0.1250000000         2.2200000000         1.2130986854         0.0188574287         0.9853359158 
        0.1300001000         2.2200000000         1.2181965884         0.1516562224         0.9821332402 
        0.1350001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.1400000000         2.2200000000         1.2080007824        -0.1139413650         0.9789305646 
        0.1450001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.1500001000         2.2200000000         1.2029028795        -0.2467401588         0.9757278890 
        0.1550000000         2.2200000000         1.2207455399         0.2180556193         0.9949439426 
        0.1600000000         2.2200000000         1.2105497339        -0.0475419682         0.9853359158 
        0.1650001000         2.2200000000         1.2232944913         0.2844550162         0.9949439426 
        0.1700000000         2.2200000000         1.2130986854         0.0188574287         0.9917412670 
        0.1750000000         2.2200000000         1.2080007824        -0.1139413650         0.9789305646 
        0.1800001000         2.2200000000         1.2181965884         0.1516562224         0.9949439426 
        0.1850000000         2.2200000000         1.2207455399         0.2180556193         0.9949439426 
        0.1900000000         2.2200000000         1.2130986854         0.0188574287         0.9853359158 
        0.1950001000         2.2200000000         1.2080007824        -0.1139413650         0.9853359158 
        0.2000000000         2.2200000000         1.2105497339        -0.0475419682         0.9949439426 
        0.2050000000         2.2200000000         1.2207455399         0.2180556193         0.9949439426 
        0.2100001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.2150000000         2.2200000000         1.2054518309        -0.1803407619         0.9789305646 
        0.2200000000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.2250001000         2.2200000000         1.2105497339        -0.0475419682         0.9885385914 
        0.2300001000         2.2200000000         1.2207455399         0.2180556193         0.9885385914 
        0.2350000000         2.2200000000         1.2130986854         0.0188574287         0.9853359158 
        0.2400001000         2.2200000000         1.2130986854         0.0188574287         0.9853359158 
        0.2450001000         2.2200000000         1.2130986854         0.0188574287         0.9853359158 
        0.2500000000         2.2200000000         1.2105497339        -0.0475419682         0.9885385914 
        0.2550001000         2.2200000000         1.2156476369         0.0852568256         0.9917412670 
        0.2600001000         2.2200000000         1.2207455399         0.2180556193         0.9949439426 
        0.2650000000         2.2200000000         1.2181965884         0.1516562224         0.9917412670 
        0.2700001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.2750001000         2.2200000000         1.2156476369         0.0852568256         0.9949439426 
        0.2800000000         2.2200000000         1.2105497339        -0.0475419682         0.9885385914 
        0.2850000000         2.2200000000         1.2105497339        -0.0475419682         0.9885385914 
        0.2900001000         2.2200000000         1.2130986854         0.0188574287         0.9885385914 
        0.2950000000         2.2200000000         1.2156476369         0.0852568256         0.9949439426 
        0.3000000000         2.2200000000         1.2080007824        -0.1139413650         0.9789305646 
        0.3050001000         2.2200000000         1.2181965884         0.1516562224         0.9949439426 
        0.3100000000         2.2200000000         1.2105497339        -0.0475419682         0.9885385914 
