           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         1.6400000000         1.2003539280        -0.3131395556        -2.5888500581 
        0.0050000000         1.6400000000         1.2181965884         0.1516562224        -2.5696340045 
        0.0100000000         1.6400000000         1.2207455399         0.2180556193        -2.5728366801 
        0.0150000000         1.6400000000         1.2105497339        -0.0475419682        -2.5792420313 
        0.0200000000         1.6400000000         1.1468259468        -1.7075268899        -2.5920527337 
        0.0250000000         1.6400000000         0.9938888576        -5.6914907021        -2.6080661117 
        0.0300000000         1.6400000000         1.0932979656        -3.1019142241        -2.6240794897 
        0.0350000000         1.6400000000         1.0474168388        -4.2971033678        -2.6432955434 
        0.0400000000         1.6400000000         0.9887909546        -5.8242894958        -2.6721196238 
        0.0450000000         1.6400000000         1.0474168388        -4.2971033678        -2.6977410286 
        0.0500000000         1.6400000000         0.9887909546        -5.8242894958        -2.7233624335 
        0.0550000000         1.6400000000         0.9989867606        -5.5586919083        -2.7457811627 
        0.0600000000         1.6400000000         0.9531056338        -6.7538810520        -2.7874159455 
        0.0650000000         1.6400000000         0.9964378091        -5.6250913052        -2.8130373504 
        0.0700000000         1.6400000000         0.9556545853        -6.6874816551        -2.8514694576 
        0.0750000000         1.6400000000         0.9709482942        -6.2890852739        -2.8770908624 
        0.0800000000         1.6400000000         0.9556545853        -6.6874816551        -2.8995095917 
        0.0850000000         1.6400000000         0.9454587794        -6.9530792426        -2.9475497257 
        0.0900000000         1.6400000000         0.9531056338        -6.7538810520        -2.9763738062 
        0.0950001000         1.6400000000         0.9378119249        -7.1522774332        -3.0148059134 
        0.1000000000         1.6400000000         0.9250671675        -7.4842744175        -3.0596433719 
        0.1050000000         1.6400000000         0.9276161190        -7.4178750207        -3.0916701279 
        0.1100000000         1.6400000000         0.9148713616        -7.7498720050        -3.1301022351 
        0.1150000000         1.6400000000         0.9454587794        -6.9530792426        -3.1333049108 
        0.1200000000         1.6400000000         0.9046755556        -8.0154695925        -3.1461156132 
        0.1250000000         1.6400000000         0.9225182160        -7.5506738144        -3.1365075864 
        0.1300000000         1.6400000000         0.9021266041        -8.0818689894        -3.1365075864 
        0.1350000000         1.6400000000         0.9276161190        -7.4178750207        -1.7337356719 
        0.1400000000         1.6400000000         0.8791860408        -8.6794635612        -1.7721677791 
        0.1450000000         1.6400000000         0.8995776526        -8.1482683862         3.1311285703 
        0.1500000000         1.6400000000         0.8817349922        -8.6130641643         3.1375339215 
        0.1550000000         1.6400000000         0.9021266041        -8.0818689894         3.1343312459 
        0.1600000000         1.6400000000         0.8740881378        -8.8122623549         3.1151151923 
        0.1650000000         1.6400000000         0.8919307982        -8.3474665768         3.0830884363 
        0.1700000000         1.6400000000         0.8791860408        -8.6794635612         3.0318456266 
        0.1750000000         1.6400000000         0.8944797497        -8.2810671800         3.0030215462 
        0.1800001000         1.6400000000         0.8868328952        -8.4802653706         2.9485760609 
        0.1850000000         1.6400000000         0.8587944289        -9.2106587361         2.9037386025 
        0.1900000000         1.6400000000         0.8689902348        -8.9450611487         2.8589011440 
        0.1950000000         1.6400000000         0.8842839437        -8.5466647674         2.8172663611 
        0.2000000000         1.6400000000         0.8740881378        -8.8122623549         2.7628208759 
        0.2050000000         1.6400000000         0.8638923318        -9.0778599424         2.7371994711 
        0.2100001000         1.6400000000         0.8766370893        -8.7458629580         2.6891593370 
        0.2150000000         1.6400000000         0.8868328952        -8.4802653706         2.6475245541 
        0.2200001000         1.6400000000         0.8562454774        -9.2770581330         2.5866737177 
        0.2250000000         1.6400000000         0.8664412833        -9.0114605455         2.5418362592 
        0.2300000000         1.6400000000         0.8536965259        -9.3434575299         2.4841880984 
        0.2350000000         1.6400000000         0.8460496714        -9.5426557205         2.4393506399 
        0.2400001000         1.6400000000         0.8791860408        -8.6794635612         2.4041212083 
        0.2450000000         1.6400000000         0.8664412833        -9.0114605455         2.3688917766 
        0.2500000000         1.6400000000         0.8511475744        -9.4098569267         2.3144462913 
        0.2550000000         1.6400000000         0.8638923318        -9.0778599424         2.2567981305 
        0.2600000000         1.6400000000         0.8485986229        -9.4762563236         2.2215686988 
        0.2650000000         1.6400000000         0.8664412833        -9.0114605455         2.1639205380 
        0.2700000000         1.6400000000         0.8231091081       -10.1402502923         2.1222857551 
        0.2750000000         1.6400000000         0.8868328952        -8.4802653706         2.0774482967 
        0.2800000000         1.6400000000         0.8256580595       -10.0738508954         2.0326108382 
        0.2850000000         1.6400000000         0.8817349922        -8.6130641643         1.9877733798 
        0.2900001000         1.6400000000         0.8205601566       -10.2066496892         1.9365305701 
        0.2950000000         1.6400000000         0.8638923318        -9.0778599424         1.8884904360 
        0.3000000000         1.6400000000         0.8435007200        -9.6090551173         1.8500583288 
        0.3050000000         1.6400000000         0.8562454774        -9.2770581330         1.7860048167 
        0.3100000000         1.6400000000         0.8333049140        -9.8746527048         1.7475727095 
        0.3150000000         1.6400000000         0.8587944289        -9.2106587361         1.7027352510 
        0.3200000000         1.6400000000         0.8282070110       -10.0074514986         1.6482897658 
