           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2054518309        -0.2038461484         2.6699432834 
        0.0050000000         0.0118746506         1.2130986854        -0.0046479578         2.6699432834 
        0.0100001000         0.0237461212         1.2156476369         0.0617514391         2.6731459590 
        0.0150001000         0.0356105204         1.2232944913         0.2609496297         2.6859566614 
        0.0200001000         0.0474646712         1.2232944913         0.2609496297         2.6635379322 
        0.0250000000         0.0593049255         1.2232944913         0.2609496297         2.6667406078 
        0.0300000000         0.0711283493         1.2334902973         0.5265472172         2.6699432834 
        0.0350000000         0.0829313031         1.2309413458         0.4601478203         2.6795513102 
        0.0400001000         0.0947106252         1.2436861032         0.7921448047         2.6859566614 
        0.0450001000         0.1064624548         1.2487840062         0.9249435984         2.6891593370 
        0.0500001000         0.1181836454         1.2513329577         0.9913429953         2.6955646882 
        0.0550000000         0.1298705905         1.2615287636         1.2569405827         2.7115780662 
        0.0600000000         0.1415203941         1.2640777151         1.3233399796         2.7147807418 
        0.0650000000         0.1531294694         1.2538819092         1.0577423921         2.7083753906 
        0.0700000000         0.1646944755         1.2589798122         1.1905411859         2.7211860930 
        0.0750001000         0.1762123139         1.2819203755         1.7881357577         2.7371994711 
        0.0800001000         0.1876792092         1.2768224726         1.6553369640         2.7404021467 
        0.0850000000         0.1990918645         1.2768224726         1.6553369640         2.7371994711 
        0.0900000000         0.2104474517         1.2768224726         1.6553369640         2.7500101735 
        0.0950000000         0.2217424742         1.2819203755         1.7881357577         2.7532128491 
        0.1000000000         0.2329736812         1.2946651330         2.1201327420         2.7724289027 
        0.1050001000         0.2441380631         1.3048609389         2.3857303295         2.7820369295 
        0.1100001000         0.2552319603         1.3023119874         2.3193309326         2.8012529831 
        0.1150001000         0.2662524042         1.3176056963         2.7177273139         2.8172663611 
        0.1200000000         0.2771960050         1.3048609389         2.3857303295         2.8204690368 
        0.1250000000         0.2880600510         1.3227035993         2.8505261076         2.8396850904 
        0.1300000000         0.2988411960         1.3125077934         2.5849285201         2.8396850904 
        0.1350001000         0.3095365502         1.3252525508         2.9169255045         2.8556984684 
        0.1400001000         0.3201426080         1.3354483567         3.1825230919         2.8749145220 
        0.1450001000         0.3306565316         1.3328994052         3.1161236951         2.8877252244 
        0.1500000000         0.3410750880         1.3456441627         3.4481206794         2.9197519805 
        0.1550000000         0.3513956954         1.3456441627         3.4481206794         2.9229546561 
        0.1600000000         0.3616151744         1.3634868231         3.9129164575         2.9549814121 
        0.1650001000         0.3717307851         1.3609378716         3.8465170606         2.9677921145 
        0.1700001000         0.3817392118         1.3558399686         3.7137182669         2.9709947901 
        0.1750001000         0.3916377775         1.3660357746         3.9793158544         2.9934135194 
        0.1800001000         0.4014236334         1.3762315805         4.2449134419         3.0286429510 
        0.1850000000         0.4110937712         1.3813294835         4.3777122356         3.0446563290 
        0.1900000000         0.4206457944         1.3991721439         4.8425080137         3.0702777339 
        0.1950000000         0.4300767597         1.3838784350         4.4441116325         3.0894937875 
        0.2000001000         0.4393841378         1.3991721439         4.8425080137         3.1151151923 
        0.2050001000         0.4485648777         1.3991721439         4.8425080137         3.1375339215 
        0.2100001000         0.4576165249         1.4068189983         5.0417062043         3.1343312459 
        0.2150000000         0.4665362972         1.4119169013         5.1745049980         3.1471419483 
        0.2200000000         0.4753219844         1.4272106102         5.5729013792         3.1375339215 
        0.2250000000         0.4839708783         1.4144658528         5.2409043949         3.1407365971 
