           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2130986854        -0.0046479578        -2.2493664441 
        0.0050000000         0.0087962279         1.2080007824        -0.1374467515        -2.2461637685 
        0.0100001000         0.0175912426         1.2207455399         0.1945502328        -2.2333530661 
        0.0150001000         0.0263833036         1.2156476369         0.0617514391        -2.2397584173 
        0.0200001000         0.0351711984         1.2080007824        -0.1374467515        -2.2493664441 
        0.0250001000         0.0439535392         1.2080007824        -0.1374467515        -2.2397584173 
        0.0300001000         0.0527289393         1.2130986854        -0.0046479578        -2.2397584173 
        0.0350000000         0.0614958376         1.2207455399         0.1945502328        -2.2333530661 
        0.0400001000         0.0702533754         1.2130986854        -0.0046479578        -2.2365557417 
        0.0450001000         0.0789996441         1.2130986854        -0.0046479578        -2.2365557417 
        0.0500001000         0.0877334380         1.2181965884         0.1281508360        -2.2365557417 
        0.0550001000         0.0964533777         1.2844693270         1.8545351546        -2.2397584173 
        0.0600001000         0.1051580863         1.2513329577         0.9913429953        -2.2269477149 
        0.0650000000         0.1138460156         1.2538819092         1.0577423921        -2.2205423637 
        0.0700000000         0.1225161413         1.2793714240         1.7217363608        -2.2141370125 
        0.0750001000         0.1311670929         1.2615287636         1.2569405827        -2.2077316612 
        0.0800001000         0.1397971587         1.2742735211         1.5889375671        -2.2013263100 
        0.0850077000         0.1484182155         1.2768224726         1.6553369640        -2.2013263100 
        0.0900001000         0.1569897041         1.2946651330         2.1201327420        -2.1757049052 
        0.0950000000         0.1655492979         1.2844693270         1.8545351546        -2.1725022296 
        0.1000000000         0.1740829210         1.2921161815         2.0537333452        -2.1628942028 
        0.1050001000         0.1825892242         1.2972140844         2.1865321389        -2.1468808248 
        0.1100001000         0.1910665241         1.2946651330         2.1201327420        -2.1404754736 
        0.1150001000         0.1995136523         1.2895672300         1.9873339483        -2.1308674468 
        0.1200001000         0.2079292751         1.3201546478         2.7841267107        -2.1116513931 
        0.1250000000         0.2163118961         1.2946651330         2.1201327420        -2.1180567443 
        0.1300000000         0.2246605269         1.3150567448         2.6513279170        -2.0988406907 
        0.1350001000         0.2329738470         1.3099588419         2.5185291233        -2.0860299883 
        0.1400001000         0.2412502114         1.3227035993         2.8505261076        -2.0636112591 
        0.1450001000         0.2494884795         1.3150567448         2.6513279170        -2.0604085835 
        0.1500001000         0.2576873504         1.3328994052         3.1161236951        -2.0411925298 
        0.1550001000         0.2658455296         1.3354483567         3.1825230919        -2.0251791518 
        0.1600000000         0.2739615668         1.3252525508         2.9169255045        -2.0251791518 
        0.1650001000         0.2820346659         1.3354483567         3.1825230919        -2.0059630982 
        0.1700001000         0.2900630667         1.3354483567         3.1825230919        -1.9803416934 
        0.1750001000         0.2980456633         1.3456441627         3.4481206794        -1.9771390178 
        0.1800001000         0.3059811949         1.3507420656         3.5809194732        -1.9483149373 
        0.1850001000         0.3138684085         1.3507420656         3.5809194732        -1.9419095861 
        0.1900000000         0.3217059024         1.3558399686         3.7137182669        -1.9226935325 
        0.1950000000         0.3294927525         1.3558399686         3.7137182669        -1.9066801545 
        0.2000001000         0.3372277260         1.3583889201         3.7801176638        -1.8842614253 
        0.2050001000         0.3449092922         1.3711336775         4.1121146481        -1.8522346692 
        0.2100001000         0.3525363931         1.3558399686         3.7137182669        -1.8490319936 
        0.2150001000         0.3601078245         1.3660357746         3.9793158544        -1.8362212912 
        0.2200000000         0.3676222410         1.3762315805         4.2449134419        -1.8073972108 
        0.2250000000         0.3750787565         1.3838784350         4.4441116325        -1.7881811571 
        0.2300001000         0.3824761900         1.3915252894         4.6433098231        -1.7529517255 
        0.2350001000         0.3898130776         1.3915252894         4.6433098231        -1.7497490499 
        0.2400001000         0.3970884093         1.3966231924         4.7761086168        -1.7081142671 
        0.2450001000         0.4043010360         1.4144658528         5.2409043949        -1.6953035646 
        0.2500000000         0.4114496766         1.3966231924         4.7761086168        -1.6632768086 
        0.2550000000         0.4185334881         1.4246616587         5.5065019824        -1.6504661062 
        0.2600001000         0.4255513480         1.4042700468         4.9753068074        -1.6248447014 
        0.2650017000         0.4325040808         1.4272106102         5.5729013792        -1.6056286477 
        0.2700001000         0.4393840898         1.4246616587         5.5065019824        -1.5671965405 
        0.2750001000         0.4461969284         1.4552490766         6.3032947448        -1.5415751357 
        0.2800001000         0.4529393072         1.4246616587         5.5065019824        -1.5127510552 
        0.2850000000         0.4596100290         1.4577980281         6.3696941417        -1.4839269748 
        0.2900001000         0.4662084384         1.4323085132         5.7057001730        -1.4583055700 
        0.2950001000         0.4727330954         1.4501511736         6.1704959511        -1.4326841651 
        0.3000001000         0.4791831024         1.4628959310         6.5024929354        -1.3910493823 
        0.3050001000         0.4855574408         1.4552490766         6.3032947448        -1.3654279774 
        0.3100001000         0.4918551040         1.4654448825         6.5688923323        -1.3366038970 
        0.3150000000         0.4980749740         1.4781896399         6.9008893166        -1.2981717898 
        0.3200000000         0.5042163174         1.4781896399         6.9008893166        -1.2629423581 
        0.3250001000         0.5102781596         1.4883854459         7.1664869041        -1.2309156021 
        0.3300001000         0.5162593009         1.4960323003         7.3656850947        -1.1860781436 
        0.3350001000         0.5221589190         1.4756406885         6.8344899198        -1.1668620900 
        0.3400001000         0.5279760820         1.5087770578         7.6976820791        -1.1124166047 
        0.3450000000         0.5337097577         1.5036791548         7.5648832853        -1.0867951999 
        0.3500001000         0.5393593821         1.5011302033         7.4984838885        -1.0547684439 
        0.3550001000         0.5449237215         1.5189728637         7.9632796665        -1.0163363366 
        0.3600001000         0.5504020112         1.5189728637         7.9632796665        -0.9747015538 
        0.3650001000         0.5557933860         1.5164239122         7.8968802697        -0.9394721221 
        0.3700001000         0.5610969946         1.5419134271         8.5608742384        -0.9010400149 
        0.3750000000         0.5663118961         1.5266197182         8.1624778572        -0.8594052320 
        0.3800000000         0.5714374755         1.5266197182         8.1624778572        -0.8145677736 
        0.3850001000         0.5764729181         1.5368155241         8.4280754446        -0.7889463688 
        0.3900001000         0.5814172274         1.5495602815         8.7600724290        -0.7377035591 
        0.3950001000         0.5862697241         1.5521092330         8.8264718258        -0.6992714518 
        0.4000001000         0.5910296421         1.5597560875         9.0256700165        -0.6480286422 
        0.4050001000         0.5956962296         1.5572071360         8.9592706196        -0.6160018861 
        0.4100000000         0.6002686593         1.5674029419         9.2248682071        -0.5711644277 
        0.4150001000         0.6047464806         1.5750497964         9.4240663977        -0.5263269692 
        0.4200001000         0.6091287149         1.5572071360         8.9592706196        -0.4782868352 
        0.4250001000         0.6134147608         1.5801476994         9.5568651914        -0.4366520523 
        0.4300001000         0.6176039413         1.5775987479         9.4904657945        -0.3950172695 
        0.4350001000         0.6216955950         1.5826966509         9.6232645883        -0.3533824866 
        0.4400000000         0.6256889969         1.5826966509         9.6232645883        -0.3021396770 
        0.4450000000         0.6295836761         1.5903435053         9.8224627789        -0.2508968673 
        0.4500001000         0.6333790116         1.5775987479         9.4904657945        -0.2060594089 
        0.4550001000         0.6370742524         1.6081861657        10.2872585570        -0.1484112480 
        0.4600001000         0.6406688917         1.5877945538         9.7560633820        -0.1099791407 
        0.4650001000         0.6441623620         1.6005393113        10.0880603664        -0.0683443579 
        0.4700000000         0.6475540448         1.6030882627        10.1544597632        -0.0138988726 
        0.4750001000         0.6508436049         1.6030882627        10.1544597632         0.0277359102 
        0.4800001000         0.6540303224         1.5979903598        10.0216609695         0.0725733687 
        0.4850001000         0.6571137610         1.6209309231        10.6192555413         0.1366268808 
        0.4900001000         0.6600934337         1.6081861657        10.2872585570         0.1782616636 
        0.4950001000         0.6629688700         1.6005393113        10.0880603664         0.2295044733 
