           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2130986854      -100.4367355616        -0.2054378810 
        0.0050000000         0.0167116850         1.2029028795      -101.5377343331       -15.4230586923 
        0.0100000000         0.0334138437         1.2207455399      -100.9872349474        11.2077777275 
        0.0150000000         0.0500969551         1.2130986854      -100.4367355616        -0.2054378810 
        0.0200000000         0.0667515091         1.2309413458      -100.2532357664        26.4253985388 
        0.0250000000         0.0833680121         1.2615287636      -100.2532357664        72.0782609728 
        0.0300000000         0.0999369918         1.2334902973      -100.4367355616        30.2298037417 
        0.0350000000         0.1164490033         1.2309413458      -100.6202353569        26.4253985388 
        0.0400000000         0.1328946341         1.2411371518      -100.4367355616        41.6430193502 
        0.0450000000         0.1492645095         1.2436861032      -100.0697359711        45.4474245530 
        0.0500000000         0.1655492979         1.2487840062      -100.8037351521        53.0562349587 
        0.0550031000         0.1817497233         1.2462350547      -103.0057326951        49.2518297558 
        0.0600000000         0.1978265358         1.2742735211       -98.7852374044        91.1002869869 
        0.0650000000         0.2138005859         1.2768224726       -98.6017376091        94.9046921898 
        0.0700000000         0.2296527608         1.2640777151       -98.9687371996        75.8826661756 
        0.0750000000         0.2453740241         1.2768224726       -97.8677384281        94.9046921898 
        0.0800000000         0.2609554142         1.2717245696       -97.8677384281        87.2958817841 
        0.0850000000         0.2763880489         1.2946651330       -96.0327404756       121.5355286096 
        0.0900000000         0.2916631310         1.2972140844       -94.5647421137       125.3399338124 
        0.0950000000         0.3067719530         1.3099588419       -95.6657408851       144.3619598266 
        0.1000000000         0.3217059024         1.3176056963       -94.7482419089       155.7751754350 
        0.1050000000         0.3364564662         1.3303504538       -92.9132439564       174.7972014492 
        0.1100000000         0.3510152359         1.3303504538       -92.9132439564       174.7972014492 
        0.1150000000         0.3653739124         1.3507420656       -92.5462443659       205.2324430718 
        0.1200000000         0.3795243107         1.3558399686       -91.6287453897       212.8412534775 
        0.1250000000         0.3934583645         1.3609378716       -90.5277466182       220.4500638831 
        0.1300000000         0.4071681308         1.3787805320       -89.0597482562       247.0809003029 
        0.1350000000         0.4206457944         1.3685847260       -88.3257490752       231.8632794916 
        0.1400000000         0.4338836726         1.3966231924       -86.8577507132       273.7117367228 
        0.1450000000         0.4468742192         1.3813294835       -85.7567519417       250.8853055058 
        0.1500000000         0.4596100290         1.4042700468       -84.2887535797       285.1249523312 
        0.1550000000         0.4720838422         1.4042700468       -84.1052537845       285.1249523312 
