           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2080007824       215.7201125128        -8.2022976173 
        0.0050000000         0.0109951221         1.2054518309       215.9036123080       -12.0067028201 
        0.0100000000         0.0219875314         1.2054518309       215.7201125128       -12.0067028201 
        0.0150000000         0.0329745155         1.2130986854       216.2706118985        -0.5934872116 
        0.0200000000         0.0439533637         1.2130986854       216.2706118985        -0.5934872116 
        0.0250000000         0.0549213670         1.2156476369       216.2706118985         3.2109179912 
        0.0300000000         0.0658758193         1.2130986854       216.6376114890        -0.5934872116 
        0.0350000000         0.0768140178         1.2080007824       215.7201125128        -8.2022976173 
        0.0400000000         0.0877332635         1.2207455399       216.6376114890        10.8197283968 
        0.0450000000         0.0986308624         1.2105497339       215.7201125128        -4.3978924145 
        0.0500000000         0.1095041255         1.2207455399       216.2706118985        10.8197283968 
        0.0550000000         0.1203503702         1.2054518309       216.2706118985       -12.0067028201 
        0.0600000000         0.1311669202         1.2156476369       215.7201125128         3.2109179912 
        0.0650000000         0.1419511067         1.3074098904       216.4541116938       140.1695052930 
        0.0700000000         0.1527002690         1.2640777151       217.7386102605        75.4946168449 
        0.0750000000         0.1634117547         1.2640777151       217.0046110795        75.4946168449 
        0.0800000000         0.1740829210         1.2819203755       218.6561092368       102.1254532647 
        0.0850000000         0.1847111350         1.2793714240       218.1056098510        98.3210480619 
        0.0900000000         0.1952937742         1.2921161815       219.3901084178       117.3430740761 
        0.0950000000         0.2058282277         1.2946651330       219.9406078035       121.1474792789 
        0.1000000000         0.2163118961         1.2946651330       219.7571080083       121.1474792789 
        0.1050000000         0.2267421927         1.2997630359       220.8581067797       128.7562896846 
        0.1100000000         0.2371165442         1.2819203755       220.8581067797       102.1254532647 
        0.1150000000         0.2474323907         1.3227035993       222.3261051417       162.9959365100 
        0.1200000000         0.2576871869         1.3125077934       222.1426053465       147.7783156987 
        0.1250000000         0.2678784027         1.3125077934       223.7941035037       147.7783156987 
        0.1300000000         0.2780035234         1.3227035993       223.7941035037       162.9959365100 
        0.1350000000         0.2880600510         1.3176056963       224.8951022752       155.3871261044 
        0.1400000000         0.2980455041         1.3328994052       225.8126012515       178.2135573213 
        0.1450008000         0.3079589988         1.3379973082       226.5466004324       185.8223677270 
        0.1500000000         0.3177933498         1.3303504538       227.4640994087       174.4091521185 
        0.1550000000         0.3275508700         1.3303504538       228.3815983849       174.4091521185 
        0.1600000000         0.3372275719         1.3583889201       229.8495967469       216.2576093496 
        0.1650000000         0.3468210679         1.3252525508       229.8495967469       166.8003417128 
        0.1700000000         0.3563289910         1.3532910171       231.1340953137       208.6487989440 
        0.1750000000         0.3657489953         1.3583889201       232.6020936757       216.2576093496 
        0.1800001000         0.3750789422         1.3558399686       232.9690932661       212.4532041468 
        0.1850000000         0.3843159726         1.3711336775       234.4370916281       235.2796353638 
        0.1900000000         0.3934583645         1.3787805320       235.5380903996       246.6928509723 
        0.1950000000         0.4025036764         1.3660357746       236.4555893759       227.6708249581 
        0.2000000000         0.4114496766         1.3991721439       238.4740871236       277.1280925949 
        0.2050000000         0.4202941577         1.3966231924       239.5750858951       273.3236873921 
        0.2100001000         0.4290351113         1.3940742409       240.1255852808       269.5192821892 
        0.2150000000         0.4376698594         1.3940742409       242.6945824143       269.5192821892 
        0.2200000000         0.4461967928         1.4093679498       243.6120813906       292.3457134062 
        0.2250000000         0.4546136338         1.4093679498       245.0800797525       292.3457134062 
        0.2300000000         0.4629183057         1.4195637558       246.5480781145       307.5633342175 
        0.2350000000         0.4711087595         1.4246616587       248.3830760670       315.1721446232 
        0.2400000000         0.4791829742         1.4272106102       249.4840748385       318.9765498260 
        0.2450000000         0.4871389576         1.4170148043       250.4015738148       303.7589290147 
        0.2500000000         0.4949747468         1.4399553677       253.1540707435       337.9985758402 
        0.2550000000         0.5026884084         1.4323085132       254.4385693102       326.5853602317 
        0.2600000000         0.5102780392         1.4450532706       256.0900674675       345.6073862458 
        0.2650000000         0.5177417665         1.4552490766       258.2920650104       360.8250070571 
        0.2700000000         0.5250777487         1.4450532706       259.2095639867       345.6073862458 
        0.2750000000         0.5322841759         1.4679938340       261.2280617344       379.8470330713 
        0.2800000000         0.5393592699         1.4577980281       263.2465594822       364.6294122600 
        0.2850000000         0.5463012851         1.4705427855       265.0815574346       383.6514382741 
        0.2900001000         0.5531086435         1.4858364944       267.1000551824       406.4778694911 
        0.2950000000         0.5597792609         1.4654448825       268.5680535444       376.0426278685 
        0.3000000000         0.5663118961         1.4985812518       271.5040502683       425.4998955052 
        0.3050000000         0.5727048022         1.4756406885       272.4215492446       391.2602486798 
        0.3100000000         0.5789564020         1.4960323003       275.1740461733       421.6954903024 
        0.3150000000         0.5850651530         1.5036791548       277.1925439210       433.1087059109 
        0.3200000000         0.5910295479         1.5011302033       278.8440420783       429.3043007081 
        0.3250000000         0.5968481150         1.5164239122       282.1470383927       452.1307319250 
        0.3300000000         0.6025194189         1.5138749607       283.4315369595       448.3263267222 
        0.3350000000         0.6080420601         1.5215218152       285.8170342977       459.7395423307 
        0.3400000000         0.6134146760         1.5266197182       288.3860314312       467.3483527363 
        0.3450000000         0.6186359411         1.5189728637       290.5880289742       455.9351371279 
        0.3500001000         0.6237046668         1.5368155241       292.7900265172       482.5659735477 
        0.3550001000         0.6286193998         1.5470113301       295.9095230364       497.7835943590 
        0.3600000000         0.6333789367         1.5419134271       297.7445209889       490.1747839533 
        0.3650000000         0.6379822937         1.5393644756       300.4970179176       486.3703787505 
        0.3700000000         0.6424282380         1.5572071360       303.0660150511       513.0012151703 
        0.3750000000         0.6467156728         1.5521092330       305.0845127988       505.3924047646 
        0.3800000000         0.6508435401         1.5699518934       308.5710089085       532.0232411844 
        0.3850000000         0.6548108216         1.5495602815       310.7730064515       501.5879995618 
        0.3900000000         0.6586165383         1.5775987479       313.3420035850       543.4364567929 
        0.3950000000         0.6622597512         1.5725008449       316.0945005137       535.8276463873 
