           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2130986854        66.5347789758         0.5858784012 
        0.0050000000         0.0219875314         1.2029028795        65.9842795900       -14.6317424101 
        0.0100000000         0.0439533637         1.2080007824        66.5347789758        -7.0229320044 
        0.0150000000         0.0658758193         1.2130986854        66.5347789758         0.5858784012 
        0.0200000000         0.0877332635         1.2029028795        66.1677793853       -14.6317424101 
        0.0250000000         0.1095041255         1.2130986854        66.7182787710         0.5858784012 
        0.0300000000         0.1311669202         1.2181965884        66.5347789758         8.1946888069 
        0.0350000000         0.1527002690         1.2130986854        67.0852783615         0.5858784012 
        0.0400000000         0.1740829210         1.2207455399        66.9017785662        11.9990940097 
        0.0450000000         0.1952937742         1.3125077934        67.4522779520       148.9576813116 
        0.0500000000         0.2163118961         1.2691756181        67.4522779520        84.2827928635 
        0.0550000000         0.2371165442         1.2640777151        67.2687781567        76.6739824578 
        0.0600000000         0.2576871869         1.3023119874        68.7367765187       133.7400605003 
        0.0650000000         0.2780035234         1.2946651330        68.7367765187       122.3268448918 
        0.0700000000         0.2980455041         1.2921161815        69.6542754950       118.5224396889 
        0.0750000000         0.3177933498         1.3099588419        70.2047748807       145.1532761087 
        0.0800000000         0.3372275719         1.3176056963        71.3057736522       156.5664917172 
        0.0850000000         0.3563289910         1.3176056963        72.0397728332       156.5664917172 
        0.0900000000         0.3750787565         1.3252525508        72.2232726285       167.9797073257 
        0.0950000000         0.3934583645         1.3278015023        73.1407716047       171.7841125285 
        0.1000000000         0.4114496766         1.3354483567        74.0582705809       183.1973281370 
        0.1050000000         0.4290349376         1.3430952112        74.6087699667       194.6105437455 
        0.1100000000         0.4461967928         1.3558399686        75.7097687382       213.6325697597 
        0.1150000000         0.4629183057         1.3609378716        77.5447666907       221.2413801653 
        0.1200000000         0.4791829742         1.3685847260        78.4622656669       232.6545957738 
        0.1250000000         0.4949747468         1.3813294835        79.5632644384       251.6766217880 
        0.1300000000         0.5102780392         1.3838784350        81.2147625956       255.4810269908 
        0.1350000000         0.5250777487         1.4068189983        82.1322615719       289.7206738163 
        0.1400000000         0.5393592699         1.3889763379        83.4167601386       263.0898373965 
        0.1450000000         0.5531085087         1.4272106102        84.8847585006       320.1559154389 
        0.1500089000         0.5663349037         1.3966231924        86.3527568626       274.5030530049 
        0.1550000000         0.5789564020         1.4272106102        87.2702558388       320.1559154389 
        0.1600000000         0.5910295479         1.4297595617        89.8392529723       323.9603206417 
        0.1650000000         0.6025194189         1.4450532706        90.3897523581       346.7867518587 
        0.1700000000         0.6134146760         1.4195637558        92.2247503105       308.7426998304 
        0.1750000000         0.6237045669         1.4654448825        94.6102476488       377.2219934813 
