           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2130986854       -20.2473250380        -0.2054378810 
        0.0050000000         0.0021991112         1.2181965884       -19.5133258570         7.4033725247 
        0.0100001000         0.0043982448         1.2130986854       -20.0638252428        -0.2054378810 
        0.0150000000         0.0065972469         1.2130986854       -19.5133258570        -0.2054378810 
        0.0200000000         0.0087962279         1.2207455399       -19.5133258570        11.2077777275 
        0.0250001000         0.0109951661         1.2080007824       -20.7978244238        -7.8142482866 
        0.0300000000         0.0131939078         1.2207455399       -20.9813242190        11.2077777275 
        0.0350000000         0.0153925633         1.2054518309       -20.7978244238       -11.6186534894 
        0.0400001000         0.0175911108         1.2080007824       -19.3298260618        -7.8142482866 
        0.0450000000         0.0197893967         1.2130986854       -18.7793266760        -0.2054378810 
        0.0500000000         0.0219875314         1.2029028795       -20.6143246285       -15.4230586923 
        0.0550000000         0.0241854490         1.2207455399       -18.4123270855        11.2077777275 
        0.0600000000         0.0263831279         1.2080007824       -20.6143246285        -7.8142482866 
        0.0650001000         0.0285805903         1.2130986854       -19.1463262665        -0.2054378810 
        0.0700000000         0.0307776828         1.1825112676       -20.0638252428       -45.8583003149 
        0.0750000000         0.0329745155         1.2360392488       -19.8803254475        34.0342089445 
        0.0800001000         0.0351710667         1.2640777151       -19.8803254475        75.8826661756 
        0.0850000000         0.0373671828         1.2080007824       -19.1463262665        -7.8142482866 
        0.0900000000         0.0395629741         1.2615287636       -19.3298260618        72.0782609728 
        0.0950001000         0.0417584189         1.2717245696       -18.5958268808        87.2958817841 
        0.1000000000         0.0439533637         1.2589798122       -18.4123270855        68.2738557700 
        0.1050000000         0.0461479186         1.2564308607       -18.7793266760        64.4694505671 
        0.1100001000         0.0483420619         1.2436861032       -17.8618276998        45.4474245530 
        0.1150000000         0.0505356403         1.2334902973       -18.2288272903        30.2298037417 
        0.1200001000         0.0527288077         1.2538819092       -17.6783279045        60.6650453643 
        0.1250000000         0.0549213670         1.2360392488       -17.8618276998        34.0342089445 
        0.1300000000         0.0571134281         1.2411371518       -17.3113283140        41.6430193502 
        0.1350001000         0.0593049693         1.2717245696       -17.3113283140        87.2958817841 
        0.1400000000         0.0614958376         1.2411371518       -17.3113283140        41.6430193502 
        0.1450000000         0.0636861427         1.2411371518       -16.2103295425        41.6430193502 
        0.1500001000         0.0658758631         1.2691756181       -16.9443287235        83.4914765813 
        0.1550000000         0.0680648457         1.2436861032       -16.3938293378        45.4474245530 
        0.1600000000         0.0702532004         1.2462350547       -15.4763303615        49.2518297558 
        0.1650001000         0.0724409054         1.2487840062       -16.2103295425        53.0562349587 
        0.1700000000         0.0746278080         1.2640777151       -15.1093307710        75.8826661756 
