           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         1.9000000000         1.2130986854        38.8263098932        -0.5173991076 
        0.0050000000         1.9000000000         1.2130986854        38.8263098932        -0.5173991076 
        0.0100001000         1.9000000000         1.2130986854        38.8263098932        -0.5173991076 
        0.0150000000         1.9000000000         1.2258434428        39.3768092790        18.5046269066 
        0.0200000000         1.9000000000         1.2207455399        39.3768092790        10.8958165009 
        0.0250000000         1.9000000000         1.1672175587        39.0098096885       -68.9966927585 
        0.0300000000         1.9000000000         1.0907490141        38.2758105075      -183.1288488434 
        0.0350000000         1.9000000000         1.0780042567        36.9913119407      -202.1508748575 
        0.0400000000         1.9000000000         1.0856511111        35.5233135788      -190.7376592491 
        0.0450000000         1.9000000000         1.0729063537        34.6058146025      -209.7596852632 
        0.0500000000         1.9000000000         1.0525147418        33.5048158310      -240.1949268858 
        0.0550000000         1.9000000000         1.0550636933        32.7708166500      -236.3905216830 
        0.0600000000         1.9000000000         1.0550636933        31.6698178785      -236.3905216830 
        0.0650000000         1.9000000000         1.0601615963        30.3853193118      -228.7817112773 
        0.0700000000         1.9000000000         1.0372210329        29.2843205403      -263.0213581028 
        0.0750001000         1.9000000000         1.0448678873        28.5503213593      -251.6081424943 
        0.0800000000         1.9000000000         1.0499657903        26.8988232021      -243.9993320887 
        0.0850000000         1.9000000000         1.0270252269        25.4308248401      -278.2389789141 
        0.0900001000         1.9000000000         1.0168294210        23.5958268876      -293.4565997254 
        0.0950000000         1.9000000000         1.0193783725        22.3113283209      -289.6521945226 
        0.1000000000         1.9000000000         1.0193783725        21.2103295494      -289.6521945226 
        0.1050001000         1.9000000000         1.0091825665        19.3753315969      -304.8698153339 
        0.1100000000         1.9000000000         1.0091825665        18.0908330301      -304.8698153339 
        0.1150000000         1.9000000000         1.0066336150        16.8063344634      -308.6742205368 
        0.1200001000         1.9000000000         0.9989867606        14.6043369204      -320.0874361452 
        0.1250000000         1.9000000000         1.0091825665        13.5033381489      -304.8698153339 
        0.1300000000         1.9000000000         1.0015357121        11.6683401964      -316.2830309424 
        0.1350001000         1.9000000000         0.9989867606        10.5673414250      -320.0874361452 
        0.1400000000         1.9000000000         1.0066336150         9.2828428582      -308.6742205368 
        0.1450000000         1.9000000000         0.9913399061         6.7138457247      -331.5006517537 
        0.1500000000         1.9000000000         0.9887909546         5.2458473627      -335.3050569566 
        0.1550000000         1.9000000000         0.9811441002         3.0438498198      -346.7182725650 
        0.1600000000         1.9000000000         0.9785951487         1.5758514578      -350.5226777679 
        0.1650000000         1.9000000000         0.9836930517         0.6583524815      -342.9138673622 
        0.1700000000         1.9000000000         0.9913399061         0.1078530958      -331.5006517537 
        0.1750000000         1.9000000000         0.9862420032         0.6583524815      -339.1094621594 
        0.1800001000         1.9000000000         0.9658503913        -0.0756466995      -369.5447037820 
        0.1850000000         1.9000000000         0.9760461972        -0.0756466995      -354.3270829707 
        0.1900000000         1.9000000000         0.9683993428         0.6583524815      -365.7402985792 
        0.1950000000         1.9000000000         0.9633014398        79.7467642336      -373.3491089849 
        0.2000001000         1.9000000000         0.9709482942        79.0127650526      -361.9358933764 
        0.2050000000         1.9000000000         0.9633014398       359.9509515781      -373.3491089849 
        0.2100001000         1.9000000000         0.9658503913       360.1344513734      -369.5447037820 
        0.2150001000         1.9000000000         0.9531056338       359.5839519876      -388.5667297962 
        0.2200000000         1.9000000000         0.9607524883       359.4004521924      -377.1535141877 
        0.2250000000         1.9000000000         0.9505566824       359.4004521924      -392.3711349990 
        0.2300001000         1.9000000000         0.9607524883       358.1159536256      -377.1535141877 
        0.2350000000         1.9000000000         0.9480077309       356.0974558779      -396.1755402018 
        0.2400001000         1.9000000000         0.9556545853       354.0789581302      -384.7623245933 
        0.2450001000         1.9000000000         0.9429098279       351.6934607919      -403.7843506075 
        0.2500000000         1.9000000000         0.9480077309       349.8584628394      -396.1755402018 
        0.2550000000         1.9000000000         0.9582035368       348.5739642727      -380.9579193905 
        0.2600001000         1.9000000000         0.9582035368       346.3719667297      -380.9579193905 
        0.2650000000         1.9000000000         0.9531056338       344.7204685725      -388.5667297962 
        0.2700000000         1.9000000000         0.9480077309       342.7019708248      -396.1755402018 
        0.2750000000         1.9000000000         0.9505566824       340.6834730770      -392.3711349990 
        0.2800000000         1.9000000000         0.9556545853       338.8484751245      -384.7623245933 
        0.2850000000         1.9000000000         0.9429098279       335.9124784006      -403.7843506075 
        0.2900001000         1.9000000000         0.9429098279       334.6279798338      -403.7843506075 
        0.2950000000         1.9000000000         0.9378119249       331.5084833146      -411.3931610131 
        0.3000000000         1.9000000000         0.9403608764       329.8569851574      -407.5887558103 
        0.3050000000         1.9000000000         0.9429098279       327.8384874096      -403.7843506075 
        0.3100000000         1.9000000000         0.9301650705       325.6364898666      -422.8063766216 
        0.3150000000         1.9000000000         0.9327140220       323.0674927332      -419.0019714188 
        0.3200000000         1.9000000000         0.9301650705       320.8654951902      -422.8063766216 
        0.3250001000         1.9000000000         0.9403608764       319.0304972377      -407.5887558103 
        0.3300000000         1.9000000000         0.9250671675       317.0119994900      -430.4151870273 
        0.3350000000         1.9000000000         0.9352629734       315.3605013327      -415.1975662160 
        0.3400001000         1.9000000000         0.9352629734       313.1585037897      -415.1975662160 
        0.3450000000         1.9000000000         0.9352629734       311.6905054278      -415.1975662160 
        0.3500001000         1.9000000000         0.9301650705       309.4885078848      -422.8063766216 
        0.3550001000         1.9000000000         0.9327140220       306.7360109560      -419.0019714188 
        0.3600000000         1.9000000000         0.9276161190       304.1670138226      -426.6107818245 
        0.3650000000         1.9000000000         0.9148713616       302.3320158701      -445.6328078386 
        0.3700001000         1.9000000000         0.9199692645       299.9465185319      -438.0239974330 
        0.3750000000         1.9000000000         0.9352629734       298.6620199651      -415.1975662160 
        0.3800000000         1.9000000000         0.9301650705       296.0930228316      -422.8063766216 
        0.3850001000         1.9000000000         0.9250671675       293.7075254934      -430.4151870273 
        0.3900000000         1.9000000000         0.9250671675       291.6890277457      -430.4151870273 
        0.3950000000         1.9000000000         0.9148713616       289.3035304074      -445.6328078386 
        0.4000000000         1.9000000000         0.9276161190       287.4685324550      -426.6107818245 
        0.4050000000         1.9000000000         0.9352629734       285.4500347072      -415.1975662160 
        0.4100000000         1.9000000000         0.9148713616       282.5140379832      -445.6328078386 
        0.4150001000         1.9000000000         0.9199692645       281.0460396213      -438.0239974330 
        0.4200001000         1.9000000000         0.9225182160       278.6605422830      -434.2195922301 
        0.4250000000         1.9000000000         0.9174203130       276.0915451495      -441.8284026358 
        0.4300000000         1.9000000000         0.9250671675       274.6235467876      -430.4151870273 
        0.4350000000         1.9000000000         0.9225182160       272.6050490398      -434.2195922301 
        0.4400000000         1.9000000000         0.9174203130       270.0360519063      -441.8284026358 
        0.4450000000         1.9000000000         0.9174203130       267.4670547729      -441.8284026358 
        0.4500001000         1.9000000000         0.9199692645       265.4485570251      -438.0239974330 
        0.4550000000         1.9000000000         0.9250671675       263.6135590726      -430.4151870273 
        0.4600000000         1.9000000000         0.9199692645       261.0445619392      -438.0239974330 
        0.4650001000         1.9000000000         0.9301650705       259.2095639867      -422.8063766216 
        0.4700000000         1.9000000000         0.9225182160       257.1910662390      -434.2195922301 
        0.4750001000         1.9000000000         0.9148713616       254.6220691055      -445.6328078386 
        0.4800001000         1.9000000000         0.9199692645       252.4200715625      -438.0239974330 
        0.4850000000         1.9000000000         0.9097734586       250.4015738148      -453.2416182443 
        0.4900000000         1.9000000000         0.9097734586       248.5665758623      -453.2416182443 
        0.4950001000         1.9000000000         0.9301650705       245.8140789335      -422.8063766216 
        0.5000000000         1.9000000000         0.9327140220       244.1625807763      -419.0019714188 
        0.5050000000         1.9000000000         0.9097734586       241.5935836428      -453.2416182443 
        0.5100001000         1.9000000000         0.9072245071       240.1255852808      -457.0460234471 
