           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.5500000000         1.2080007824        53.6897933084        -8.1566447549 
        0.0050000000        -0.5500000000         1.2130986854        54.0567928989        -0.5478343492 
        0.0100000000        -0.5500000000         1.2207455399        54.6072922846        10.8653812593 
        0.0150000000        -0.5500000000         1.2207455399        54.7907920798        10.8653812593 
        0.0200000000        -0.5500000000         1.2130986854        54.0567928989        -0.5478343492 
        0.0250000000        -0.5500000000         1.1111406260        53.5062935131      -152.7240424624 
        0.0300000000        -0.5500000000         1.0754553052        53.1392939226      -205.9857153020 
        0.0350000000        -0.5500000000         1.1213364319        51.8547953559      -137.5064216511 
        0.0400000000        -0.5500000000         1.0805532081        50.9372963796      -198.3769048963 
        0.0450000000        -0.5500000000         1.0958469171        50.0197974034      -175.5504736794 
        0.0500000000        -0.5500000000         1.0448678873        48.7352988366      -251.6385777359 
        0.0550000000        -0.5500000000         1.0780042567        47.8177998604      -202.1813100992 
        0.0600000000        -0.5500000000         1.0856511111        47.2673004747      -190.7680944907 
        0.0650000000        -0.5500000000         1.0474168388        46.1663017032      -247.8341725331 
        0.0700000000        -0.5500000000         1.0474168388        44.1478039554      -247.8341725331 
        0.0750000000        -0.5500000000         1.0601615963        43.2303049792      -228.8121465190 
        0.0800000000        -0.5500000000         1.0499657903        42.8633053887      -244.0297673303 
        0.0850000000        -0.5500000000         1.0270252269        41.0283074362      -278.2694141557 
        0.0900000000        -0.5500000000         1.0295741784        39.3768092790      -274.4650089529 
        0.0950000000        -0.5500000000         1.0448678873        38.8263098932      -251.6385777359 
        0.1000000000        -0.5500000000         1.0244762754        36.9913119407      -282.0738193586 
        0.1050000000        -0.5500000000         1.0295741784        35.7068133740      -274.4650089529 
        0.1100000000        -0.5500000000         1.0321231299        34.4223148073      -270.6606037501 
        0.1150000000        -0.5500000000         1.0295741784        33.5048158310      -274.4650089529 
        0.1200000000        -0.5500000000         1.0091825665        31.3028182880      -304.9002505756 
        0.1250000000        -0.5500000000         1.0091825665        30.0183197213      -304.9002505756 
        0.1300000000        -0.5500000000         1.0066336150        28.5503213593      -308.7046557784 
        0.1350000000        -0.5500000000         1.0066336150        26.5318236116      -308.7046557784 
        0.1400000000        -0.5500000000         0.9989867606        25.7978244306      -320.1178713869 
        0.1450000000        -0.5500000000         1.0040846636        23.4123270924      -312.5090609812 
        0.1500000000        -0.5500000000         0.9989867606        22.6783279114      -320.1178713869 
