           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.3600000000         1.2080007824       267.4670547729        -6.8631469859 
        0.0050000000         0.3600000000         1.2029028795       267.6505545681       -14.4719573916 
        0.0100000000         0.3600000000         1.2054518309       267.4670547729       -10.6675521887 
        0.0150000000         0.3600000000         1.2181965884       268.3845537491         8.3544738254 
        0.0200000000         0.3600000000         1.2130986854       268.0175541586         0.7456634198 
        0.0250000000         0.3600000000         1.2972140844       268.3845537491       126.2910351131 
        0.0300058999         0.3600000000         1.3328994052       268.9350531349       179.5527079527 
        0.0350000000         0.3600000000         1.2972140844       269.3020527254       126.2910351131 
        0.0400000000         0.3600000000         1.3252525508       270.4030514968       168.1394923442 
        0.0450000999         0.3600000000         1.3303504538       271.5040502683       175.7483027499 
        0.0500000999         0.3600000000         1.3507420656       273.1555484256       206.1835443725 
        0.0550000999         0.3600000000         1.3430952112       274.0730474018       194.7703287640 
        0.0600000000         0.3600000000         1.3532910171       273.8895476066       209.9879495754 
        0.0650000000         0.3600000000         1.3354483567       274.9905463781       183.3571131556 
        0.0700000000         0.3600000000         1.3736826290       277.0090441258       240.4231911980 
        0.0750000000         0.3600000000         1.3379973082       277.0090441258       187.1615183584 
        0.0800000000         0.3600000000         1.3762315805       279.0275418735       244.2275964008 
        0.0850000000         0.3600000000         1.3583889201       280.1285406450       217.5967599810 
        0.0900000000         0.3600000000         1.3711336775       280.1285406450       236.6187859952 
        0.0950000000         0.3600000000         1.3558399686       281.2295394165       213.7923547782 
        0.1000000000         0.3600000000         1.3864273864       283.4315369595       259.4452172121 
        0.1050000000         0.3600000000         1.3736826290       284.7160355262       240.4231911980 
        0.1100000000         0.3600000000         1.3915252894       285.2665349120       267.0540276178 
        0.1150000000         0.3600000000         1.3813294835       286.9180330692       251.8364068065 
        0.1200000000         0.3600000000         1.3940742409       288.3860314312       270.8584328206 
        0.1250000000         0.3600000000         1.3864273864       289.6705299979       259.4452172121 
        0.1300000000         0.3600000000         1.3940742409       290.4045291789       270.8584328206 
        0.1350000000         0.3600000000         1.3864273864       291.8725275409       259.4452172121 
        0.1400000000         0.3600000000         1.4042700468       293.8910252887       286.0760536319 
        0.1450000000         0.3600000000         1.3864273864       294.4415246744       259.4452172121 
        0.1500000000         0.3600000000         1.3966231924       295.5425234459       274.6628380235 
        0.1550000000         0.3600000000         1.3991721439       297.7445209889       278.4672432263 
        0.1600000000         0.3600000000         1.3991721439       299.0290195556       278.4672432263 
        0.1650000000         0.3600000000         1.3991721439       300.6805177128       278.4672432263 
        0.1700000999         0.3600000000         1.4042700468       301.4145168938       286.0760536319 
        0.1750000999         0.3600000000         1.4068189983       303.4330146416       289.8804588348 
        0.1800000999         0.3600000000         1.4144658528       305.0845127988       301.2936744433 
        0.1850000000         0.3600000000         1.4246616587       307.1030105465       316.5112952546 
        0.1900000000         0.3600000000         1.4195637558       307.6535099323       308.9024848489 
        0.1950000000         0.3600000000         1.4042700468       308.9380084990       286.0760536319 
        0.2000000000         0.3600000000         1.4170148043       310.7730064515       305.0980796461 
        0.2050000000         0.3600000000         1.4246616587       312.6080044040       316.5112952546 
        0.2100001000         0.3600000000         1.4246616587       314.4430023565       316.5112952546 
        0.2150000000         0.3600000000         1.4246616587       315.3605013327       316.5112952546 
        0.2200000000         0.3600000000         1.4119169013       316.6449998995       297.4892692404 
        0.2250000000         0.3600000000         1.4170148043       318.2964980567       305.0980796461 
        0.2300000000         0.3600000000         1.4348574647       319.9479962139       331.7289160659 
        0.2350000000         0.3600000000         1.4170148043       321.2324947807       305.0980796461 
        0.2400001000         0.3600000000         1.4323085132       323.4344923237       327.9245108631 
        0.2450000000         0.3600000000         1.4348574647       324.9024906856       331.7289160659 
        0.2500000000         0.3600000000         1.4246616587       326.1869892524       316.5112952546 
        0.2550000000         0.3600000000         1.4374064162       328.5724865906       335.5333212687 
        0.2600000000         0.3600000000         1.4450532706       330.0404849526       346.9465368772 
        0.2650000000         0.3600000000         1.4399553677       331.6919831098       339.3377264716 
        0.2700000000         0.3600000000         1.4272106102       334.0774804481       320.3157004574 
        0.2750000000         0.3600000000         1.4399553677       335.3619790148       339.3377264716 
        0.2800000000         0.3600000000         1.4323085132       337.1969769673       327.9245108631 
        0.2850000000         0.3600000000         1.4272106102       338.4814755340       320.3157004574 
        0.2900001000         0.3600000000         1.4399553677       340.3164734865       339.3377264716 
        0.2950000999         0.3600000000         1.4450532706       341.4174722580       346.9465368772 
        0.3000000999         0.3600000000         1.4450532706       343.6194698010       346.9465368772 
        0.3050000999         0.3600000000         1.4374064162       345.6379675487       335.5333212687 
        0.3100000000         0.3600000000         1.4577980281       347.2894657060       365.9685628914 
        0.3150000000         0.3600000000         1.4450532706       349.1244636585       346.9465368772 
        0.3200000000         0.3600000000         1.4374064162       350.7759618157       335.5333212687 
        0.3250000000         0.3600000000         1.4501511736       352.0604603824       354.5553472829 
        0.3300000000         0.3600000000         1.4476022221       353.8954583349       350.7509420800 
