           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0200000000         1.2130986854         1.2221510061        -0.3430826335 
        0.0050001000         0.0200000000         1.2054518309         0.8551514156       -11.7562982420 
        0.0100000000         0.0200000000         1.2080007824         1.2221510061        -7.9518930392 
        0.0150000000         0.0200000000         1.2130986854         1.2221510061        -0.3430826335 
        0.0200001000         0.0200000000         1.2080007824         1.2221510061        -7.9518930392 
        0.0250001000         0.0200000000         1.2130986854         1.2221510061        -0.3430826335 
        0.0300000000         0.0200000000         1.2156476369         1.2221510061         3.4613225693 
        0.0350001000         0.0200000000         1.2156476369         1.2221510061         3.4613225693 
        0.0400001000         0.0200000000         1.2870182785         1.0386512108       109.9846682485 
        0.0450000000         0.0200000000         1.2538819092         1.9561501871        60.5274006117 
        0.0500001000         0.0200000000         1.2487840062         1.9561501871        52.9185902061 
        0.0550001000         0.0200000000         1.2564308607         2.3231497776        64.3318058146 
        0.0600000000         0.0200000000         1.2538819092         2.6901493681        60.5274006117 
        0.0650001000         0.0200000000         1.2564308607         2.6901493681        64.3318058146 
        0.0700001000         0.0200000000         1.2615287636         3.2406487538        71.9406162202 
        0.0750000000         0.0200000000         1.2436861032         2.8736491633        45.3097798004 
        0.0800000000         0.0200000000         1.2640777151         3.9746479348        75.7450214231 
        0.0850001000         0.0200000000         1.2538819092         3.7911481395        60.5274006117 
        0.0900000000         0.0200000000         1.2538819092         4.3416475253        60.5274006117 
        0.0950000000         0.0200000000         1.2513329577         4.7086471158        56.7229954089 
        0.1000001000         0.0200000000         1.2538819092         4.3416475253        60.5274006117 
        0.1050000000         0.0200000000         1.2615287636         5.2591465015        71.9406162202 
        0.1100000000         0.0200000000         1.2589798122         5.6261460920        68.1362110174 
        0.1150001000         0.0200000000         1.2513329577         5.8096458873        56.7229954089 
        0.1200000000         0.0200000000         1.2589798122         6.3601452730        68.1362110174 
        0.1250000000         0.0200000000         1.2538819092         6.7271448635        60.5274006117 
        0.1300001000         0.0200000000         1.2538819092         6.9106446588        60.5274006117 
        0.1350000000         0.0200000000         1.2564308607         7.6446438398        64.3318058146 
        0.1400000000         0.0200000000         1.2513329577         6.9106446588        56.7229954089 
        0.1450001000         0.0200000000         1.2615287636         8.3786430208        71.9406162202 
        0.1500001000         0.0200000000         1.2589798122         8.5621428160        68.1362110174 
        0.1550000000         0.0200000000         1.2538819092         8.5621428160        60.5274006117 
        0.1600001000         0.0200000000         1.2487840062         8.1951432255        52.9185902061 
        0.1650001000         0.0200000000         1.2513329577         9.1126422018        56.7229954089 
        0.1700000000         0.0200000000         1.2513329577         9.1126422018        56.7229954089 
        0.1750001000         0.0200000000         1.2487840062         9.1126422018        52.9185902061 
        0.1800001000         0.0200000000         1.2487840062         9.2961419970        52.9185902061 
        0.1850000000         0.0200000000         1.2513329577        10.0301411780        56.7229954089 
        0.1900001000         0.0200000000         1.2462350547        10.2136409732        49.1141850032 
        0.1950001000         0.0200000000         1.2640777151        11.1311399495        75.7450214231 
        0.2000000000         0.0200000000         1.2538819092        11.4981395400        60.5274006117 
        0.2050000000         0.0200000000         1.2538819092        11.1311399495        60.5274006117 
        0.2100001000         0.0200000000         1.2538819092        11.4981395400        60.5274006117 
        0.2150000000         0.0200000000         1.2462350547        11.3146397447        49.1141850032 
        0.2200000000         0.0200000000         1.2564308607        12.2321387210        64.3318058146 
