           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         1.0000000000         1.2080007824       110.9417294259        -8.1262095132 
        0.0050001000         1.0000000000         1.2054518309       110.7582296306       -11.9306147161 
        0.0100000000         1.0000000000         1.2080007824       110.2077302449        -8.1262095132 
        0.0150000000         1.0000000000         1.1927070735       110.3912300401       -30.9526407302 
        0.0200001000         1.0000000000         1.0703574022       109.8407306544      -213.5640904660 
        0.0250000000         1.0000000000         0.8664412833       107.2717335209      -517.9165066924 
        0.0300000000         1.0000000000         0.8664412833       105.0697359779      -517.9165066924 
        0.0350030000         1.0000000000         0.8613433804       102.5007388445      -525.5253170980 
        0.0400000000         1.0000000000         0.8536965259       100.4822410967      -536.9385327065 
        0.0450000000         1.0000000000         0.7695811269        97.5462443727      -662.4839043999 
        0.0500001000         1.0000000000         0.7695811269        94.4267478535      -662.4839043999 
        0.0550000000         1.0000000000         0.7721300783        91.1237515391      -658.6794991970 
        0.0600000000         1.0000000000         0.7440916120        88.0042550198      -700.5279564282 
        0.0650001000         1.0000000000         0.7186020971        84.5177589101      -738.5720084565 
        0.0700000000         1.0000000000         0.7135041942        81.2147625956      -746.1808188621 
        0.0750000000         1.0000000000         0.7109552427        77.5447666907      -749.9852240650 
        0.0800000000         1.0000000000         0.7007594367        74.6087699667      -765.2028448763 
        0.0850000000         1.0000000000         0.6701720189        70.3882746760      -810.8557073102 
        0.0900000000         1.0000000000         0.6829167763        65.9842795900      -791.8336812961 
        0.0950000000         1.0000000000         0.6625251645        62.3142836850      -822.2689229187 
        0.1000000000         1.0000000000         0.6599762130        59.0112873706      -826.0733281215 
        0.1050000000         1.0000000000         0.6395846011        53.6897933084      -856.5085697442 
        0.1100000000         1.0000000000         0.6523293585        49.6527978129      -837.4865437300 
        0.1150001000         1.0000000000         0.6293887951        45.2488027269      -871.7261905555 
        0.1200000000         1.0000000000         0.6242908922        41.0283074362      -879.3350009611 
        0.1250000000         1.0000000000         0.6013503288        36.4408125550      -913.5746477866 
        0.1300001000         1.0000000000         0.6217419407        32.9543164453      -883.1394061640 
        0.1350000000         1.0000000000         0.6115461347        28.1833217688      -898.3570269753 
        0.1400000000         1.0000000000         0.6089971832        24.1463262733      -902.1614321781 
        0.1450001000         1.0000000000         0.5886055714        19.3753315969      -932.5966738008 
        0.1500000000         1.0000000000         0.5911545228        13.8703377394      -928.7922685979 
        0.1550000000         1.0000000000         0.5835076684         9.4663426535      -940.2054842064 
        0.1600001000         1.0000000000         0.5784097654         4.3283483865      -947.8142946121 
        0.1650000000         1.0000000000         0.5631160565        -0.2591464947      -970.6407258290 
        0.1700000000         1.0000000000         0.5784097654         0.6583524815      -947.8142946121 
        0.1750001000         1.0000000000         0.5707629110        80.8477630051      -959.2275102206 
        0.1800001000         1.0000000000         0.5682139595       359.9509515781      -963.0319154234 
        0.1850000000         1.0000000000         0.5554692020       360.3179511686      -982.0539414375 
        0.1900001000         1.0000000000         0.5503712991       357.1984546494      -989.6627518432 
        0.1950000000         1.0000000000         0.5503712991       351.3264612014      -989.6627518432 
        0.2000000000         1.0000000000         0.5605671050       346.3719667297      -974.4451310319 
        0.2050000000         1.0000000000         0.5427244446       341.7844718485     -1001.0759674517 
        0.2100001000         1.0000000000         0.5478223476       336.8299773768      -993.4671570460 
        0.2150000000         1.0000000000         0.5350775902       331.6919831098     -1012.4891830602 
        0.2200000000         1.0000000000         0.5478223476       326.3704890476      -993.4671570460 
        0.2250000000         1.0000000000         0.5248817842       320.3149958044     -1027.7068038715 
        0.2300000000         1.0000000000         0.5197838812       315.5440011280     -1035.3156142771 
        0.2350000000         1.0000000000         0.5376265416       310.5895066563     -1008.6847778573 
        0.2400001000         1.0000000000         0.5121370268       304.7175132083     -1046.7288298856 
        0.2450000000         1.0000000000         0.5146859783       299.3960191461     -1042.9244246828 
        0.2500000000         1.0000000000         0.5146859783       294.2580248791     -1042.9244246828 
        0.2550001000         1.0000000000         0.5223328327       289.8540297932     -1031.5112090743 
        0.2600000000         1.0000000000         0.5146859783       283.9820363452     -1042.9244246828 
        0.2650000000         1.0000000000         0.5223328327       279.3945414640     -1031.5112090743 
        0.2700001000         1.0000000000         0.5070391238       273.7060478113     -1054.3376402913 
        0.2750000000         1.0000000000         0.5121370268       268.5680535444     -1046.7288298856 
        0.2800000000         1.0000000000         0.5197838812       262.5125603012     -1035.3156142771 
        0.2850001000         1.0000000000         0.5070391238       258.4755648057     -1054.3376402913 
        0.2900001000         1.0000000000         0.5044901723       252.9705709482     -1058.1420454941 
        0.2950000000         1.0000000000         0.5070391238       247.2820772955     -1054.3376402913 
        0.3000001000         1.0000000000         0.5146859783       242.3275828238     -1042.9244246828 
        0.3050000000         1.0000000000         0.4993922694       236.6390891711     -1065.7508558998 
        0.3100000000         1.0000000000         0.4840985604       231.1340953137     -1088.5772871168 
        0.3150001000         1.0000000000         0.4993922694       225.9961010467     -1065.7508558998 
        0.3200000000         1.0000000000         0.4993922694       220.6746069845     -1065.7508558998 
        0.3250000000         1.0000000000         0.4993922694       216.0871121033     -1065.7508558998 
        0.3300000000         1.0000000000         0.4866475119       210.7656180411     -1084.7728819139 
        0.3350000000         1.0000000000         0.4993922694       205.2606241836     -1065.7508558998 
        0.3400000000         1.0000000000         0.5019412208       200.3061297119     -1061.9464506969 
        0.3450000000         1.0000000000         0.4815496090       195.1681354450     -1092.3816923196 
        0.3500001000         1.0000000000         0.5070391238       190.3971407685     -1054.3376402913 
        0.3550001000         1.0000000000         0.5019412208       184.5251473205     -1061.9464506969 
        0.3600000000         1.0000000000         0.4891964634       179.3871530536     -1080.9684767111 
        0.3650001000         1.0000000000         0.4891964634       174.6161583771     -1080.9684767111 
        0.3700000000         1.0000000000         0.4968433179       169.2946643149     -1069.5552611026 
        0.3750000000         1.0000000000         0.4917454149       163.0556712765     -1077.1640715083 
        0.3800001000         1.0000000000         0.4917454149       158.2846766000     -1077.1640715083 
        0.3850000000         1.0000000000         0.4942943664       153.3301821283     -1073.3596663054 
        0.3900000000         1.0000000000         0.4993922694       148.0086880661     -1065.7508558998 
        0.3950001000         1.0000000000         0.4815496090       142.1366946181     -1092.3816923196 
        0.4000000000         1.0000000000         0.4891964634       137.1822001464     -1080.9684767111 
        0.4050000000         1.0000000000         0.4891964634       132.0442058795     -1080.9684767111 
        0.4100001000         1.0000000000         0.4891964634       126.7227118173     -1080.9684767111 
        0.4150001000         1.0000000000         0.4815496090       120.8507183693     -1092.3816923196 
