           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.0200000000         1.2130986854       189.4796417923         0.4869638660 
        0.0050000000        -0.0200000000         1.2207455399       190.0301411780        11.9001794744 
        0.0100000000        -0.0200000000         1.2054518309       189.1126422018       -10.9262517425 
        0.0150000000        -0.0200000000         1.2207455399       190.2136409732        11.9001794744 
        0.0200000000        -0.0200000000         1.2003539280       189.6631415875       -18.5350621482 
        0.0250000000        -0.0200000000         1.2130986854       188.9291424065         0.4869638660 
        0.0300000000        -0.0200000000         1.2181965884       190.0301411780         8.0957742716 
        0.0350012000        -0.0200000000         1.2130986854       189.4796417923         0.4869638660 
        0.0400000000        -0.0200000000         1.2080007824       189.1126422018        -7.1218465397 
        0.0450000000        -0.0200000000         1.1927070735       189.2961419970       -29.9482777567 
        0.0500000000        -0.0200000000         1.1468259468       188.5621428160       -98.4275714076 
        0.0550000000        -0.0200000000         1.1952560250       189.1126422018       -26.1438725538 
        0.0600000000        -0.0200000000         1.1697665101       188.0116434303       -64.1879245821 
        0.0650000000        -0.0200000000         1.1723154616       188.3786430208       -60.3835193793 
        0.0700000000        -0.0200000000         1.1748644131       187.8281436350       -56.5791141765 
        0.0750000000        -0.0200000000         1.1748644131       187.6446438398       -56.5791141765 
        0.0800000000        -0.0200000000         1.1748644131       187.2776442493       -56.5791141765 
        0.0850000000        -0.0200000000         1.1723154616       186.5436450683       -60.3835193793 
        0.0900000000        -0.0200000000         1.1697665101       186.9106446588       -64.1879245821 
        0.0950000000        -0.0200000000         1.1748644131       186.1766454778       -56.5791141765 
        0.1000000000        -0.0200000000         1.1748644131       185.9931456825       -56.5791141765 
        0.1050000000        -0.0200000000         1.1774133646       185.6261460920       -52.7747089737 
        0.1100000000        -0.0200000000         1.1697665101       185.6261460920       -64.1879245821 
        0.1150000000        -0.0200000000         1.1646686072       185.2591465015       -71.7967349878 
        0.1200002000        -0.0200000000         1.1697665101       184.8921469110       -64.1879245821 
        0.1250000000        -0.0200000000         1.1697665101       184.7086471158       -64.1879245821 
        0.1300000000        -0.0200000000         1.1595707042       183.7911481395       -79.4055453934 
        0.1350000000        -0.0200000000         1.1748644131       184.5251473205       -56.5791141765 
        0.1400000000        -0.0200000000         1.1723154616       183.4241485491       -60.3835193793 
        0.1450000000        -0.0200000000         1.1723154616       183.2406487538       -60.3835193793 
        0.1500000000        -0.0200000000         1.1748644131       183.4241485491       -56.5791141765 
        0.1550000000        -0.0200000000         1.1723154616       182.8736491633       -60.3835193793 
        0.1600000000        -0.0200000000         1.1774133646       182.8736491633       -52.7747089737 
        0.1650000000        -0.0200000000         1.1621196557       181.9561501871       -75.6011401906 
        0.1700000000        -0.0200000000         1.1850602191       182.5066495728       -41.3614933652 
        0.1750000000        -0.0200000000         1.1672175587       181.2221510061       -67.9923297850 
        0.1800001000        -0.0200000000         1.1697665101       181.0386512108       -64.1879245821 
        0.1850000000        -0.0200000000         1.1697665101       180.8551514156       -64.1879245821 
        0.1900000000        -0.0200000000         1.1748644131       180.8551514156       -56.5791141765 
        0.1950000000        -0.0200000000         1.1774133646       180.8551514156       -52.7747089737 
        0.2000000000        -0.0200000000         1.1723154616       179.7541526441       -60.3835193793 
        0.2050000000        -0.0200000000         1.1748644131       180.1211522346       -56.5791141765 
        0.2100001000        -0.0200000000         1.1646686072       179.0201534631       -71.7967349878 
        0.2150000000        -0.0200000000         1.1748644131       179.3871530536       -56.5791141765 
        0.2200000000        -0.0200000000         1.1723154616       178.4696540773       -60.3835193793 
        0.2250000000        -0.0200000000         1.1672175587       178.1026544868       -67.9923297850 
        0.2300000000        -0.0200000000         1.1825112676       178.4696540773       -45.1658985680 
        0.2350000000        -0.0200000000         1.1723154616       177.7356548963       -60.3835193793 
        0.2400001000        -0.0200000000         1.1697665101       177.0016557154       -64.1879245821 
        0.2450000000        -0.0200000000         1.1697665101       176.8181559201       -64.1879245821 
        0.2500000000        -0.0200000000         1.1748644131       176.8181559201       -56.5791141765 
        0.2550000000        -0.0200000000         1.1697665101       176.2676565344       -64.1879245821 
