           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.5400000000         1.2181965884        -0.0756466995         8.3544738254 
        0.0050000000        -0.5400000000         1.2130986854         0.2913528910         0.7456634198 
        0.0100000000        -0.5400000000         1.2130986854        -0.0756466995         0.7456634198 
        0.0150000000        -0.5400000000         1.2080007824        -0.0756466995        -6.8631469859 
        0.0200000000        -0.5400000000         1.1672175587        -0.0756466995       -67.7336302312 
        0.0250000001        -0.5400000000         1.0091825665         0.2913528910      -303.6067528066 
        0.0300000001        -0.5400000000         1.1009448200        -0.2591464947      -166.6481655047 
        0.0350000001        -0.5400000000         1.0499657903        79.0127650526      -242.7362695613 
        0.0400000001        -0.5400000000         1.0372210329        79.5632644384      -261.7582955755 
        0.0450059001        -0.5400000000         1.0193783725        79.9302640289      -288.3891319953 
        0.0500000001        -0.5400000000         1.0372210329       358.4829532161      -261.7582955755 
        0.0550000001        -0.5400000000         0.9964378091       359.9509515781      -322.6287788207 
        0.0600000001        -0.5400000000         1.0040846636       359.9509515781      -311.2155632122 
        0.0650000001        -0.5400000000         0.9913399061       360.1344513734      -330.2375892264 
        0.0700000001        -0.5400000000         0.9811441002       359.9509515781      -345.4552100377 
        0.0750000001        -0.5400000000         0.9683993428       359.9509515781      -364.4772360519 
        0.0800000001        -0.5400000000         0.9862420032       358.1159536256      -337.8463996320 
        0.0850000001        -0.5400000000         0.9709482942       356.6479552636      -360.6728308490 
        0.0900000001        -0.5400000000         0.9607524883       354.2624579254      -375.8904516603 
        0.0950000001        -0.5400000000         0.9429098279       351.8769605872      -402.5212880801 
        0.1000000000        -0.5400000000         0.9531056338       350.7759618157      -387.3036672688 
        0.1050000000        -0.5400000000         0.9327140220       347.6564652965      -417.7389088915 
        0.1100000000        -0.5400000000         0.9276161190       345.4544677535      -425.3477192971 
        0.1150000000        -0.5400000000         0.9378119249       343.9864693915      -410.1300984858 
        0.1200000000        -0.5400000000         0.9174203130       341.2339724628      -440.5653401084 
        0.1250030000        -0.5400000000         0.9250671675       339.3989745103      -429.1521245000 
        0.1300000000        -0.5400000000         0.9072245071       337.0134771721      -455.7829609198 
        0.1350000000        -0.5400000000         0.9174203130       334.8114796291      -440.5653401084 
        0.1400000000        -0.5400000000         0.8970287012       332.9764816766      -471.0005817311 
        0.1450000000        -0.5400000000         0.9148713616       330.5909843384      -444.3697453113 
        0.1500000001        -0.5400000000         0.8970287012       328.2054870001      -471.0005817311 
        0.1550000001        -0.5400000000         0.9021266041       325.6364898666      -463.3917713254 
        0.1600000001        -0.5400000000         0.8944797497       322.8839929379      -474.8049869339 
        0.1650000001        -0.5400000000         0.8970287012       321.2324947807      -471.0005817311 
        0.1700000001        -0.5400000000         0.8766370893       318.6634976472      -501.4358233537 
        0.1750000001        -0.5400000000         0.8970287012       316.2780003090      -471.0005817311 
        0.1800000001        -0.5400000000         0.8817349922       314.6265021517      -493.8270129481 
        0.1850000001        -0.5400000000         0.8766370893       311.5070056325      -501.4358233537 
        0.1900000001        -0.5400000000         0.8842839437       309.1215082943      -490.0226077452 
        0.1950000001        -0.5400000000         0.8766370893       306.5525111608      -501.4358233537 
        0.2000000001        -0.5400000000         0.8740881378       303.8000142321      -505.2402285565 
        0.2050000001        -0.5400000000         0.8613433804       301.2310170986      -524.2622545707 
        0.2100027000        -0.5400000000         0.8613433804       298.6620199651      -524.2622545707 
        0.2150000001        -0.5400000000         0.8664412833       296.6435222174      -516.6534441650 
        0.2200000001        -0.5400000000         0.8485986229       292.9735263124      -543.2842805848 
        0.2250000000        -0.5400000000         0.8562454774       290.5880289742      -531.8710649763 
        0.2300000000        -0.5400000000         0.8536965259       288.3860314312      -535.6754701792 
        0.2350000000        -0.5400000000         0.8409517685       285.0830351167      -554.6974961933 
        0.2400001000        -0.5400000000         0.8587944289       282.8810375737      -528.0666597735 
        0.2450000000        -0.5400000000         0.8587944289       279.7615410545      -528.0666597735 
        0.2500000000        -0.5400000000         0.8256580595       276.6420445353      -577.5239274103 
        0.2550000000        -0.5400000000         0.8333049140       274.2565471971      -566.1107118018 
        0.2600000000        -0.5400000000         0.8460496714       271.8710498588      -547.0886857877 
        0.2650000000        -0.5400000000         0.8358538655       269.1185529301      -562.3063065990 
        0.2700000000        -0.5400000000         0.8256580595       267.1000551824      -577.5239274103 
        0.2750000001        -0.5400000000         0.8358538655       263.4300592774      -562.3063065990 
        0.2800000001        -0.5400000000         0.8435007200       261.0445619392      -550.8930909905 
        0.2850000001        -0.5400000000         0.8256580595       257.7415656247      -577.5239274103 
        0.2900000001        -0.5400000000         0.8333049140       255.3560682865      -566.1107118018 
        0.2950000001        -0.5400000000         0.8358538655       252.6035713577      -562.3063065990 
        0.3000000001        -0.5400000000         0.8103643506       249.3005750433      -600.3503586273 
        0.3050000001        -0.5400000000         0.8256580595       247.2820772955      -577.5239274103 
        0.3100000001        -0.5400000000         0.8256580595       243.9790809811      -577.5239274103 
        0.3150000001        -0.5400000000         0.8205601566       241.0430842571      -585.1327378160 
        0.3200000001        -0.5400000000         0.8052664477       237.5565881474      -607.9591690329 
        0.3250000001        -0.5400000000         0.8358538655       235.3545906044      -562.3063065990 
        0.3300000001        -0.5400000000         0.8052664477       232.0515942899      -607.9591690329 
        0.3350000001        -0.5400000000         0.8205601566       230.0330965422      -585.1327378160 
        0.3400000001        -0.5400000000         0.8231091081       227.2805996134      -581.3283326131 
        0.3450329000        -0.5400000000         0.8180112051       223.7941035037      -588.9371430188 
        0.3500001000        -0.5400000000         0.8052664477       220.8581067797      -607.9591690329 
        0.3550001000        -0.5400000000         0.8129133021       217.9221100558      -596.5459534244 
        0.3600000000        -0.5400000000         0.8001685447       214.8026135365      -615.5679794386 
        0.3650000000        -0.5400000000         0.8205601566       212.2336164031      -585.1327378160 
        0.3700000000        -0.5400000000         0.8027174962       208.3801207028      -611.7635742358 
        0.3750000000        -0.5400000000         0.7950706417       205.4441239789      -623.1767898442 
        0.3800000000        -0.5400000000         0.8205601566       203.0586266406      -585.1327378160 
        0.3850000000        -0.5400000000         0.8129133021       200.3061297119      -596.5459534244 
        0.3900000000        -0.5400000000         0.8052664477       197.1866331927      -607.9591690329 
        0.3950000000        -0.5400000000         0.8078153991       194.4341362640      -604.1547638301 
        0.4000036001        -0.5400000000         0.7950706417       190.5806405637      -623.1767898442 
        0.4050000001        -0.5400000000         0.7874237873       188.5621428160      -634.5900054527 
        0.4100000001        -0.5400000000         0.8129133021       184.8921469110      -596.5459534244 
        0.4150000001        -0.5400000000         0.8078153991       181.2221510061      -604.1547638301 
        0.4200000001        -0.5400000000         0.8129133021       179.3871530536      -596.5459534244 
        0.4250000001        -0.5400000000         0.7950706417       176.4511563296      -623.1767898442 
        0.4300000001        -0.5400000000         0.8052664477       173.5151596056      -607.9591690329 
        0.4350000001        -0.5400000000         0.8078153991       170.5791628817      -604.1547638301 
        0.4400000001        -0.5400000000         0.7899727387       166.7256671814      -630.7856002499 
        0.4450000001        -0.5400000000         0.8027174962       163.7896704575      -611.7635742358 
        0.4500000001        -0.5400000000         0.7899727387       160.3031743477      -630.7856002499 
        0.4550000001        -0.5400000000         0.7848748358       157.5506774190      -638.3944106556 
        0.4600000001        -0.5400000000         0.7925216902       154.6146806950      -626.9811950471 
        0.4650000001        -0.5400000000         0.7874237873       151.1281845853      -634.5900054527 
        0.4700000001        -0.5400000000         0.7823258843       148.1921878613      -642.1988158584 
        0.4750001000        -0.5400000000         0.8001685447       145.2561911374      -615.5679794386 
        0.4800001000        -0.5400000000         0.7950706417       142.1366946181      -623.1767898442 
        0.4850000000        -0.5400000000         0.7848748358       139.9346970752      -638.3944106556 
        0.4900000000        -0.5400000000         0.7899727387       135.7142017844      -630.7856002499 
        0.4950000000        -0.5400000000         0.7874237873       132.5947052652      -634.5900054527 
        0.5000000000        -0.5400000000         0.7746790298       129.4752087460      -653.6120314669 
        0.5050000000        -0.5400000000         0.7925216902       126.9062116125      -626.9811950471 
        0.5100000000        -0.5400000000         0.8052664477       124.3372144790      -607.9591690329 
        0.5150000000        -0.5400000000         0.7772279813       120.4837187788      -649.8076262640 
        0.5200000000        -0.5400000000         0.7874237873       117.9147216453      -634.5900054527 
        0.5250000001        -0.5400000000         0.7746790298       114.0612259451      -653.6120314669 
        0.5300000001        -0.5400000000         0.7925216902       111.8592284021      -626.9811950471 
        0.5350061002        -0.5400000000         0.7823258843       108.7397318829      -642.1988158584 
        0.5400000001        -0.5400000000         0.7874237873       104.5192365922      -634.5900054527 
        0.5450000001        -0.5400000000         0.7874237873       101.2162402777      -634.5900054527 
        0.5500000001        -0.5400000000         0.7848748358        99.0142427347      -638.3944106556 
        0.5550000001        -0.5400000000         0.7899727387        95.7112464203      -630.7856002499 
        0.5600000001        -0.5400000000         0.7797769328        92.2247503105      -646.0032210612 
        0.5650000001        -0.5400000000         0.7797769328        88.9217539961      -646.0032210612 
        0.5700000001        -0.5400000000         0.7976195932        86.3527568626      -619.3723846414 
        0.5750000001        -0.5400000000         0.8001685447        83.4167601386      -615.5679794386 
        0.5800000001        -0.5400000000         0.7797769328        79.7467642336      -646.0032210612 
        0.5850000001        -0.5400000000         0.7925216902        76.9942673049      -626.9811950471 
        0.5900000001        -0.5400000000         0.7746790298        73.6912709904      -653.6120314669 
        0.5950000001        -0.5400000000         0.7874237873        69.6542754950      -634.5900054527 
        0.6000000000        -0.5400000000         0.7848748358        67.2687781567      -638.3944106556 
        0.6050000000        -0.5400000000         0.7772279813        63.7822820470      -649.8076262640 
        0.6100000000        -0.5400000000         0.7797769328        60.6627855278      -646.0032210612 
        0.6150042001        -0.5400000000         0.7746790298        57.5432890086      -653.6120314669 
        0.6200000000        -0.5400000000         0.7874237873        54.7907920798      -634.5900054527 
        0.6250000000        -0.5400000000         0.7695811269        50.9372963796      -661.2208418725 
        0.6300000000        -0.5400000000         0.7848748358        48.3682992461      -638.3944106556 
        0.6350000000        -0.5400000000         0.7848748358        44.6983033412      -638.3944106556 
        0.6400000000        -0.5400000000         0.7670321754        41.0283074362      -665.0252470754 
        0.6450041001        -0.5400000000         0.7746790298        38.0923107122      -653.6120314669 
        0.6500000001        -0.5400000000         0.7823258843        35.3398137835      -642.1988158584 
        0.6550000001        -0.5400000000         0.7721300783        31.4863180833      -657.4164366697 
        0.6600000001        -0.5400000000         0.7746790298        28.3668215641      -653.6120314669 
        0.6650000001        -0.5400000000         0.7925216902        25.4308248401      -626.9811950471 
        0.6700000001        -0.5400000000         0.7746790298        22.3113283209      -653.6120314669 
        0.6750000001        -0.5400000000         0.7746790298        18.2743328254      -653.6120314669 
        0.6800000001        -0.5400000000         0.7772279813        15.5218358967      -649.8076262640 
        0.6850000001        -0.5400000000         0.7695811269        11.4848404012      -661.2208418725 
        0.6900000001        -0.5400000000         0.7823258843         9.2828428582      -642.1988158584 
        0.6950000001        -0.5400000000         0.7899727387         5.6128469532      -630.7856002499 
        0.7000000001        -0.5400000000         0.7695811269         1.7593512530      -661.2208418725 
        0.7050000001        -0.5400000000         0.7772279813         0.1078530958      -649.8076262640 
        0.7100000001        -0.5400000000         0.7644832239         0.6583524815      -668.8296522782 
        0.7150000001        -0.5400000000         0.7746790298         0.2913528910      -653.6120314669 
        0.7200000001        -0.5400000000         0.7721300783        80.4807634146      -657.4164366697 
        0.7250000000        -0.5400000000         0.7670321754       359.4004521924      -665.0252470754 
        0.7300000000        -0.5400000000         0.7746790298       359.9509515781      -653.6120314669 
        0.7350000000        -0.5400000000         0.7695811269       359.7674517829      -661.2208418725 
        0.7400000000        -0.5400000000         0.7670321754       357.1984546494      -665.0252470754 
        0.7450000000        -0.5400000000         0.7695811269       353.8954583349      -661.2208418725 
        0.7500000000        -0.5400000000         0.7746790298       350.2254624299      -653.6120314669 
        0.7550000000        -0.5400000000         0.7670321754       346.9224661155      -665.0252470754 
        0.7600000000        -0.5400000000         0.7644832239       343.6194698010      -668.8296522782 
        0.7650000000        -0.5400000000         0.7746790298       340.1329736913      -653.6120314669 
        0.7700000000        -0.5400000000         0.7772279813       336.8299773768      -649.8076262640 
        0.7750000001        -0.5400000000         0.7746790298       333.5269810623      -653.6120314669 
        0.7800000001        -0.5400000000         0.7644832239       329.4899855669      -668.8296522782 
        0.7850000001        -0.5400000000         0.7619342724       326.3704890476      -672.6340574810 
        0.7900000001        -0.5400000000         0.7517384665       322.7004931427      -687.8516782923 
        0.7950000001        -0.5400000000         0.7797769328       320.6819953949      -646.0032210612 
        0.8000000001        -0.5400000000         0.7542874179       316.2780003090      -684.0472730895 
        0.8050000001        -0.5400000000         0.7695811269       313.1585037897      -661.2208418725 
        0.8100000001        -0.5400000000         0.7313468546       309.4885078848      -718.2869199150 
        0.8150000001        -0.5400000000         0.7670321754       306.5525111608      -665.0252470754 
        0.8200000001        -0.5400000000         0.7746790298       303.2495148463      -653.6120314669 
        0.8250000001        -0.5400000000         0.7848748358       299.7630187366      -638.3944106556 
        0.8300000001        -0.5400000000         0.7619342724       297.0105218079      -672.6340574810 
        0.8350000001        -0.5400000000         0.7593853209       293.5240256982      -676.4384626839 
        0.8400000001        -0.5400000000         0.7466405635       289.3035304074      -695.4604886980 
        0.8450000001        -0.5400000000         0.7670321754       286.5510334787      -665.0252470754 
        0.8500000000        -0.5400000000         0.7848748358       283.6150367547      -638.3944106556 
        0.8550000000        -0.5400000000         0.7797769328       280.3120404403      -646.0032210612 
        0.8600000000        -0.5400000000         0.7568363694       276.6420445353      -680.2428678867 
        0.8650000000        -0.5400000000         0.7695811269       272.9720486303      -661.2208418725 
