           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         2.0800000000         1.2207455399        25.4308248401        11.4208244189 
        0.0050001000         2.0800000000         1.2181965884        25.2473250448         7.6164192161 
        0.0100000000         2.0800000000         1.2105497339        24.8803254543        -3.7967963924 
        0.0150001000         2.0800000000         1.2130986854        24.8803254543         0.0076088104 
        0.0200001000         2.0800000000         1.2181965884        25.2473250448         7.6164192161 
        0.0250000000         2.0800000000         1.2054518309        24.6968256591       -11.4056067981 
        0.0300001000         2.0800000000         1.1621196557        24.1463262733       -76.0804952462 
        0.0350000000         2.0800000000         1.1187874804        23.5958268876      -140.7553836943 
        0.0400001000         2.0800000000         1.1570217527        23.7793266828       -83.6893056518 
        0.0450000000         2.0800000000         1.1391790923        22.8618277066      -110.3201420716 
        0.0500001000         2.0800000000         1.1187874804        22.6783279114      -140.7553836943 
        0.0550000000         2.0800000000         1.1289832864        21.9443287304      -125.5377628830 
        0.0600001000         2.0800000000         1.1238853834        21.0268297541      -133.1465732886 
        0.0650001000         2.0800000000         1.1136895775        20.2928305731      -148.3641940999 
        0.0700000000         2.0800000000         1.1366301408        20.1093307779      -114.1245472745 
        0.0750001000         2.0800000000         1.1289832864        19.9258309826      -125.5377628830 
        0.0800000000         2.0800000000         1.1238853834        18.8248322111      -133.1465732886 
        0.0850001000         2.0800000000         1.1340811893        18.0908330301      -117.9289524773 
        0.0900000000         2.0800000000         1.1213364319        17.5403336444      -136.9509784914 
        0.0950001000         2.0800000000         1.1289832864        17.5403336444      -125.5377628830 
        0.1000000000         2.0800000000         1.1060427230        16.0723352824      -159.7774097084 
        0.1050000000         2.0800000000         1.1085916745        15.1548363062      -155.9730045056 
        0.1100001000         2.0800000000         1.1187874804        15.1548363062      -140.7553836943 
        0.1150000000         2.0800000000         1.1111406260        13.5033381489      -152.1685993028 
        0.1200001000         2.0800000000         1.1034937715        12.9528387632      -163.5818149113 
        0.1250000000         2.0800000000         1.1085916745        12.0353397869      -155.9730045056 
        0.1300001000         2.0800000000         1.0983958685        11.3013406059      -171.1906253169 
        0.1350000000         2.0800000000         1.1060427230        10.3838416297      -159.7774097084 
        0.1400001000         2.0800000000         1.1009448200        10.0168420392      -167.3862201141 
        0.1450001000         2.0800000000         1.1009448200         8.3653438820      -167.3862201141 
        0.1500000000         2.0800000000         1.1009448200         8.1818440867      -167.3862201141 
        0.1550001000         2.0800000000         1.1060427230         7.2643451105      -159.7774097084 
        0.1600000000         2.0800000000         1.0932979656         5.4293471580      -178.7994357226 
        0.1650001000         2.0800000000         1.0856511111         4.8788477723      -190.2126513311 
        0.1700000000         2.0800000000         1.0805532081         3.5943492055      -197.8214617367 
        0.1750001000         2.0800000000         1.0882000626         3.2273496150      -186.4082461282 
        0.1800001000         2.0800000000         1.1009448200         3.0438498198      -167.3862201141 
        0.1850001000         2.0800000000         1.0856511111         1.2088518673      -190.2126513311 
        0.1900001000         2.0800000000         1.0805532081         1.0253520720      -197.8214617367 
        0.1950000000         2.0800000000         1.0907490141         0.6583524815      -182.6038409254 
        0.2000001000         2.0800000000         1.1009448200         0.1078530958      -167.3862201141 
        0.2050000000         2.0800000000         1.0805532081        -0.0756466995      -197.8214617367 
        0.2100001000         2.0800000000         1.0932979656         0.1078530958      -178.7994357226 
        0.2150000000         2.0800000000         1.0780042567        -0.4426462900      -201.6258669395 
        0.2200001000         2.0800000000         1.0882000626         0.2913528910      -186.4082461282 
        0.2250000000         2.0800000000         1.0856511111         0.6583524815      -190.2126513311 
        0.2300000000         2.0800000000         1.0831021596        -0.4426462900      -194.0170565339 
        0.2350001000         2.0800000000         1.0805532081         0.2913528910      -197.8214617367 
        0.2400001000         2.0800000000         1.0856511111         0.2913528910      -190.2126513311 
        0.2450001000         2.0800000000         1.0932979656        79.9302640289      -178.7994357226 
        0.2500000000         2.0800000000         1.0907490141        79.1962648479      -182.6038409254 
        0.2550001000         2.0800000000         1.0805532081        79.0127650526      -197.8214617367 
        0.2600000000         2.0800000000         1.0983958685        79.5632644384      -171.1906253169 
        0.2650001000         2.0800000000         1.0780042567       357.9324538304      -201.6258669395 
        0.2700001000         2.0800000000         1.0882000626       359.5839519876      -186.4082461282 
        0.2750000000         2.0800000000         1.0780042567       359.4004521924      -201.6258669395 
        0.2800001000         2.0800000000         1.0780042567       359.4004521924      -201.6258669395 
        0.2850000000         2.0800000000         1.0780042567       359.9509515781      -201.6258669395 
        0.2900001000         2.0800000000         1.0983958685       360.5014509639      -171.1906253169 
        0.2950000000         2.0800000000         1.0652594992       359.9509515781      -220.6478929537 
        0.3000001000         2.0800000000         1.0907490141       359.9509515781      -182.6038409254 
        0.3050000000         2.0800000000         1.0831021596       360.1344513734      -194.0170565339 
        0.3100001000         2.0800000000         1.0932979656       359.9509515781      -178.7994357226 
        0.3150001000         2.0800000000         1.0856511111       359.4004521924      -190.2126513311 
        0.3200000000         2.0800000000         1.0907490141       358.2994534209      -182.6038409254 
        0.3250001000         2.0800000000         1.0805532081       357.0149548541      -197.8214617367 
        0.3300000000         2.0800000000         1.0932979656       356.6479552636      -178.7994357226 
        0.3350001000         2.0800000000         1.0882000626       355.7304562874      -186.4082461282 
        0.3400000000         2.0800000000         1.0932979656       354.8129573112      -178.7994357226 
        0.3450001000         2.0800000000         1.0983958685       353.8954583349      -171.1906253169 
        0.3500001000         2.0800000000         1.0805532081       352.2439601777      -197.8214617367 
        0.3550001000         2.0800000000         1.0882000626       351.3264612014      -186.4082461282 
        0.3600001000         2.0800000000         1.0882000626       351.1429614062      -186.4082461282 
        0.3650000000         2.0800000000         1.0882000626       349.6749630442      -186.4082461282 
        0.3700001000         2.0800000000         1.1009448200       348.9409638632      -167.3862201141 
        0.3750043000         2.0800000000         1.0754553052       347.1059659107      -205.4302721424 
        0.3800001000         2.0800000000         1.0932979656       346.9224661155      -178.7994357226 
        0.3850000000         2.0800000000         1.0729063537       345.2709679582      -209.2346773452 
        0.3900001000         2.0800000000         1.0729063537       344.3534689820      -209.2346773452 
        0.3950001000         2.0800000000         1.0780042567       343.0689704153      -201.6258669395 
