           Time[sec]          ao1_Vcmd[V]         ai2_Vgyro[V]        ai3_Vpoten[V]         Wgyro[rad/s] 
        0.8450000000         5.0000000000         2.1103296084         3.8295075772        23.3466400379 
        0.8500000000         5.0000000000         2.0950358995         3.9034172170        22.9482436567 
        0.8550000000         5.0000000000         2.1001338025         4.0053615477        23.0810424504 
        0.8600000000         5.0000000000         2.1001338025         4.0971114453        23.0810424504 
        0.8650000000         5.0000000000         2.0950358995         4.1863127346        22.9482436567 
        0.8700000000         5.0000000000         2.1128785599         4.2882570653        23.4130394348 
        0.8750000000         5.0000000000         2.1001338025         4.3774583547        23.0810424504 
        0.8800000000         5.0000000000         2.1179764629         4.4743054688        23.5458382285 
        0.8850000000         5.0000000000         2.1077806570         4.5558609334        23.2802406411 
        0.8900000000         5.0000000000         2.1103296084         4.6552566558        23.3466400379 
        0.8950001000         5.0000000000         2.1128785599         4.7521037700        23.4130394348 
        0.9000000000         5.0000000000         2.1154275114         4.8514994924        23.4794388317 
        0.9050000000         5.0000000000         2.1179764629         4.9483466066        23.5458382285 
        0.9100001000         5.0000000000         2.1205254144         5.0069645967        23.6122376254 
        0.9150000000         5.0000000000         2.1205254144         1.1075939477        23.6122376254 
        0.9200000000         5.0000000000         2.1205254144         0.0040465679        23.6122376254 
        0.9250001000         5.0000000000         2.1128785599         0.0091437845        23.4130394348 
        0.9300000000         5.0000000000         2.1230743659         0.1085395069        23.6786370223 
        0.9350000000         5.0000000000         2.1205254144         0.2130324459        23.6122376254 
        0.9400001000         5.0000000000         2.1052317055         0.2971365187        23.2138412442 
        0.9450001000         5.0000000000         2.1128785599         0.3965322411        23.4130394348 
        0.9500001000         5.0000000000         2.1103296084         0.4882821387        23.3466400379 
        0.9550001000         5.0000000000         2.1128785599         0.5774834281        23.4130394348 
        0.9600001000         5.0000000000         2.1179764629         0.6794277588        23.5458382285 
        0.9650000000         5.0000000000         2.1052317055         0.7584346151        23.2138412442 
        0.9700000000         5.0000000000         2.1205254144         0.8603789458        23.6122376254 
        0.9750000000         5.0000000000         2.1052317055         0.9368371938        23.2138412442 
        0.9800000000         5.0000000000         2.1001338025         1.0285870914        23.0810424504 
        0.9850000000         5.0000000000         2.1128785599         1.1254342056        23.4130394348 
        0.9900000000         5.0000000000         2.1128785599         1.2120868867        23.4130394348 
        0.9950000000         5.0000000000         2.1026827540         1.3012881760        23.1474418473 
        1.0000000000         5.0000000000         2.1179764629         1.3981352902        23.5458382285 
        1.0050000000         5.0000000000         2.1103296084         1.4745935382        23.3466400379 
        1.0100001000         5.0000000000         2.1128785599         1.5739892606        23.4130394348 
        1.0150000000         5.0000000000         2.1205254144         1.6733849830        23.6122376254 
        1.0200001000         5.0000000000         2.1077806570         1.7472946228        23.2802406411 
        1.0250000000         5.0000000000         2.1103296084         1.8415931287        23.3466400379 
        1.0300000000         5.0000000000         2.1205254144         1.9409888511        23.6122376254 
        1.0350001000         5.0000000000         2.1077806570         2.0276415322        23.2802406411 
        1.0400000000         5.0000000000         2.1001338025         2.1193914298        23.0810424504 
        1.0450000000         5.0000000000         2.1052317055         2.2009468944        23.2138412442 
        1.0500001000         5.0000000000         2.1256233174         2.3105370499        23.7450364191 
        1.0550000000         5.0000000000         2.1128785599         2.3946411227        23.4130394348 
        1.0600000000         5.0000000000         2.1052317055         2.4761965873        23.2138412442 
        1.0650001000         5.0000000000         2.1077806570         2.5755923097        23.2802406411 
        1.0700000000         5.0000000000         2.1077806570         2.6622449908        23.2802406411 
        1.0750000000         5.0000000000         2.1128785599         2.7514462801        23.4130394348 
        1.0800000000         5.0000000000         2.1256233174         2.8533906108        23.7450364191 
        1.0850000000         5.0000000000         2.1077806570         2.9400432919        23.2802406411 
        1.0900000000         5.0000000000         2.1052317055         3.0215987565        23.2138412442 
        1.0950000000         5.0000000000         2.1103296084         3.1209944789        23.3466400379 
        1.1000000000         5.0000000000         2.1128785599         3.2127443765        23.4130394348 
        1.1050000000         5.0000000000         2.0975848510         3.2866540163        23.0146430536 
        1.1100000000         5.0000000000         2.1001338025         3.3758553056        23.0810424504 
        1.1150000000         5.0000000000         2.1077806570         3.4752510280        23.2802406411 
        1.1200000000         5.0000000000         2.1103296084         3.5670009257        23.3466400379 
        1.1250000000         5.0000000000         2.1205254144         3.6562022150        23.6122376254 
        1.1300000000         5.0000000000         2.1103296084         3.7505007209        23.3466400379 
        1.1350001000         5.0000000000         2.1026827540         3.8320561855        23.1474418473 
        1.1400000000         5.0000000000         2.1001338025         3.9314519079        23.0810424504 
        1.1450001000         5.0000000000         2.0975848510         4.0206531973        23.0146430536 
        1.1500000000         5.0000000000         2.0975848510         4.1175003114        23.0146430536 
        1.1550001000         5.0000000000         2.1052317055         4.2117988173        23.2138412442 
        1.1600001000         5.0000000000         2.1001338025         4.2933542819        23.0810424504 
        1.1650000000         5.0000000000         2.1154275114         4.4003958291        23.4794388317 
        1.1700000000         5.0000000000         2.1154275114         4.4921457267        23.4794388317 
        1.1750001000         5.0000000000         2.1103296084         4.5838956243        23.3466400379 
        1.1800000000         5.0000000000         2.1128785599         4.6756455220        23.4130394348 
        1.1850000000         5.0000000000         2.1205254144         4.7801384609        23.6122376254 
        1.1900001000         5.0000000000         2.1077806570         4.8616939255        23.2802406411 
        1.1950000000         5.0000000000         2.1154275114         4.9636382562        23.4794388317 
