           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        0.5700001000         4.1000000000         1.9268051015         1.8543361700        18.5658834633 
        0.5750001000         4.1000000000         1.9268051015         1.9435374594        18.5658834633 
        0.5800001000         4.1000000000         1.9064134896         1.9996068413        18.0346882884 
        0.5850000000         4.1000000000         1.9115113925         2.0760650893        18.1674870821 
        0.5900000000         4.1000000000         1.9242561500         2.1525233373        18.4994840665 
        0.5950000000         4.1000000000         1.9217071985         2.2111413274        18.4330846696 
        0.6000000000         4.1000000000         1.9293540529         2.2926967920        18.6322828602 
        0.6050000000         4.1000000000         1.9268051015         2.3640578235        18.5658834633 
        0.6100000000         4.1000000000         1.9293540529         2.4354188550        18.6322828602 
        0.6150001000         4.1000000000         1.9319030044         2.5144257113        18.6986822571 
        0.6200000000         4.1000000000         1.9166092955         2.5781409179        18.3002858758 
        0.6250000000         4.1000000000         1.9242561500         2.6520505577        18.4994840665 
        0.6300001000         4.1000000000         1.9344519559         2.7285088057        18.7650816539 
        0.6350000000         4.1000000000         1.9242561500         2.7871267959        18.4994840665 
        0.6400000000         4.1000000000         1.9395498589         2.8763280852        18.8978804477 
        0.6450000000         4.1000000000         1.9344519559         2.9349460754        18.7650816539 
        0.6500000000         4.1000000000         1.9268051015         3.0037584986        18.5658834633 
        0.6550000000         4.1000000000         1.9242561500         3.0853139631        18.4994840665 
        0.6600000000         4.1000000000         1.9140603440         3.1439319533        18.2338864790 
        0.6650000000         4.1000000000         1.9344519559         3.2254874178        18.7650816539 
        0.6700000000         4.1000000000         1.9344519559         3.2993970576        18.7650816539 
        0.6750000000         4.1000000000         1.9293540529         3.3707580891        18.6322828602 
        0.6800000000         4.1000000000         1.9140603440         3.4344732958        18.2338864790 
        0.6850000000         4.1000000000         1.9217071985         3.4981885025        18.4330846696 
        0.6900000000         4.1000000000         1.9242561500         3.5797439670        18.4994840665 
        0.6950001000         4.1000000000         1.9293540529         3.6587508233        18.6322828602 
        0.7000001000         4.1000000000         1.9166092955         3.7199174217        18.3002858758 
        0.7050001000         4.1000000000         1.9293540529         3.8014728863        18.6322828602 
        0.7100000000         4.1000000000         1.9140603440         3.8651880930        18.2338864790 
        0.7150000000         4.1000000000         1.9268051015         3.9467435575        18.5658834633 
        0.7200000000         4.1000000000         1.9140603440         4.0130073725        18.2338864790 
        0.7250000000         4.1000000000         1.9344519559         4.0869170122        18.7650816539 
        0.7300000000         4.1000000000         1.9242561500         4.1582780437        18.4994840665 
        0.7350000000         4.1000000000         1.9293540529         4.2398335083        18.6322828602 
        0.7400001000         4.1000000000         1.9242561500         4.2959028901        18.4994840665 
        0.7450000000         4.1000000000         1.9319030044         4.3825555712        18.6986822571 
        0.7500000000         4.1000000000         1.9166092955         4.4462707779        18.3002858758 
        0.7550001000         4.1000000000         1.9319030044         4.5329234590        18.6986822571 
        0.7600000000         4.1000000000         1.9191582470         4.5940900574        18.3666852727 
        0.7650000000         4.1000000000         1.9242561500         4.6705483054        18.4994840665 
        0.7700000000         4.1000000000         1.9293540529         4.7572009865        18.6322828602 
        0.7750000000         4.1000000000         1.9319030044         4.8285620180        18.6986822571 
        0.7800000000         4.1000000000         1.9268051015         4.8999230495        18.5658834633 
        0.7850000000         4.1000000000         1.9370009074         4.9865757306        18.8314810508 
        0.7900000000         4.1000000000         1.9293540529         4.9942215554        18.6322828602 
        0.7950000000         4.1000000000         1.9268051015         1.1050453394        18.5658834633 
