           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2130986854         0.0065071409         1.2351446129 
        0.0050000000         0.7028095724         1.2130986854         0.0065071409         1.2383472885 
        0.0100000000         1.4001844718         1.2080007824        -0.1262916528         1.2287392617 
        0.0150000000         2.0867320503         1.2130986854         0.0065071409         1.2351446129 
        0.0200000000         2.7571433854         1.2130986854         0.0065071409         1.2351446129 
        0.0250000000         3.4062343325         1.2054518309        -0.1926910497         1.2351446129 
        0.0300000000         4.0289856149         1.2054518309        -0.1926910497         1.2255365860 
        0.0350000000         4.6205816274         1.2156476369         0.0729065378         1.2351446129 
        0.0400000000         5.1764476926         1.2972140844         2.1976872376         1.2383472885 
        0.0450000000         5.6922854191         1.2768224726         1.6664920626         1.2511579909 
        0.0500000000         6.1641059422         1.2717245696         1.5336932689         1.2511579909 
        0.0550000000         6.5882607810         1.2870182785         1.9320896501         1.2607660177 
        0.0600000000         6.9614700384         1.3176056963         2.7288824125         1.2799820713 
        0.0650000000         7.2808477655         1.3074098904         2.4632848251         1.2959954493 
        0.0700000000         7.5439242871         1.3354483567         3.1936781906         1.3056034761 
        0.0750000000         7.7486652896         1.3099588419         2.5296842219         1.3152115030 
        0.0800000000         7.8934875537         1.3481931142         3.5256751750         1.3504409346 
        0.0850000000         7.9772712021         1.3481931142         3.5256751750         1.3472382590 
        0.0900000000         7.9993683536         1.3558399686         3.7248733656         1.3664543126 
        0.0950000000         7.9596081359         1.3354483567         3.1936781906         1.3952783931 
        0.1000000000         7.8582980058         1.3736826290         4.1896691437         1.4112917711 
        0.1050000000         7.6962213727         1.3430952112         3.3928763812         1.4305078247 
        0.1100000000         7.4746315397         1.3685847260         4.0568703499         1.4529265539 
        0.1150000000         7.1952420125         1.3379973082         3.2600775875         1.4689399319 
        0.1201463000         6.8495978407         1.3787805320         4.3224679374         1.4945613368 
        0.1250000000         6.4721359550         1.3558399686         3.7248733656         1.5041693636 
        0.1300000000         6.0340110459         1.3838784350         4.4552667311         1.5329934440 
        0.1350000000         5.5492264465         1.3405462597         3.3264769844         1.5426014708 
        0.1400000000         5.0215308903         1.3634868231         3.9240715562         1.5586148488 
        0.1450000000         4.4550049319         1.3456441627         3.4592757781         1.5810335781 
        0.1500000000         3.8540293928         1.3558399686         3.7248733656         1.6034523073 
        0.1550000000         3.2232514838         1.3354483567         3.1936781906         1.6066549829 
        0.1600000000         2.5675488785         1.3354483567         3.1936781906         1.6130603341 
        0.1650000000         1.8919919762         1.3328994052         3.1272787938         1.6290737121 
        0.1700000000         1.2018047109         1.3379973082         3.2600775875         1.6643031438 
        0.1750000000         0.5023241562         1.3354483567         3.1936781906         1.6771138462 
        0.1800001000        -0.2010548337         1.3227035993         2.8616812063         1.6835191974 
        0.1850000000        -0.9028510811         1.3125077934         2.5960836188         1.6963298998 
        0.1900000000        -1.5976798441         1.2972140844         2.1976872376         1.7155459534 
        0.1950000000        -2.2801540998         1.2334902973         0.5377023158         1.7059379266 
        0.2000000000        -2.9449964234         1.2334902973         0.5377023158         1.7251539802 
        0.2050000000        -3.5870657287         1.2003539280        -0.3254898435         1.7187486290 
        0.2100001000        -4.2014090171         1.2130986854         0.0065071409         1.7155459534 
        0.2150000000        -4.7832398661         1.2130986854         0.0065071409         1.7187486290 
        0.2200000000        -5.3280949395         1.2003539280        -0.3254898435         1.7123432778 
        0.2250000000        -5.8317490194         1.2207455399         0.2057053315         1.7251539802 
