           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.4150001000         5.8489134407         1.3481931142         3.5256751750         1.4689399319 
        0.4200001000         5.2526735346         1.3328994052         3.1272787938         1.4817506344 
        0.4250000000         4.6000420163         1.3252525508         2.9280806031         1.5009666880 
        0.4300000000         3.8980010058         1.3405462597         3.3264769844         1.5169800660 
        0.4350000000         3.1541017947         1.3023119874         2.3304860313         1.5297907684 
        0.4400000000         2.3763326526         1.3150567448         2.6624830157         1.5554121732 
        0.4450000000         1.5730455569         1.2921161815         2.0648884438         1.5490068220 
        0.4500000000         0.7528665065         1.2997630359         2.2640866345         1.5650202001 
        0.4550000000        -0.0753971075         1.2844693270         1.8656902532         1.5746282269 
        0.4600031000        -0.9033620091         1.2819203755         1.7992908564         1.5746282269 
        0.4650000000        -1.7206098961         1.2564308607         1.1352968877         1.6002496317 
        0.4700000000        -2.5198921572         1.2130986854         0.0065071409         1.5874389293 
        0.4750001000        -3.2921299848         1.1952560250        -0.4582886372         1.5874389293 
        0.4800001000        -4.0289999437         1.2105497339        -0.0598922560         1.5970469561 
        0.4850000000        -4.7225915949         1.2130986854         0.0065071409         1.5874389293 
        0.4900000000        -5.3654846123         1.2080007824        -0.1262916528         1.5938442805 
        0.4950000000        -5.9507610385         1.2054518309        -0.1926910497         1.5874389293 
        0.5000000000        -6.4721359550         1.1825112676        -0.7902856215         1.6002496317 
        0.5050000000        -6.9240106420         1.0983958685        -2.9814657182         1.5714255513 
        0.5100072000        -7.3020206708         1.1391790923        -1.9190753683         1.5618175245 
        0.5150000000        -7.6006481528         1.1264343349        -2.2510723527         1.5458041464 
        0.5200000000        -7.8181449885         1.1187874804        -2.4502705433         1.5361961196 
        0.5250000000        -7.9516876436         1.1085916745        -2.7158681308         1.5265880928 
        0.5300000000        -7.9998420868         1.1187874804        -2.4502705433         1.5265880928 
        0.5350000000        -7.9620912177         1.1187874804        -2.4502705433         1.5041693636 
        0.5400000000        -7.8388404191         1.1187874804        -2.4502705433         1.5009666880 
        0.5450000000        -7.6314132045         1.1111406260        -2.6494687339         1.4881559856 
        0.5500000000        -7.3420370055         1.0983958685        -2.9814657182         1.4753452831 
        0.5550000000        -6.9738192523         1.1238853834        -2.3174717495         1.4657372563 
        0.5600000000        -6.5307140057         1.0805532081        -3.4462614963         1.4561292295 
        0.5650019000        -6.0172718132         1.1111406260        -2.6494687339         1.4273051491 
        0.5700001000        -5.4396148684         1.0882000626        -3.2470633057         1.4112917711 
        0.5750001000        -4.8033485375         1.1085916745        -2.7158681308         1.3888730418 
        0.5800001000        -4.1155020457         1.1085916745        -2.7158681308         1.4016837443 
        0.5850000000        -3.3834767767         1.1162385289        -2.5166699401         1.3952783931 
        0.5900018000        -2.6148220612         1.1034937715        -2.8486669245         1.3632516370 
        0.5950000000        -1.8186497252         1.1009448200        -2.9150663214         1.3472382590 
        0.6000000000        -1.0026658685         1.1060427230        -2.7822675276         1.3376302322 
