           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2130986854         0.0065071409         0.8284048112 
        0.0050000000         0.4772385711         1.2105497339        -0.0598922560         0.8380128380 
        0.0100000000         0.9527772808         1.2130986854         0.0065071409         0.8380128380 
        0.0150000000         1.4249223221         1.2181965884         0.1393059346         0.8476208648 
        0.0200000000         1.8919919762         1.2130986854         0.0065071409         0.8412155136 
        0.0250000000         2.3523226019         1.2130986854         0.0065071409         0.8412155136 
        0.0300000000         2.8042745615         1.2080007824        -0.1262916528         0.8380128380 
        0.0350000000         3.2462380613         1.2130986854         0.0065071409         0.8380128380 
        0.0400000000         3.6766388850         1.2666266666         1.4008944752         0.8412155136 
        0.0450000000         4.0939440009         1.2921161815         2.0648884438         0.8540262160 
        0.0500000000         4.4966670228         1.2538819092         1.0688974908         0.8572288916 
        0.0550000000         4.8833735039         1.2742735211         1.6000926658         0.8604315672 
        0.0600000000         5.2526860460         1.2844693270         1.8656902532         0.8828502964 
        0.0650000000         5.6032892063         1.2819203755         1.7992908564         0.8764449452 
        0.0700000000         5.9339341819         1.3048609389         2.3968854282         0.8956609989 
        0.0750000000         6.2434432587         1.2946651330         2.1312878407         0.9052690257 
        0.0800000000         6.5307140057         1.3150567448         2.6624830157         0.9276877549 
        0.0850000000         6.7947232021         1.3303504538         3.0608793969         0.9276877549 
        0.0900000000         7.0345304815         1.3176056963         2.7288824125         0.9437011329 
        0.0950000000         7.2492816818         1.3125077934         2.5960836188         0.9501064841 
        0.1000000000         7.4382118871         1.3405462597         3.3264769844         0.9789305646 
        0.1050000000         7.6006481528         1.3354483567         3.1936781906         0.9853359158 
        0.1100000000         7.7360119021         1.3430952112         3.3928763812         1.0077546450 
        0.1150000000         7.8438209870         1.3303504538         3.0608793969         1.0141599962 
        0.1200000000         7.9236914056         1.3609378716         3.8576721593         1.0301733742 
        0.1250000000         7.9753386699         1.3507420656         3.5920745718         1.0557947790 
        0.1300000000         7.9985788190         1.3787805320         4.3224679374         1.0750108327 
        0.1350000000         7.9933290747         1.3583889201         3.7912727624         1.1070375887 
        0.1400000000         7.9596081359         1.3838784350         4.4552667311         1.1230509667 
        0.1450000000         7.8975361120         1.3634868231         3.9240715562         1.1358616691 
        0.1500000000         7.8073340955         1.3864273864         4.5216661280         1.1614830740 
        0.1550000000         7.6893233743         1.3634868231         3.9240715562         1.1839018032 
        0.1600000000         7.5439242871         1.3864273864         4.5216661280         1.1999151812 
        0.1650000000         7.3716547266         1.3609378716         3.8576721593         1.2287392617 
        0.1700000000         7.1731282943         1.3940742409         4.7208643186         1.2383472885 
        0.1750000000         6.9490521155         1.3685847260         4.0568703499         1.2607660177 
        0.1800001000         6.7002191019         1.3889763379         4.5880655249         1.2831847469 
        0.1850000000         6.4275312009         1.3660357746         3.9904709531         1.2959954493 
        0.1900000000         6.1319440545         1.3864273864         4.5216661280         1.3344275566 
        0.1950000000         5.8145157239         1.3762315805         4.2560685405         1.3408329078 
        0.2000000000         5.4763768474         1.3762315805         4.2560685405         1.3632516370 
        0.2050000000         5.1187318316         1.3889763379         4.5880655249         1.3920757174 
        0.2100001000         4.7428468701         1.3711336775         4.1232697468         1.4176971223 
        0.2150000000         4.3500838622         1.3813294835         4.3888673343         1.4465212027 
        0.2200000000         3.9418187324         1.3634868231         3.9240715562         1.4497238783 
        0.2250000000         3.5195133588         1.3583889201         3.7912727624         1.4689399319 
        0.2300000000         3.0846719382         1.3558399686         3.7248733656         1.4849533100 
        0.2350000000         2.6388433189         1.3711336775         4.1232697468         1.5169800660 
        0.2400001000         2.1836062962         1.3583889201         3.7912727624         1.5329934440 
        0.2450000000         1.7206098961         1.3379973082         3.2600775875         1.5522094976 
        0.2500000000         1.2514757203         1.3430952112         3.3928763812         1.5618175245 
        0.2550000000         0.7778839514         1.3303504538         3.0608793969         1.5874389293 
        0.2600185000         0.2997558777         1.3379973082         3.2600775875         1.5938442805 
        0.2650000000        -0.1759150087         1.3150567448         2.6624830157         1.6162630097 
        0.2700000000        -0.6527248925         1.3099588419         2.5296842219         1.6322763877 
        0.2750000000        -1.1272098555         1.2819203755         1.7992908564         1.6290737121 
        0.2800000000        -1.5976798441         1.2360392488         0.6041017127         1.6354790633 
        0.2850000000        -2.0624591057         1.2130986854         0.0065071409         1.6354790633 
        0.2900001000        -2.5199012217         1.2130986854         0.0065071409         1.6546951170 
        0.2950000000        -2.9683496819         1.2181965884         0.1393059346         1.6450870902 
        0.3000000000        -3.4062343325         1.2207455399         0.2057053315         1.6418844145 
        0.3050000000        -3.8319864212         1.2181965884         0.1393059346         1.6546951170 
        0.3100000000        -4.2440894745         1.2130986854         0.0065071409         1.6354790633 
        0.3150000000        -4.6410756351         1.2003539280        -0.3254898435         1.6450870902 
        0.3200000000        -5.0215308903         1.0907490141        -3.1806639088         1.6130603341 
        0.3250000000        -5.3841001081         1.1621196557        -1.3214807965         1.6098576585 
        0.3300000000        -5.7274918642         1.1417280438        -1.8526759714         1.5970469561 
        0.3350000000        -6.0504830420         1.1136895775        -2.5830693370         1.5970469561 
        0.3400000000        -6.3519231892         1.1289832864        -2.1846729558         1.5938442805 
        0.3450000000        -6.6307386152         1.1136895775        -2.5830693370         1.5714255513 
        0.3500001000        -6.8859410777         1.1034937715        -2.8486669245         1.5586148488 
        0.3550001000        -7.1166113736         1.1009448200        -2.9150663214         1.5393987952 
        0.3600000000        -7.3219293810         1.1009448200        -2.9150663214         1.5329934440 
        0.3650000000        -7.5011719944         1.0856511111        -3.3134627026         1.5137773904 
        0.3700000000        -7.6536964125         1.0831021596        -3.3798620994         1.4977640124 
        0.3750000000        -7.7789593632         1.0958469171        -3.0478651151         1.4913586612 
        0.3800000000        -7.8765146762         1.0780042567        -3.5126608932         1.4753452831 
        0.3850019000        -7.9460359154         1.0958469171        -3.0478651151         1.4593319051 
        0.3900000000        -7.9872124009         1.0423189359        -4.4422524494         1.4305078247 
        0.3950000000        -7.9999605216         1.0958469171        -3.0478651151         1.4305078247 
        0.4000000000        -7.9842138274         1.0601615963        -3.9774566713         1.4048864199 
        0.4050000000        -7.9400284060         1.0703574022        -3.7118590838         1.3728596638 
        0.4100000000        -7.8675616400         1.0499657903        -4.2430542587         1.3664543126 
        0.4150001000        -7.7670693587         1.0652594992        -3.8446578775         1.3536436102 
        0.4200001000        -7.6389135210         1.0474168388        -4.3094536556         1.3248195298 
        0.4250000000        -7.4835522466         1.0576126448        -4.0438560681         1.3024008005 
        0.4300000000        -7.3015326992         1.0448678873        -4.3758530525         1.2927927737 
        0.4350000000        -7.0935060456         1.0525147418        -4.1766548619         1.2735767201 
        0.4400000000        -6.8602132495         1.0550636933        -4.1102554650         1.2415499641 
        0.4450000000        -6.6024852695         1.0525147418        -4.1766548619         1.2127258836 
        0.4500000000        -6.3212400990         1.0499657903        -4.2430542587         1.1999151812 
        0.4550000000        -6.0174794965         1.0601615963        -3.9774566713         1.1806991276 
        0.4600000000        -5.6922854177         1.0474168388        -4.3094536556         1.1614830740 
        0.4650000000        -5.3468161613         1.0627105477        -3.9110572744         1.1486723716 
        0.4700000000        -4.9823022439         1.0601615963        -3.9774566713         1.1262536423 
        0.4750001000        -4.6000342025         1.0601615963        -3.9774566713         1.1070375887 
        0.4800001000        -4.2013889122         1.0499657903        -4.2430542587         1.0718081571 
        0.4850027000        -3.7875601064         1.0499657903        -4.2430542587         1.0589974547 
        0.4900000000        -3.3606858273         1.0550636933        -4.1102554650         1.0365787254 
        0.4950000000        -2.9216140951         1.0627105477        -3.9110572744         1.0173626718 
        0.5000000000        -2.4721359550         1.0550636933        -4.1102554650         0.9981466182 
        0.5050000000        -2.0138523893         1.0627105477        -3.9110572744         0.9693225377 
        0.5100000000        -1.5483957444         1.0601615963        -3.9774566713         0.9469038085 
        0.5150000000        -1.0774239160         1.0882000626        -3.2470633057         0.9437011329 
        0.5200000000        -0.6026144442         1.0729063537        -3.6454596869         0.9180797281 
        0.5250000000        -0.1256585385         1.0907490141        -3.1806639088         0.9052690257 
        0.5300000000         0.3517449465         1.1060427230        -2.7822675276         0.9084717013 
        0.5350000000         0.8278955620         1.1238853834        -2.3174717495         0.8892556476 
        0.5400000000         1.3010973216         1.1748644131        -0.9894838121         0.8892556476 
        0.5450000000         1.7696647423         1.1927070735        -0.5246880341         0.8764449452 
        0.5500000000         2.2319288483         1.2130986854         0.0065071409         0.8668369184 
        0.5550000000         2.6862431151         1.2156476369         0.0729065378         0.8764449452 
        0.5600032000         3.1312705678         1.2003539280        -0.3254898435         0.8668369184 
        0.5650000000         3.5645833790         1.2207455399         0.2057053315         0.8828502964 
        0.5700001000         3.9854891238         1.2054518309        -0.1926910497         0.8668369184 
        0.5750001000         4.3921905264         1.2207455399         0.2057053315         0.8860529720 
        0.5800001000         4.7832475188         1.2691756181         1.4672938720         0.8700395940 
        0.5850000000         5.1572599090         1.3074098904         2.4632848251         0.8988636745 
        0.5900000000         5.5129104671         1.2564308607         1.1352968877         0.8956609989 
        0.5950000000         5.8489247578         1.2819203755         1.7992908564         0.9020663501 
        0.6000000000         6.1641059422         1.2997630359         2.2640866345         0.9180797281 
        0.6050000000         6.4573313860         1.3099588419         2.5296842219         0.9372957817 
        0.6100000000         6.7275566584         1.3150567448         2.6624830157         0.9308904305 
        0.6150000000         6.9738192523         1.3023119874         2.3304860313         0.9533091597 
        0.6200000000         7.1952420125         1.3227035993         2.8616812063         0.9661198621 
        0.6254162000         7.4061562259         1.3227035993         2.8616812063         0.9725252133 
        0.6300000000         7.5605046014         1.3303504538         3.0608793969         0.9917412670 
        0.6350195000         7.7035459010         1.3278015023         2.9944800000         0.9981466182 
        0.6401930000         7.8220320232         1.3405462597         3.3264769844         1.0237680230 
        0.6450000000         7.9053993529         1.3456441627         3.4592757781         1.0333760498 
        0.6500000000         7.9644957168         1.3379973082         3.2600775875         1.0525921034 
        0.6550000000         7.9952235868         1.3787805320         4.3224679374         1.0846188595 
        0.6600000000         7.9974735143         1.3379973082         3.2600775875         1.0878215351 
        0.6650031000         7.9712123968         1.3762315805         4.2560685405         1.1230509667 
        0.6700000000         7.9166089488         1.3583889201         3.7912727624         1.1358616691 
        0.6750000000         7.8337824850         1.3787805320         4.3224679374         1.1582803984 
        0.6800000000         7.7230531107         1.3558399686         3.7248733656         1.1774964520 
        0.6850000000         7.5848152295         1.3813294835         4.3888673343         1.1967125056 
        0.6900000000         7.4195612267         1.3507420656         3.5920745718         1.2223339104 
        0.6950002000         7.2278715283         1.3864273864         4.5216661280         1.2383472885 
        0.7000001000         7.0104488393         1.3456441627         3.4592757781         1.2447526397 
        0.7050001000         6.7680517540         1.3787805320         4.3224679374         1.2767793957 
        0.7100000000         6.5015533155         1.3762315805         4.2560685405         1.3056034761 
        0.7150108000         6.2112420995         1.3634868231         3.9240715562         1.3088061517 
        0.7200000000         5.9001049389         1.3736826290         4.1896691437         1.3376302322 
        0.7250000000         5.5673023727         1.3660357746         3.9904709531         1.3504409346 
        0.7300000000         5.2146698024         1.3864273864         4.5216661280         1.3856703662 
        0.7350210000         4.8418668619         1.3634868231         3.9240715562         1.4080890955 
        0.7400000000         4.4550049319         1.3736826290         4.1896691437         1.4176971223 
        0.7450000000         4.0506784588         1.3583889201         3.7912727624         1.4369131759 
        0.7501711000         3.6173566665         1.3583889201         3.7912727624         1.4625345807 
        0.7550000000         3.2002330979         1.3456441627         3.4592757781         1.4785479588 
        0.7600000000         2.7571433854         1.3609378716         3.8576721593         1.4945613368 
        0.7650000000         2.3042330881         1.3481931142         3.5256751750         1.5201827416 
        0.7700000000         1.8431154134         1.3456441627         3.4592757781         1.5297907684 
        0.7750000000         1.3754328022         1.3227035993         2.8616812063         1.5426014708 
        0.7800000000         0.9028510790         1.3354483567         3.1936781906         1.5650202001 
        0.7850000000         0.4270535181         1.3176056963         2.7288824125         1.5842362537 
        0.7900014000        -0.0503988547         1.3125077934         2.5960836188         1.5810335781 
        0.7950000000        -0.5274047836         1.3023119874         2.3304860313         1.5970469561 
        0.8000000000        -1.0026658685         1.2768224726         1.6664920626         1.6098576585 
        0.8050000000        -1.4743555885         1.2334902973         0.5377023158         1.6034523073 
        0.8100000000        -1.9407938464         1.2156476369         0.0729065378         1.6098576585 
        0.8150000000        -2.4003192499         1.2156476369         0.0729065378         1.6098576585 
        0.8200001000        -2.8513039531         1.2156476369         0.0729065378         1.6098576585 
        0.8250001000        -3.2921235733         1.2105497339        -0.0598922560         1.6066549829 
        0.8300001000        -3.7212170779         1.2105497339        -0.0598922560         1.6194656853 
        0.8350001000        -4.1370560955         1.2156476369         0.0729065378         1.6098576585 
        0.8400000000        -4.5381515930         1.1825112676        -0.7902856215         1.6066549829 
        0.8450000000        -4.9230909614         1.1136895775        -2.5830693370         1.5970469561 
        0.8500000000        -5.2904949226         1.1621196557        -1.3214807965         1.5810335781 
        0.8550000000        -5.6390548315         1.1468259468        -1.7198771777         1.5874389293 
        0.8600047000        -5.9678281076         1.1289832864        -2.1846729558         1.5586148488 
        0.8650000000        -6.2747479355         1.1264343349        -2.2510723527         1.5522094976 
        0.8700000000        -6.5596168746         1.1289832864        -2.1846729558         1.5426014708 
        0.8750000000        -6.8211213148         1.1136895775        -2.5830693370         1.5361961196 
        0.8800000000        -7.0583298115         1.1340811893        -2.0518741621         1.5265880928 
        0.8850000000        -7.2703974588         1.1289832864        -2.1846729558         1.5265880928 
