           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2130986854         0.0065071409         1.5297907684 
        0.0050000000         1.2266462699         1.2207455399         0.2057053315         1.5426014708 
        0.0100001000         2.4243056259         1.2181965884         0.1393059346         1.5361961196 
        0.0150000000         3.5645833790         1.2207455399         0.2057053315         1.5329934440 
        0.0200000000         4.6205816274         1.2207455399         0.2057053315         1.5361961196 
        0.0250001000         5.5673200579         1.2105497339        -0.0598922560         1.5490068220 
        0.0300000000         6.3823555163         1.2054518309        -0.1926910497         1.5201827416 
        0.0350000000         7.0464649194         1.2487840062         0.9360986971         1.5329934440 
        0.0400001000         7.5439324834         1.3227035993         2.8616812063         1.5361961196 
        0.0450000000         7.8629686251         1.2666266666         1.4008944752         1.5458041464 
        0.0500000000         7.9960524829         1.2895672300         1.9984890470         1.5586148488 
        0.0550001000         7.9400253961         1.3252525508         2.9280806031         1.5842362537 
        0.0600000000         7.6962213727         1.3303504538         3.0608793969         1.5970469561 
        0.0650000000         7.2703974588         1.3328994052         3.1272787938         1.6098576585 
        0.0700001000         6.6726138836         1.3252525508         2.9280806031         1.6098576585 
        0.0750000000         5.9170487598         1.3430952112         3.3928763812         1.6450870902 
        0.0800000000         5.0215308903         1.3430952112         3.3928763812         1.6611004682 
        0.0850001000         4.0072316883         1.3379973082         3.2600775875         1.6771138462 
        0.0900000000         2.8982029336         1.3150567448         2.6624830157         1.6835191974 
        0.0950000000         1.7206098961         1.3328994052         3.1272787938         1.6995325754 
        0.1000001000         0.5022995780         1.3074098904         2.4632848251         1.7059379266 
        0.1050000000        -0.7278416312         1.3176056963         2.7288824125         1.7251539802 
        0.1100000000        -1.9407938464         1.3150567448         2.6624830157         1.7411673583 
        0.1150000000        -3.1078459731         1.2411371518         0.7369005065         1.7443700339 
        0.1200000000        -4.2013970397         1.2029028795        -0.2590904466         1.7443700339 
        0.1250000000        -5.1955843866         1.2130986854         0.0065071409         1.7475727095 
        0.1300000000        -6.0668953223         1.2130986854         0.0065071409         1.7443700339 
        0.1350001000        -6.7947362012         1.2105497339        -0.0598922560         1.7475727095 
        0.1400000000        -7.3618547789         1.2029028795        -0.2590904466         1.7379646827 
        0.1450000000        -7.7548772992         1.1952560250        -0.4582886372         1.7411673583 
        0.1500001000        -7.9644980344         1.0448678873        -4.3758530525         1.7219513046 
        0.1550000000        -7.9857525222         1.1468259468        -1.7198771777         1.7059379266 
        0.1600000000        -7.8181449885         1.0856511111        -3.3134627026         1.6899245486 
        0.1650001000        -7.4656282115         1.0678084507        -3.7782584807         1.6739111706 
        0.1702712000        -6.9030470351         1.0627105477        -3.9110572744         1.6675058194 
        0.1750000000        -6.2434432587         1.0932979656        -3.1142645120         1.6546951170 
        0.1800001000        -5.4026443023         1.1111406260        -2.6494687339         1.6386817389 
        0.1850000000        -4.4341078299         1.0882000626        -3.2470633057         1.6130603341 
        0.1900000000        -3.3606858273         1.1060427230        -2.7822675276         1.6130603341 
        0.1950001000        -2.2077593907         1.1213364319        -2.3838711464         1.6098576585 
        0.2000000000        -1.0026658685         1.1009448200        -2.9150663214         1.5778309025 
        0.2050000000         0.2261645342         1.1264343349        -2.2510723527         1.5746282269 
