           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2181965884         0.1393059346         0.5177452776 
        0.0050000000         0.3015214623         1.2130986854         0.0065071409         0.5081372508 
        0.0100000000         0.6026144451         1.2054518309        -0.1926910497         0.5017318996 
        0.0150000000         0.9028510790         1.2130986854         0.0065071409         0.5177452776 
        0.0200000000         1.2018047139         1.2080007824        -0.1262916528         0.4953265484 
        0.0250000000         1.4990505176         1.2130986854         0.0065071409         0.5081372508 
        0.0300000000         1.7941660876         1.2181965884         0.1393059346         0.5177452776 
        0.0350000000         2.0867320512         1.2080007824        -0.1262916528         0.5017318996 
        0.0400000000         2.3763326535         1.2232944913         0.2721047284         0.5081372508 
        0.0450000000         2.6625563562         1.2334902973         0.5377023158         0.5113399264 
        0.0500000000         2.9449964223         1.2972140844         2.1976872376         0.5209479532 
        0.0550000000         3.2232514865         1.2487840062         0.9360986971         0.5145426020 
        0.0600000000         3.4969261332         1.2742735211         1.6000926658         0.5433666824 
        0.0650000000         3.7656314581         1.2742735211         1.6000926658         0.5305559800 
        0.0700000000         4.0289856139         1.2691756181         1.4672938720         0.5465693580 
        0.0750000000         4.2866143598         1.2742735211         1.6000926658         0.5433666824 
        0.0800000000         4.5381515938         1.2742735211         1.6000926658         0.5561773849 
        0.0850000000         4.7832398652         1.2997630359         2.2640866345         0.5817987897 
        0.0900000000         5.0215308910         1.2844693270         1.8656902532         0.5721907629 
        0.0950000000         5.2526860467         1.2946651330         2.1312878407         0.5914068165 
        0.1000000000         5.4763768481         1.2997630359         2.2640866345         0.6010148433 
        0.1050000000         5.6922854183         1.3074098904         2.4632848251         0.6106228701 
        0.1100000000         5.9001049389         1.3176056963         2.7288824125         0.6234335725 
        0.1150000000         6.0995400887         1.3201546478         2.7952818094         0.6490549774 
        0.1200000000         6.2903074576         1.3227035993         2.8616812063         0.6490549774 
        0.1250000000         6.4721359550         1.3328994052         3.1272787938         0.6650683554 
        0.1300000000         6.6447671941         1.3354483567         3.1936781906         0.6810817334 
        0.1350000000         6.8079558548         1.3379973082         3.2600775875         0.6970951114 
        0.1400000000         6.9614700374         1.3430952112         3.3928763812         0.7163111650 
        0.1450000000         7.1050915909         1.3481931142         3.5256751750         0.7323245431 
        0.1500000000         7.2386164201         1.3558399686         3.7248733656         0.7611486235 
        0.1550000000         7.3618547789         1.3609378716         3.8576721593         0.7707566503 
        0.1600000000         7.4746315400         1.3583889201         3.7912727624         0.7899727039 
        0.1650000000         7.5767864402         1.3660357746         3.9904709531         0.8027834063 
        0.1700000000         7.6681743121         1.3634868231         3.9240715562         0.8284048112 
        0.1750000000         7.7486652893         1.3634868231         3.9240715562         0.8508235404 
        0.1800000000         7.8181449887         1.3864273864         4.5216661280         0.8764449452 
        0.1854870000         7.8816028944         1.3838784350         4.4552667311         0.8924583233 
        0.1900000000         7.9236914057         1.3813294835         4.3888673343         0.9148770525 
