           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2105497339        -0.0598922560         1.5297907684 
        0.0050000000         1.1520862604         1.2130986854         0.0065071409         1.5393987952 
        0.0100000000         2.2801540998         1.2130986854         0.0065071409         1.5297907684 
        0.0150000000         3.3606858273         1.2130986854         0.0065071409         1.5297907684 
        0.0200000000         4.3711547739         1.2105497339        -0.0598922560         1.5297907684 
        0.0250000000         5.2904949226         1.2130986854         0.0065071409         1.5297907684 
        0.0300000000         6.0995400881         1.2130986854         0.0065071409         1.5297907684 
        0.0350000000         6.7814234887         1.2462350547         0.8696993002         1.5329934440 
        0.0400000000         7.3219293810         1.3176056963         2.7288824125         1.5426014708 
        0.0450000000         7.7097894263         1.2615287636         1.2680956814         1.5426014708 
        0.0500000000         7.9369176105         1.3023119874         2.3304860313         1.5650202001 
        0.0550000000         7.9985788190         1.3125077934         2.5960836188         1.5746282269 
        0.0600000000         7.8934875531         1.3125077934         2.5960836188         1.5874389293 
        0.0650000000         7.6238347321         1.3278015023         2.9944800000         1.6002496317 
        0.0700000000         7.1952420125         1.3252525508         2.9280806031         1.6130603341 
        0.0750000000         6.6166445923         1.3379973082         3.2600775875         1.6386817389 
        0.0800000000         5.9001049389         1.3303504538         3.0608793969         1.6450870902 
        0.0850000000         5.0605612953         1.3456441627         3.4592757781         1.6643031438 
        0.0900011000         4.1152981612         1.3303504538         3.0608793969         1.6675058194 
        0.0950000000         3.0846719382         1.3456441627         3.4592757781         1.6995325754 
        0.1000000000         1.9895190973         1.3278015023         2.9944800000         1.7091406022 
        0.1050000000         0.8528892308         1.3278015023         2.9944800000         1.7219513046 
        0.1100000000        -0.3015214614         1.3354483567         3.1936781906         1.7379646827 
        0.1150000000        -1.4496461090         1.3125077934         2.5960836188         1.7507753851 
        0.1200000000        -2.5675488817         1.2844693270         1.8656902532         1.7507753851 
        0.1250009000        -3.6321094144         1.2411371518         0.7369005065         1.7667887631 
        0.1300000000        -4.6205816274         1.2130986854         0.0065071409         1.7667887631 
        0.1350000000        -5.5129104671         1.1978049765        -0.3918892403         1.7603834119 
        0.1400000000        -6.2903074571         1.2080007824        -0.1262916528         1.7603834119 
        0.1450036000        -6.9369802594         1.2232944913         0.2721047284         1.7763967899 
        0.1500000000        -7.4382118871         1.2105497339        -0.0598922560         1.7699914387 
        0.1550000000        -7.7847880879         1.1570217527        -1.4542795902         1.7635860875 
        0.1600000000        -7.9690688731         1.0831021596        -3.3798620994         1.7539780607 
        0.1650000000        -7.9872124009         1.1442769953        -1.7862765746         1.7315593315 
        0.1700000000        -7.8388404191         1.0983958685        -2.9814657182         1.7219513046 
        0.1750000000        -7.5270461516         1.0882000626        -3.2470633057         1.6963298998 
        0.1800001000        -7.0583189276         1.0729063537        -3.6454596869         1.6995325754 
        0.1850000000        -6.4424630836         1.0780042567        -3.5126608932         1.6707084950 
        0.1900000000        -5.6922854177         1.0958469171        -3.0478651151         1.6546951170 
        0.1950000000        -4.8234363335         1.0805532081        -3.4462614963         1.6418844145 
        0.2000000000        -3.8540293898         1.0856511111        -3.3134627026         1.6162630097 
        0.2050000000        -2.8042745615         1.0932979656        -3.1142645120         1.6098576585 
        0.2100001000        -1.6960342825         1.1187874804        -2.4502705433         1.5938442805 
        0.2150000000        -0.5524802023         1.0907490141        -3.1806639088         1.5938442805 
        0.2200000000         0.6026144442         1.1366301408        -1.9854747652         1.5746282269 
        0.2250000000         1.7451459312         1.1111406260        -2.6494687339         1.5554121732 
        0.2300000000         2.8512950329         1.2080007824        -0.1262916528         1.5682228757 
        0.2350000000         3.8980010058         1.2105497339        -0.0598922560         1.5522094976 
        0.2400001000         4.8634607406         1.2258434428         0.3385041252         1.5586148488 
        0.2450000000         5.7274918666         1.2054518309        -0.1926910497         1.5650202001 
        0.2500000000         6.4721359550         1.2156476369         0.0729065378         1.5586148488 
        0.2550000000         7.0818504907         1.2232944913         0.2721047284         1.5650202001 
        0.2600000000         7.5439242871         1.2360392488         0.6041017127         1.5682228757 
        0.2650000000         7.8487241395         1.3456441627         3.4592757781         1.5746282269 
        0.2700000000         7.9898956528         1.2768224726         1.6664920626         1.5842362537 
        0.2750000000         7.9644957168         1.3303504538         3.0608793969         1.6098576585 
        0.2800000000         7.7730538633         1.3328994052         3.1272787938         1.6194656853 
        0.2850000000         7.4195612267         1.3354483567         3.1936781906         1.6258710365 
        0.2900001000         6.9113756925         1.3227035993         2.8616812063         1.6386817389 
        0.2950000000         6.2591264846         1.3481931142         3.5256751750         1.6578977926 
        0.3000000000         5.4763768474         1.3328994052         3.1272787938         1.6835191974 
        0.3050000000         4.5794570048         1.3481931142         3.5256751750         1.6931272242 
        0.3100000000         3.5870657256         1.3328994052         3.1272787938         1.7027352510 
        0.3150000000         2.5198921572         1.3252525508         2.9280806031         1.7187486290 
        0.3200000000         1.4001844718         1.3227035993         2.8616812063         1.7347620071 
        0.3250000000         0.2512860692         1.3252525508         2.9280806031         1.7475727095 
        0.3300140000        -0.9060674209         1.3048609389         2.3968854282         1.7603834119 
        0.3350000000        -2.0381658055         1.2819203755         1.7992908564         1.7667887631 
        0.3400000000        -3.1309893379         1.2487840062         0.9360986971         1.7860048167 
        0.3450000000        -4.1585387410         1.2080007824        -0.1262916528         1.7795994655 
        0.3500001000        -5.0994097342         1.2105497339        -0.0598922560         1.7860048167 
        0.3550000000        -5.9339341842         1.2232944913         0.2721047284         1.7860048167 
        0.3600000000        -6.6447671936         1.2105497339        -0.0598922560         1.7667887631 
        0.3650000000        -7.2170716749         1.2080007824        -0.1262916528         1.7795994655 
        0.3700000000        -7.6389163590         1.1850602191        -0.7238862247         1.7731941143 
        0.3750000000        -7.9015067248         1.0703574022        -3.7118590838         1.7731941143 
        0.3800000000        -7.9993683536         1.1519238497        -1.5870783840         1.7379646827 
        0.3850000000        -7.9304610486         1.0882000626        -3.2470633057         1.7315593315 
        0.3900000000        -7.6962213727         1.1085916745        -2.7158681308         1.7123432778 
        0.3950000000        -7.3015326992         1.0525147418        -4.1766548619         1.6995325754 
        0.4000000000        -6.7546234040         1.1009448200        -2.9150663214         1.6867218730 
        0.4050000000        -6.0668953223         1.0780042567        -3.5126608932         1.6739111706 
        0.4100000000        -5.2526860460         1.0882000626        -3.2470633057         1.6611004682 
        0.4150001000        -4.3289505722         1.0907490141        -3.1806639088         1.6354790633 
        0.4200001000        -3.3149836040         1.0831021596        -3.3798620994         1.6226683609 
        0.4250000000        -2.2319288483         1.1111406260        -2.6494687339         1.6002496317 
        0.4300000000        -1.1023223255         1.1009448200        -2.9150663214         1.6034523073 
        0.4350000000         0.0502651552         1.1187874804        -2.4502705433         1.5874389293 
        0.4400000000         1.2018047130         1.1111406260        -2.6494687339         1.5618175245 
        0.4450000000         2.3282893346         1.1391790923        -1.9190753683         1.5650202001 
        0.4500000000         3.4062343356         1.2003539280        -0.3254898435         1.5522094976 
        0.4550000000         4.4131669650         1.2207455399         0.2057053315         1.5458041464 
        0.4600000000         5.3280949395         1.2207455399         0.2057053315         1.5586148488 
        0.4650000000         6.1319440567         1.2105497339        -0.0598922560         1.5554121732 
        0.4700000000         6.8079558544         1.2156476369         0.0729065378         1.5554121732 
        0.4750001000         7.3420461885         1.2105497339        -0.0598922560         1.5426014708 
        0.4800000000         7.7230531116         1.2819203755         1.7992908564         1.5522094976 
        0.4850000000         7.9430608366         1.3125077934         2.5960836188         1.5682228757 
        0.4900000000         7.9974735143         1.2895672300         1.9984890470         1.5842362537 
        0.4950000000         7.8851567606         1.3252525508         2.9280806031         1.5970469561 
        0.5000000000         7.6084521304         1.3227035993         2.8616812063         1.6066549829 
        0.5050000000         7.1731282943         1.3227035993         2.8616812063         1.6258710365 
        0.5100000000         6.5882607810         1.3303504538         3.0608793969         1.6450870902 
        0.5150000000         5.8660427698         1.3328994052         3.1272787938         1.6482897658 
        0.5200000000         5.0215308903         1.3252525508         2.9280806031         1.6739111706 
        0.5250000000         4.0723313260         1.3405462597         3.3264769844         1.6867218730 
        0.5300000000         3.0382327642         1.3252525508         2.9280806031         1.7027352510 
        0.5350000000         1.9407938464         1.3125077934         2.5960836188         1.7187486290 
        0.5400000000         0.8028937188         1.3278015023         2.9944800000         1.7347620071 
        0.5450004000        -0.3518373437         1.3303504538         3.0608793969         1.7539780607 
        0.5500000000        -1.4990505167         1.2870182785         1.9320896501         1.7635860875 
        0.5550000000        -2.6151042372         1.2411371518         0.7369005065         1.7731941143 
        0.5600000000        -3.6766388880         1.2156476369         0.0729065378         1.7603834119 
        0.5650000000        -4.6615238373         1.2054518309        -0.1926910497         1.7699914387 
        0.5700636000        -5.5598096922         1.2105497339        -0.0598922560         1.7571807363 
        0.5750000000        -6.3212401011         1.2130986854         0.0065071409         1.7667887631 
        0.5800098000        -6.9625862627         1.2207455399         0.2057053315         1.7763967899 
        0.5850000000        -7.4565688997         1.2029028795        -0.2590904466         1.7635860875 
        0.5900000000        -7.7962149831         1.0729063537        -3.6454596869         1.7507753851 
        0.5950012000        -7.9733500582         1.1468259468        -1.7198771777         1.7379646827 
        0.6000000000        -7.9842138274         1.0907490141        -3.1806639088         1.7155459534 
        0.6050000000        -7.8286472339         1.1111406260        -2.6494687339         1.7091406022 
        0.6100000000        -7.5098708612         1.0703574022        -3.7118590838         1.6963298998 
        0.6150000000        -7.0345304815         1.0780042567        -3.5126608932         1.6707084950 
        0.6200000000        -6.4125358769         1.0780042567        -3.5126608932         1.6611004682 
        0.6250000000        -5.6568542495         1.0856511111        -3.3134627026         1.6418844145 
        0.6300000000        -4.7832398645         1.0907490141        -3.1806639088         1.6258710365 
        0.6350000000        -3.8099056293         1.0856511111        -3.3134627026         1.6130603341 
        0.6400000000        -2.7571433854         1.1162385289        -2.5166699401         1.5970469561 
        0.6450000000        -1.6469008702         1.0780042567        -3.5126608932         1.5842362537 
        0.6500000000        -0.5023241562         1.1340811893        -2.0518741621         1.5810335781 
        0.6550000000         0.6527248925         1.0907490141        -3.1806639088         1.5586148488 
        0.6600000000         1.7941660876         1.1570217527        -1.4542795902         1.5490068220 
        0.6650000000         2.8982029336         1.1799623161        -0.8566850184         1.5458041464 
        0.6700000000         3.9418187324         1.2385882003         0.6705011096         1.5426014708 
        0.6750000000         4.9032564292         1.2029028795        -0.2590904466         1.5329934440 
        0.6800000000         5.7624721991         1.2130986854         0.0065071409         1.5426014708 
        0.6850000000         6.5015533175         1.2181965884         0.1393059346         1.5522094976 
        0.6900000000         7.1050915905         1.2080007824        -0.1262916528         1.5426014708 
        0.6950001000         7.5605121599         1.2436861032         0.8032999033         1.5458041464 
        0.7000000000         7.8582980065         1.3532910171         3.6584739687         1.5714255513 
        0.7050001000         7.9922644940         1.2742735211         1.6000926658         1.5714255513 
        0.7100000000         7.9596081359         1.3201546478         2.7952818094         1.5938442805 
        0.7150000000         7.7610127711         1.3303504538         3.0608793969         1.6002496317 
        0.7200000000         7.4006176547         1.3328994052         3.1272787938         1.6162630097 
        0.7250000000         6.8859362160         1.3278015023         2.9944800000         1.6290737121 
        0.7300000000         6.2276984104         1.3507420656         3.5920745718         1.6546951170 
        0.7350000000         5.4396270298         1.3278015023         2.9944800000         1.6546951170 
        0.7400000000         4.5381515930         1.3405462597         3.3264769844         1.6739111706 
        0.7450000000         3.5420658452         1.3328994052         3.1272787938         1.6899245486 
        0.7500000000         2.4721359550         1.3354483567         3.1936781906         1.7059379266 
        0.7550000000         1.3506675577         1.3252525508         2.9280806031         1.7315593315 
        0.7600000000         0.2010407635         1.3252525508         2.9280806031         1.7283566558 
        0.7650000000        -0.9527772808         1.3125077934         2.5960836188         1.7475727095 
        0.7700000000        -2.0867320503         1.2691756181         1.4672938720         1.7475727095 
        0.7750000000        -3.1771831251         1.2309413458         0.4713029190         1.7635860875 
        0.7800000000        -4.2013970397         1.2130986854         0.0065071409         1.7635860875 
        0.7852333000        -5.1792517352         1.2105497339        -0.0598922560         1.7667887631 
        0.7900000000        -5.9675291634         1.2156476369         0.0729065378         1.7763967899 
        0.7950000000        -6.6726274689         1.2181965884         0.1393059346         1.7635860875 
        0.8000000000        -7.2386164197         1.2054518309        -0.1926910497         1.7603834119 
        0.8050000000        -7.6536964125         1.1672175587        -1.1886820028         1.7667887631 
        0.8100000000        -7.9092139584         1.0805532081        -3.4462614963         1.7475727095 
        0.8150000000        -7.9998420868         1.1391790923        -1.9190753683         1.7379646827 
        0.8200001000        -7.9236882195         1.0907490141        -3.1806639088         1.7219513046 
        0.8250000000        -7.6823494845         1.0983958685        -2.9814657182         1.7059379266 
        0.8300001000        -7.2808381840         1.0703574022        -3.7118590838         1.6995325754 
        0.8350001000        -6.7275441463         1.0856511111        -3.3134627026         1.6739111706 
        0.8400000000        -6.0340110436         1.0907490141        -3.1806639088         1.6546951170 
        0.8450000000        -5.2146698024         1.0907490141        -3.1806639088         1.6354790633 
        0.8500000000        -4.2866143598         1.0856511111        -3.3134627026         1.6226683609 
        0.8550000000        -3.2691925947         1.1009448200        -2.9150663214         1.6098576585 
        0.8600000000        -2.1836154841         1.1111406260        -2.6494687339         1.6002496317 
        0.8650000000        -1.0525148727         1.0882000626        -3.2470633057         1.5810335781 
        0.8700000000         0.1005283225         1.1213364319        -2.3838711464         1.5682228757 
        0.8750000000         1.2514757203         1.1009448200        -2.9150663214         1.5618175245 
        0.8800000000         2.3763326526         1.1621196557        -1.3214807965         1.5554121732 
        0.8850000000         3.4516483654         1.1927070735        -0.5246880341         1.5458041464 
        0.8900000000         4.4550049319         1.2436861032         0.8032999033         1.5522094976 
        0.8950000000         5.3654846123         1.2156476369         0.0729065378         1.5554121732 
        0.9000000000         6.1641059422         1.2105497339        -0.0598922560         1.5393987952 
        0.9050000000         6.8342194536         1.2130986854         0.0065071409         1.5329934440 
        0.9100000000         7.3618547789         1.2029028795        -0.2590904466         1.5361961196 
        0.9150000000         7.7360119021         1.2946651330         2.1312878407         1.5522094976 
        0.9200000000         7.9488904842         1.3048609389         2.3968854282         1.5618175245 
        0.9250000000         7.9960524829         1.2844693270         1.8656902532         1.5778309025 
        0.9300000000         7.8765146762         1.3150567448         2.6624830157         1.5778309025 
        0.9350000000         7.5927691588         1.3405462597         3.3264769844         1.6098576585 
        0.9400000000         7.1507313932         1.3201546478         2.7952818094         1.6194656853 
        0.9450001000         6.5596036385         1.3354483567         3.1936781906         1.6290737121 
        0.9500000000         5.8317490170         1.3481931142         3.5256751750         1.6514924414 
        0.9550001000         4.9822841530         1.3405462597         3.3264769844         1.6675058194 
        0.9600001000         4.0289656370         1.3379973082         3.2600775875         1.6803165218 
        0.9650000000         2.9916736427         1.3379973082         3.2600775875         1.7027352510 
        0.9700000000         1.8919919762         1.3227035993         2.8616812063         1.7123432778 
        0.9750000000         0.7528665065         1.3252525508         2.9280806031         1.7251539802 
        0.9800000000        -0.4019545489         1.3303504538         3.0608793969         1.7315593315 
        0.9850000000        -1.5483957444         1.2921161815         2.0648884438         1.7443700339 
        0.9900008000        -2.6627307900         1.2360392488         0.6041017127         1.7667887631 
        0.9950000000        -3.7212086277         1.2232944913         0.2721047284         1.7603834119 
        1.0000000000        -4.7022820183         1.2029028795        -0.2590904466         1.7635860875 
        1.0050000000        -5.5853233519         1.2130986854         0.0065071409         1.7699914387 
        1.0100001000        -6.3519372460         1.2207455399         0.2057053315         1.7731941143 
        1.0150000000        -6.9860996385         1.2130986854         0.0065071409         1.7667887631 
        1.0200001000        -7.4746397808         1.1952560250        -0.4582886372         1.7571807363 
        1.0250000000        -7.8073340955         1.0601615963        -3.9774566713         1.7475727095 
        1.0300000000        -7.9772712021         1.1340811893        -2.0518741621         1.7251539802 
        1.0350000000        -7.9809000509         1.0958469171        -3.0478651151         1.7123432778 
        1.0400000000        -7.8181449885         1.1111406260        -2.6494687339         1.7123432778 
        1.0450000000        -7.4923990940         1.0652594992        -3.8446578775         1.6867218730 
        1.0500000000        -7.0104534404         1.0805532081        -3.4462614963         1.6739111706 
        1.0550000000        -6.3823555163         1.0856511111        -3.3134627026         1.6546951170 
        1.0600000000        -5.6211997559         1.0805532081        -3.4462614963         1.6354790633 
        1.0650000000        -4.7428545613         1.0907490141        -3.1806639088         1.6130603341 
        1.0700000000        -3.7656314573         1.0882000626        -3.2470633057         1.6194656853 
        1.0750000000        -2.7099033587         1.1187874804        -2.4502705433         1.6098576585 
        1.0800000000        -1.5976798441         1.0805532081        -3.4462614963         1.5746282269 
        1.0850000000        -0.4521482759         1.1187874804        -2.4502705433         1.5586148488 
        1.0900000000         0.7028095758         1.1060427230        -2.7822675276         1.5650202001 
        1.0950000000         1.8431154134         1.1519238497        -1.5870783840         1.5458041464 
        1.1000000000         2.9449964215         1.1748644131        -0.9894838121         1.5329934440 
        1.1050000000         3.9854808457         1.2411371518         0.7369005065         1.5490068220 
        1.1100000000         4.9428769047         1.2232944913         0.2721047284         1.5393987952 
        1.1150000000         5.7972250415         1.2130986854         0.0065071409         1.5426014708 
        1.1200000000         6.5307140077         1.2054518309        -0.1926910497         1.5329934440 
        1.1250000000         7.1280521935         1.2130986854         0.0065071409         1.5426014708 
        1.1300000000         7.5767864400         1.2360392488         0.6041017127         1.5426014708 
        1.1350001000         7.8675658299         1.3430952112         3.3928763812         1.5490068220 
        1.1400000000         7.9943157811         1.2742735211         1.6000926658         1.5714255513 
        1.1450001000         7.9544038580         1.3125077934         2.5960836188         1.5810335781 
        1.1500000000         7.7486652890         1.3328994052         3.1272787938         1.5874389293 
        1.1550001000         7.3813730033         1.3379973082         3.2600775875         1.6002496317 
        1.1600000000         6.8602132495         1.3227035993         2.8616812063         1.6226683609 
