           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2105497339        -0.0598922560         1.2223339104 
        0.0050000000         0.7278416334         1.2130986854         0.0065071409         1.2223339104 
        0.0100000000         1.4496461112         1.2130986854         0.0065071409         1.2255365860 
        0.0150000000         2.1594263578         1.2130986854         0.0065071409         1.2223339104 
        0.0200000000         2.8512950317         1.2156476369         0.0729065378         1.2223339104 
        0.0250000000         3.5195133608         1.2130986854         0.0065071409         1.2223339104 
        0.0300000000         4.1585387428         1.2080007824        -0.1262916528         1.2127258836 
        0.0350000000         4.7630707194         1.2207455399         0.2057053315         1.2319419373 
        0.0400000000         5.3280949411         1.2870182785         1.9320896501         1.2287392617 
        0.0450000000         5.8489247593         1.2895672300         1.9984890470         1.2351446129 
        0.0500000000         6.3212400990         1.2793714240         1.7328914595         1.2543606665 
        0.0550000000         6.7411232985         1.2870182785         1.9320896501         1.2543606665 
        0.0600000000         7.1050915915         1.2946651330         2.1312878407         1.2575633421 
        0.0650000000         7.4101260082         1.3150567448         2.6624830157         1.2767793957 
        0.0700000000         7.6536964131         1.3252525508         2.9280806031         1.2895900981 
        0.0750000000         7.8337824854         1.3252525508         2.9280806031         1.3056034761 
        0.0800000000         7.9488904842         1.3303504538         3.0608793969         1.3248195298 
        0.0850000000         7.9980656355         1.3609378716         3.8576721593         1.3376302322 
        0.0900000000         7.9809000507         1.3481931142         3.5256751750         1.3536436102 
        0.0950000000         7.8975361120         1.3532910171         3.6584739687         1.3696569882 
        0.1000000000         7.7486652885         1.3660357746         3.9904709531         1.4080890955 
        0.1050000000         7.5355224049         1.3685847260         4.0568703499         1.4144944467 
        0.1100000000         7.2598753963         1.3609378716         3.8576721593         1.4433185271 
        0.1150000000         6.9240106409         1.3660357746         3.9904709531         1.4433185271 
        0.1200000000         6.5307140045         1.3456441627         3.4592757781         1.4657372563 
        0.1250000000         6.0832477248         1.3762315805         4.2560685405         1.4913586612 
        0.1300000000         5.5853233504         1.3558399686         3.7248733656         1.5041693636 
        0.1350000000         5.0410709678         1.3634868231         3.9240715562         1.5201827416 
        0.1400000000         4.4550049301         1.3507420656         3.5920745718         1.5586148488 
        0.1450000000         3.8319864193         1.3609378716         3.8576721593         1.5650202001 
        0.1500000000         3.1771831231         1.3303504538         3.0608793969         1.5714255513 
