           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2207455399         0.2057053315         1.1678884252 
        0.0050000000         0.6527248925         1.2130986854         0.0065071409         1.1678884252 
        0.0100000000         1.3010973216         1.2130986854         0.0065071409         1.1518750472 
        0.0150000000         1.9407938464         1.2156476369         0.0729065378         1.1646857496 
        0.0200000000         2.5675488803         1.2054518309        -0.1926910497         1.1486723716 
        0.0250000000         3.1771831251         1.2054518309        -0.1926910497         1.1582803984 
        0.0303119000         3.8015466319         1.2130986854         0.0065071409         1.1582803984 
        0.0350000000         4.3289700187         1.2130986854         0.0065071409         1.1550777228 
        0.0400000000         4.8634423816         1.2819203755         1.7992908564         1.1614830740 
        0.0450000000         5.3654846123         1.2742735211         1.6000926658         1.1646857496 
        0.0500000000         5.8317490207         1.2742735211         1.6000926658         1.1710911008 
        0.0550000000         6.2591264846         1.2742735211         1.6000926658         1.1806991276 
        0.0600000000         6.6447671936         1.2946651330         2.1312878407         1.2095232080 
        0.0650000000         6.9860996394         1.2895672300         1.9984890470         1.2095232080 
        0.0700000000         7.2808477655         1.3227035993         2.8616812063         1.2191312348 
        0.0750000000         7.5270461516         1.2895672300         1.9984890470         1.2287392617 
        0.0800000000         7.7230531112         1.3176056963         2.7288824125         1.2351446129 
        0.0850000000         7.8675616400         1.3252525508         2.9280806031         1.2575633421 
        0.0900000000         7.9596081359         1.3328994052         3.1272787938         1.2799820713 
        0.0950000000         7.9985788191         1.3354483567         3.1936781906         1.2863874225 
        0.1000000000         7.9842138274         1.3456441627         3.4592757781         1.2991981249 
        0.1050000000         7.9166089488         1.3558399686         3.7248733656         1.3280222054 
        0.1100000000         7.7962149823         1.3558399686         3.7248733656         1.3376302322 
        0.1150000000         7.6238347321         1.3405462597         3.3264769844         1.3472382590 
        0.1200000000         7.4006176547         1.3660357746         3.9904709531         1.3760623394 
        0.1250000000         7.1280521935         1.3583889201         3.7912727624         1.3952783931 
        0.1300000000         6.8079558544         1.3634868231         3.9240715562         1.4048864199 
        0.1350000000         6.4424630857         1.3583889201         3.7912727624         1.4433185271 
        0.1400000000         6.0340110459         1.3762315805         4.2560685405         1.4561292295 
        0.1450000000         5.5853233506         1.3532910171         3.6584739687         1.4817506344 
        0.1500000000         5.0993919180         1.3736826290         4.1896691437         1.4945613368 
        0.1550000000         4.5794570048         1.3583889201         3.7912727624         1.5169800660 
        0.1600000000         4.0289856114         1.3711336775         4.1232697468         1.5297907684 
        0.1650000000         3.4516483654         1.3328994052         3.1272787938         1.5361961196 
        0.1700000000         2.8512950297         1.3609378716         3.8576721593         1.5586148488 
        0.1750000000         2.2319288464         1.3278015023         2.9944800000         1.5778309025 
        0.1800001000         1.5976670381         1.3481931142         3.5256751750         1.5938442805 
        0.1850000000         0.9527772808         1.3328994052         3.1272787938         1.6162630097 
        0.1900000000         0.3015214594         1.3303504538         3.0608793969         1.6226683609 
        0.1950000000        -0.3517449465         1.3099588419         2.5296842219         1.6354790633 
        0.2000000000        -1.0026658685         1.2972140844         2.1976872376         1.6482897658 
        0.2050000000        -1.6469008721         1.2411371518         0.7369005065         1.6450870902 
        0.2100001000        -2.2801666269         1.2156476369         0.0729065378         1.6482897658 
        0.2150000000        -2.8982029336         1.2003539280        -0.3254898435         1.6482897658 
        0.2200000000        -3.4969261350         1.2105497339        -0.0598922560         1.6482897658 
        0.2250000000        -4.0723313260         1.2105497339        -0.0598922560         1.6611004682 
        0.2300000000        -4.6205816274         1.2054518309        -0.1926910497         1.6482897658 
        0.2350000000        -5.1380212254         1.2105497339        -0.0598922560         1.6578977926 
        0.2400001000        -5.6212090576         1.2130986854         0.0065071409         1.6675058194 
        0.2450000000        -6.0668953223         1.0907490141        -3.1806639088         1.6450870902 
        0.2500000000        -6.4721359550         1.1570217527        -1.4542795902         1.6290737121 
        0.2550000000        -6.8342194536         1.1340811893        -2.0518741621         1.6258710365 
        0.2600000000        -7.1507313932         1.1264343349        -2.2510723527         1.6162630097 
        0.2650000000        -7.4195612267         1.1187874804        -2.4502705433         1.6130603341 
        0.2700000000        -7.6389163586         1.1009448200        -2.9150663214         1.5842362537 
        0.2750000000        -7.8073340955         1.0882000626        -3.2470633057         1.5778309025 
        0.2800000000        -7.9236914056         1.1060427230        -2.7822675276         1.5714255513 
