           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2207455399         0.2057053315        -0.0203042238 
        0.0050000000         0.2010407641         1.2130986854         0.0065071409        -0.0299122506 
        0.0100000000         0.4019545460         1.2130986854         0.0065071409        -0.0299122506 
        0.0150000000         0.6026144442         1.2130986854         0.0065071409        -0.0299122506 
        0.0200000000         0.8028937194         1.2105497339        -0.0598922560        -0.0299122506 
        0.0250000000         1.0026658691         1.2181965884         0.1393059346        -0.0171015482 
        0.0300000000         1.2018047130         1.2054518309        -0.1926910497        -0.0363176019 
        0.0350000000         1.4001844724         1.2181965884         0.1393059346        -0.0171015482 
        0.0400000000         1.5976798447         1.2054518309        -0.1926910497        -0.0363176019 
        0.0450000000         1.7941660876         1.2156476369         0.0729065378        -0.0299122506 
        0.0500000000         1.9895190979         1.2972140844         2.1976872376        -0.0106961970 
        0.0550000000         2.1836154847         1.2538819092         1.0688974908        -0.0106961970 
        0.0600000000         2.3763326526         1.2717245696         1.5336932689        -0.0138988726 
        0.0650000000         2.5675488790         1.2615287636         1.2680956814        -0.0106961970 
        0.0700000000         2.7571433860         1.2717245696         1.5336932689         0.0085198566 
        0.0750000000         2.9449964215         1.2819203755         1.7992908564         0.0181278834 
        0.0800000000         3.1309893352         1.2742735211         1.6000926658         0.0149252078 
        0.0850000000         3.3150046485         1.2742735211         1.6000926658         0.0213305590 
        0.0900000000         3.4969261332         1.2742735211         1.6000926658         0.0341412614 
        0.0950000000         3.6766388850         1.2819203755         1.7992908564         0.0405466126 
        0.1000000000         3.8540293933         1.2768224726         1.6664920626         0.0405466126 
        0.1050000000         4.0289856131         1.2844693270         1.8656902532         0.0565599907 
        0.1100000000         4.2013970397         1.2819203755         1.7992908564         0.0565599907 
        0.1150000000         4.3711547744         1.2895672300         1.9984890470         0.0725733687 
        0.1200000000         4.5381515935         1.2972140844         2.1976872376         0.0821813955 
        0.1250000000         4.7022820183         1.2921161815         2.0648884438         0.0981947735 
        0.1300000000         4.8634423820         1.3023119874         2.3304860313         0.1046001247 
        0.1350000000         5.0215308908         1.2921161815         2.0648884438         0.1142081515 
        0.1400000000         5.1764476926         1.3023119874         2.3304860313         0.1270188539 
        0.1450000000         5.3280949399         1.2972140844         2.1976872376         0.1398295564 
        0.1500000000         5.4763768479         1.3048609389         2.3968854282         0.1430322320 
        0.1550000000         5.6211997584         1.2895672300         1.9984890470         0.1526402588 
        0.1600000000         5.7624721995         1.3048609389         2.3968854282         0.1718563124 
        0.1650000000         5.9001049393         1.3074098904         2.4632848251         0.1942750416 
        0.1700000000         6.0340110459         1.3176056963         2.7288824125         0.1942750416 
        0.1750000000         6.1641059426         1.3150567448         2.6624830157         0.2102884196 
        0.1800000000         6.2903074575         1.3176056963         2.7288824125         0.2230991221 
        0.1850000000         6.4125358790         1.3252525508         2.9280806031         0.2359098245 
        0.1900000000         6.5307140061         1.3252525508         2.9280806031         0.2519232025 
        0.1950000000         6.6447671939         1.3278015023         2.9944800000         0.2551258781 
        0.2000000000         6.7546234040         1.3328994052         3.1272787938         0.2807472829 
        0.2050000000         6.8602132499         1.3430952112         3.3928763812         0.2871526341 
        0.2100000000         6.9614700377         1.3481931142         3.5256751750         0.3191793902 
        0.2150000000         7.0583298115         1.3558399686         3.7248733656         0.3287874170 
        0.2200000000         7.1507313932         1.3456441627         3.4592757781         0.3480034706 
        0.2250000000         7.2386164200         1.3711336775         4.1232697468         0.3640168486 
        0.2300000000         7.3219293810         1.3532910171         3.6584739687         0.3928409291 
        0.2350000000         7.4006176547         1.3634868231         3.9240715562         0.3928409291 
        0.2400000000         7.4746315399         1.3558399686         3.7248733656         0.4248676851 
        0.2450000000         7.5439242873         1.3838784350         4.4552667311         0.4536917655 
        0.2500000000         7.6084521304         1.3634868231         3.9240715562         0.4665024679 
        0.2550000000         7.6681743123         1.3787805320         4.3224679374         0.4825158460 
        0.2600000000         7.7230531108         1.3660357746         3.9904709531         0.5049345752 
        0.2650000000         7.7730538633         1.3813294835         4.3888673343         0.5145426020 
        0.2700000000         7.8181449887         1.3660357746         3.9904709531         0.5433666824 
        0.2750000000         7.8582980059         1.3813294835         4.3888673343         0.5593800605 
        0.2800000000         7.8934875537         1.3711336775         4.1232697468         0.5753934385 
        0.2850053000         7.9237207694         1.3787805320         4.3224679374         0.6042175189 
        0.2900000000         7.9488904842         1.3915252894         4.6544649217         0.6298389237 
        0.2950000000         7.9690688731         1.3889763379         4.5880655249         0.6522576530 
        0.3000000000         7.9842138275         1.4042700468         4.9864619061         0.6778790578 
        0.3050000000         7.9943157811         1.4042700468         4.9864619061         0.7067031382 
        0.3100000000         7.9993683536         1.4042700468         4.9864619061         0.7323245431 
        0.3150000000         7.9993683536         1.3991721439         4.8536631124         0.7515405967 
        0.3200000000         7.9943157811         1.4170148043         5.3184588904         0.7803646771 
        0.3250000000         7.9842138274         1.3940742409         4.7208643186         0.7899727039 
        0.3300000000         7.9690688731         1.4221127072         5.4512576842         0.8252021356 
        0.3350000000         7.9488904841         1.4017210954         4.9200625092         0.8508235404 
        0.3400000000         7.9236914056         1.4119169013         5.1856600967         0.8700395940 
        0.3450000000         7.8934875537         1.4068189983         5.0528613030         0.9116743769 
        0.3500000000         7.8582980057         1.4195637558         5.3848582873         0.9180797281 
        0.3550001000         7.8181441360         1.4068189983         5.0528613030         0.9629171865 
        0.3600000000         7.7730538633         1.4195637558         5.3848582873         0.9789305646 
        0.3650000000         7.7230531105         1.4042700468         4.9864619061         0.9981466182 
        0.3700000000         7.6681743120         1.4246616587         5.5176570811         1.0333760498 
        0.3750000000         7.6084521304         1.4144658528         5.2520594936         1.0589974547 
        0.3800000000         7.5439242869         1.4374064162         5.8496540654         1.0942268863 
        0.3850000000         7.4746315394         1.4170148043         5.3184588904         1.1166456155 
        0.3900000000         7.4006176547         1.4195637558         5.3848582873         1.1486723716 
        0.3950000000         7.3219293807         1.4195637558         5.3848582873         1.1710911008 
        0.4000000000         7.2386164195         1.4348574647         5.7832546685         1.2031178568 
        0.4050000000         7.1507313932         1.4068189983         5.0528613030         1.2223339104 
        0.4100000000         7.0583298112         1.4246616587         5.5176570811         1.2479553153 
        0.4150000000         6.9614700371         1.4221127072         5.4512576842         1.2767793957 
        0.4200001000         6.8602111808         1.4272106102         5.5840564779         1.3024008005 
        0.4250000000         6.7546234037         1.4195637558         5.3848582873         1.3280222054 
