           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.4150001000        -5.7798698457         1.0576126448        -4.0438560681         1.1710911008 
        0.4200001000        -5.4026546798         1.0627105477        -3.9110572744         1.1518750472 
        0.4250001000        -5.0019330137         1.0550636933        -4.1102554650         1.1262536423 
        0.4300065000        -4.5788944000         1.0729063537        -3.6454596869         1.1166456155 
        0.4350000000        -4.1370479211         1.0474168388        -4.3094536556         1.0910242107 
        0.4400001000        -3.6766295113         1.0576126448        -4.0438560681         1.0589974547 
        0.4450001000        -3.2002234248         1.0703574022        -3.7118590838         1.0589974547 
        0.4500001000        -2.7098934316         1.0601615963        -3.9774566713         1.0333760498 
        0.4550001000        -2.2077729167         1.0550636933        -4.1102554650         1.0045519694 
        0.4600001000        -1.6960465649         1.0729063537        -3.6454596869         1.0013492938 
        0.4650001000        -1.1769408552         1.0754553052        -3.5790602901         0.9725252133 
        0.4700001000        -0.6527143734         1.0856511111        -3.3134627026         0.9565118353 
        0.4750001000        -0.1256479854         1.0907490141        -3.1806639088         0.9437011329 
        0.4800001000         0.4019650865         1.0983958685        -2.9814657182         0.9308904305 
        0.4850001000         0.9278292416         1.1289832864        -2.1846729558         0.9116743769 
        0.4900001000         1.4496564886         1.1672175587        -1.1886820028         0.9116743769 
        0.4950001000         1.9651764005         1.2003539280        -0.3254898435         0.9116743769 
        0.5000000000         2.4721359550         1.2156476369         0.0729065378         0.9180797281 
        0.5050001000         2.9683594828         1.2283923943         0.4049035221         0.9148770525 
        0.5100001000         3.4516578869         1.2054518309        -0.1926910497         0.9116743769 
        0.5150000000         3.9199292132         1.2130986854         0.0065071409         0.9116743769 
        0.5200145000         4.3724366001         1.2080007824        -0.1262916528         0.9020663501 
        0.5250001000         4.8033702428         1.2130986854         0.0065071409         0.9020663501 
        0.5300000000         5.2146698024         1.3125077934         2.5960836188         0.9244850793 
        0.5350001000         5.6032967393         1.2895672300         1.9984890470         0.9340931061 
        0.5400027000         5.9677189766         1.2538819092         1.0688974908         0.9308904305 
        0.5450000000         6.3058048959         1.2972140844         2.1976872376         0.9340931061 
        0.5500001000         6.6166505266         1.2819203755         1.7992908564         0.9501064841 
        0.5550001000         6.8987011645         1.3048609389         2.3968854282         0.9533091597 
        0.5600000000         7.1507313932         1.2895672300         1.9984890470         0.9661198621 
        0.5650001000         7.3716588267         1.3125077934         2.5960836188         0.9853359158 
        0.5700001000         7.5605080515         1.3023119874         2.3304860313         0.9949439426 
        0.5750001000         7.7164621327         1.3583889201         3.7912727624         1.0205653474 
        0.5800001000         7.8388425269         1.3252525508         2.9280806031         1.0333760498 
        0.5850001000         7.9271167672         1.3456441627         3.4592757781         1.0429840766 
        0.5900001000         7.9809007798         1.3278015023         2.9944800000         1.0589974547 
        0.5950001000         7.9999605548         1.3660357746         3.9904709531         1.0750108327 
        0.6000004000         7.9842111762         1.3303504538         3.0608793969         1.0846188595 
        0.6050001000         7.9337271252         1.3583889201         3.7912727624         1.1134429399 
        0.6100001000         7.8487220967         1.3532910171         3.6584739687         1.1422670204 
        0.6150001000         7.7295679293         1.3660357746         3.9904709531         1.1486723716 
        0.6200001000         7.5767830526         1.3481931142         3.5256751750         1.1710911008 
        0.6250000000         7.3910362601         1.3736826290         4.1896691437         1.1806991276 
        0.6300001000         7.1731236212         1.3430952112         3.3928763812         1.2063205324 
        0.6350001000         6.9240053553         1.3558399686         3.7248733656         1.2319419373 
        0.6400000000         6.6447671936         1.3583889201         3.7912727624         1.2511579909 
        0.6450001000         6.3366064714         1.3762315805         4.2560685405         1.2735767201 
        0.6500001000         6.0008815773         1.3609378716         3.8576721593         1.2895900981 
        0.6550000000         5.6390548315         1.3558399686         3.7248733656         1.2927927737 
        0.6600001000         5.2526780854         1.3634868231         3.9240715562         1.3280222054 
        0.6650001000         4.8434548589         1.3634868231         3.9240715562         1.3312248810 
        0.6700000000         4.4131669650         1.3481931142         3.5256751750         1.3536436102 
        0.6750001000         3.9636601796         1.3660357746         3.9904709531         1.3792650150 
        0.6800001000         3.4969166406         1.3430952112         3.3928763812         1.3856703662 
        0.6850000000         3.0149680833         1.3609378716         3.8576721593         1.4176971223 
        0.6900001000         2.5198821401         1.3354483567         3.1936781906         1.4369131759 
        0.6950001000         2.0138421749         1.3456441627         3.4592757781         1.4401158515 
        0.7000001000         1.4990401493         1.3328994052         3.1272787938         1.4785479588 
        0.7050001000         0.9777159243         1.3354483567         3.1936781906         1.4721426075 
        0.7100001000         0.4521377384         1.3227035993         2.8616812063         1.4881559856 
        0.7153762000        -0.1151049873         1.3201546478         2.7952818094         1.5073720392 
        0.7203020000        -0.6343973737         1.3099588419         2.5296842219         1.5265880928 
        0.7255933000        -1.1891771639         1.2258434428         0.3385041252         1.5393987952 
        0.7318896000        -1.8415579775         1.2156476369         0.0729065378         1.5393987952 
        0.7350001000        -2.1594365183         1.2105497339        -0.0598922560         1.5426014708 
        0.7400001000        -2.6625663088         1.1978049765        -0.3918892403         1.5329934440 
        0.7450001000        -3.1541114942         1.2156476369         0.0729065378         1.5426014708 
        0.7500000000        -3.6319239979         1.2130986854         0.0065071409         1.5361961196 
        0.7550001000        -4.0939530686         1.2105497339        -0.0598922560         1.5426014708 
        0.7600001000        -4.5381602849         1.2156476369         0.0729065378         1.5393987952 
        0.7675333000        -5.1695432794         1.1595707042        -1.3878801934         1.5201827416 
        0.7779961000        -5.9605543968         1.1442769953        -1.7862765746         1.5201827416 
        0.7793401000        -6.0542372026         1.1417280438        -1.8526759714         1.5137773904 
        0.7806581000        -6.1442588598         1.1570217527        -1.4542795902         1.5169800660 
        0.7850001000        -6.4275374848         1.1187874804        -2.4502705433         1.4881559856 
        0.7900001000        -6.7275623696         1.1544728012        -1.5206789871         1.4913586612 
        0.7950000000        -6.9983110747         1.0958469171        -3.0478651151         1.4689399319 
        0.8000015000        -7.2386838344         1.1366301408        -1.9854747652         1.4657372563 
        0.8050001000        -7.4474309994         1.1034937715        -2.8486669245         1.4561292295 
        0.8104848000        -7.6391862595         1.1009448200        -2.9150663214         1.4337105003 
        0.8214355000        -7.9016211020         1.0932979656        -3.1142645120         1.4048864199 
        0.8236395000        -7.9346482475         1.0907490141        -3.1806639088         1.4048864199 
        0.8250001000        -7.9516888018         1.0780042567        -3.5126608932         1.4016837443 
        0.8300001000        -7.9922639415         1.1034937715        -2.8486669245         1.3856703662 
        0.8350001000        -7.9980654034         1.0831021596        -3.3798620994         1.3760623394 
        0.8400017000        -7.9690531066         1.0703574022        -3.7118590838         1.3568462858 
        0.8450001000        -7.9053977346         1.0703574022        -3.7118590838         1.3408329078 
        0.8500001000        -7.8073317931         1.0499657903        -4.2430542587         1.2767793957 
        0.8598207000        -7.5163727102         1.0525147418        -4.1766548619         1.2831847469 
        0.8610978000        -7.4691468357         1.0474168388        -4.3094536556         1.2767793957 
        0.8650001000        -7.3117628394         1.0601615963        -3.9774566713         1.2447526397 
        0.8700001000        -7.0818455813         1.0499657903        -4.2430542587         1.2351446129 
        0.8750000000        -6.8211213148         1.0678084507        -3.7782584807         1.2095232080 
        0.8800040000        -6.5304701285         1.0499657903        -4.2430542587         1.2063205324 
        0.8850001000        -6.2118854508         1.0729063537        -3.6454596869         1.1550777228 
        0.8944731000        -5.5349618089         1.0703574022        -3.7118590838         1.1486723716 
        0.8958097000        -5.4322375971         1.0601615963        -3.9774566713         1.1390643447 
        0.9000001000        -5.0993837857         1.0576126448        -4.0438560681         1.1070375887 
        0.9050000000        -4.6819260322         1.0576126448        -4.0438560681         1.0942268863 
        0.9100001000        -4.2440805278         1.0652594992        -3.8446578775         1.0814161839 
        0.9150001000        -3.7877779389         1.0652594992        -3.8446578775         1.0654028059 
        0.9200000000        -3.3150046479         1.0601615963        -3.9774566713         1.0365787254 
        0.9250001000        -2.8277888772         1.0601615963        -3.9774566713         1.0173626718 
        0.9300001000        -2.3282792371         1.0678084507        -3.7782584807         1.0077546450 
        0.9350000000        -1.8186497252         1.0703574022        -3.7118590838         0.9789305646 
        0.9400001000        -1.3010869077         1.0729063537        -3.6454596869         0.9597145109 
        0.9450001000        -0.7778734470         1.0932979656        -3.1142645120         0.9437011329 
        0.9500001000        -0.2512755235         1.0831021596        -3.3798620994         0.9276877549 
        0.9550001000         0.2764156791         1.1085916745        -2.7158681308         0.9180797281 
        0.9600001000         0.8029042199         1.1136895775        -2.5830693370         0.9148770525 
        0.9650001000         1.3258993910         1.1264343349        -2.2510723527         0.8924583233 
        0.9700001000         1.8431256838         1.1697665101        -1.1222826059         0.8860529720 
        0.9750001000         2.3523326896         1.2029028795        -0.2590904466         0.8796476208 
        0.9800034000         2.8516303517         1.2232944913         0.2721047284         0.8828502964 
        0.9850001000         3.3378713011         1.2054518309        -0.1926910497         0.8764449452 
        0.9900001000         3.8099149100         1.2181965884         0.1393059346         0.8892556476 
        0.9950001000         4.2653818950         1.2232944913         0.2721047284         0.8892556476 
        1.0000000000         4.7022820183         1.2054518309        -0.1926910497         0.8764449452 
        1.0050001000         5.1187399427         1.2181965884         0.1393059346         0.8764449452 
        1.0100001000         5.5129181153         1.3227035993         2.8616812063         0.8860529720 
        1.0150000000         5.8831028862         1.2768224726         1.6664920626         0.9116743769 
        1.0200001000         6.2277050374         1.2691756181         1.4672938720         0.9052690257 
        1.0250001000         6.5452038082         1.3150567448         2.6624830157         0.9116743769 
        1.0300000000         6.8342194536         1.2997630359         2.2640866345         0.9308904305 
        1.0350001000         7.0935109256         1.3201546478         2.7952818094         0.9372957817 
        1.0400001000         7.3219336334         1.3176056963         2.7288824125         0.9661198621 
        1.0450000000         7.5184956087         1.3125077934         2.5960836188         0.9629171865 
        1.0500001000         7.6823524300         1.3328994052         3.1272787938         0.9885385914 
        1.0550001000         7.8127803665         1.3456441627         3.4592757781         1.0045519694 
        1.0600000000         7.9092139579         1.3354483567         3.1936781906         1.0173626718 
        1.0650001000         7.9712383793         1.3507420656         3.5920745718         1.0333760498 
        1.0700001000         7.9985790180         1.3456441627         3.4592757781         1.0493894278 
        1.0750001000         7.9911185025         1.3609378716         3.8576721593         1.0654028059 
        1.0800001000         7.9488892930         1.3634868231         3.9240715562         1.0974295619 
        1.0850001000         7.8720751253         1.3583889201         3.7912727624         1.1102402643 
        1.0900001000         7.7610102114         1.3634868231         3.9240715562         1.1294563179 
        1.0950001000         7.6161777856         1.3762315805         4.2560685405         1.1422670204 
        1.1000001000         7.4382080018         1.3634868231         3.9240715562         1.1678884252 
        1.1050001000         7.2278751917         1.3736826290         4.1896691437         1.1871044788 
        1.1100001000         6.9860944959         1.3532910171         3.6584739687         1.2031178568 
        1.1150001000         6.7139178822         1.3660357746         3.9904709531         1.2351446129 
        1.1200001000         6.4125295685         1.3558399686         3.7248733656         1.2479553153 
        1.1250000000         6.0832477248         1.3787805320         4.3224679374         1.2639686933 
        1.1300001000         5.7274844955         1.3558399686         3.7248733656         1.2927927737 
        1.1350001000         5.3468083105         1.3736826290         4.1896691437         1.3056034761 
        1.1400000000         4.9428769047         1.3558399686         3.7248733656         1.3248195298 
        1.1450001000         4.5174228899         1.3762315805         4.2560685405         1.3472382590 
        1.1500001000         4.0723222414         1.3405462597         3.3264769844         1.3568462858 
        1.1550001000         3.6095032551         1.3762315805         4.2560685405         1.3824676906 
        1.1600001000         3.1309796222         1.3328994052         3.1272787938         1.4016837443 
        1.1650001000         2.6388333552         1.3634868231         3.9240715562         1.4241024735 
        1.1700000000         2.1352159146         1.3354483567         3.1936781906         1.4369131759 
        1.1750001000         1.6222880278         1.3379973082         3.2600775875         1.4497238783 
        1.1800001000         1.1023118718         1.3227035993         2.8616812063         1.4689399319 
        1.1850000000         0.5775501751         1.3354483567         3.1936781906         1.4785479588 
        1.1900001000         0.0502545976         1.3099588419         2.5296842219         1.4977640124 
        1.1950001000        -0.4772491067         1.3176056963         2.7288824125         1.5041693636 
        1.2000001000        -1.0026763396         1.2844693270         1.8656902532         1.5233854172 
        1.2050001000        -1.5237410110         1.2309413458         0.4713029190         1.5297907684 
        1.2100001000        -2.0381760115         1.2080007824        -0.1262916528         1.5297907684 
        1.2150001000        -2.5437430773         1.2105497339        -0.0598922560         1.5297907684 
        1.2200001000        -3.0382425278         1.2156476369         0.0729065378         1.5297907684 
        1.2250001000        -3.5195228369         1.2080007824        -0.1262916528         1.5297907684 
        1.2300001000        -3.9854899941         1.2105497339        -0.0598922560         1.5265880928 
        1.2350001000        -4.4341166147         1.2130986854         0.0065071409         1.5297907684 
        1.2400001000        -4.8634507616         1.1595707042        -1.3878801934         1.5329934440 
        1.2450001000        -5.2716244375         1.1340811893        -2.0518741621         1.5105747148 
        1.2500000000        -5.6568542495         1.1570217527        -1.4542795902         1.5073720392 
        1.2550001000        -6.0174864513         1.1468259468        -1.7198771777         1.4945613368 
        1.2600001000        -6.3519296055         1.1391790923        -1.9190753683         1.4977640124 
        1.2650000000        -6.6587301907         1.1468259468        -1.7198771777         1.4849533100 
        1.2700001000        -6.9365708673         1.1187874804        -2.4502705433         1.4689399319 
        1.2750001000        -7.1842252494         1.1162385289        -2.5166699401         1.4497238783 
        1.2800001000        -7.4006216636         1.1009448200        -2.9150663214         1.4369131759 
        1.2850001000        -7.5848185854         1.1111406260        -2.6494687339         1.4208997979 
